"","par.index","estimate","se","fixed","note","group","cohort","age","time","occ","occ.cohort","stratum","Cohort","Age","Time","stock","sex","A","B","X"
"p sX gTransitoryF c2 a2 o3 t4",143,1,0,"Fixed","","TransitoryF","2","2","4",3,2,"X",1,2,2,"Transitory","F",0,0,1
"p sX gTransitoryF c3 a1 o3 t4",144,1,0,"Fixed","","TransitoryF","3","1","4",3,3,"X",2,1,2,"Transitory","F",0,0,1
"p sA gUnalakleetF c1 a1 o1 t2",145,1,0,"Fixed","","UnalakleetF","1","1","2",1,1,"A",0,1,0,"Unalakleet","F",1,0,0
"p sA gUnalakleetF c1 a2 o2 t3",146,1,0,"Fixed","","UnalakleetF","1","2","3",2,1,"A",0,2,1,"Unalakleet","F",1,0,0
"p sA gUnalakleetF c1 a3 o3 t4",147,1,0,"Fixed","","UnalakleetF","1","3","4",3,1,"A",0,3,2,"Unalakleet","F",1,0,0
"p sA gUnalakleetF c2 a1 o2 t3",148,1,0,"Fixed","","UnalakleetF","2","1","3",2,2,"A",1,1,1,"Unalakleet","F",1,0,0
"p sA gUnalakleetF c2 a2 o3 t4",149,1,0,"Fixed","","UnalakleetF","2","2","4",3,2,"A",1,2,2,"Unalakleet","F",1,0,0
"p sA gUnalakleetF c3 a1 o3 t4",150,1,0,"Fixed","","UnalakleetF","3","1","4",3,3,"A",2,1,2,"Unalakleet","F",1,0,0
"p sB gUnalakleetF c1 a1 o1 t2",151,1,0,"Fixed","","UnalakleetF","1","1","2",1,1,"B",0,1,0,"Unalakleet","F",0,1,0
"p sB gUnalakleetF c1 a2 o2 t3",152,1,0,"Fixed","","UnalakleetF","1","2","3",2,1,"B",0,2,1,"Unalakleet","F",0,1,0
"p sB gUnalakleetF c1 a3 o3 t4",153,1,0,"Fixed","","UnalakleetF","1","3","4",3,1,"B",0,3,2,"Unalakleet","F",0,1,0
"p sB gUnalakleetF c2 a1 o2 t3",154,1,0,"Fixed","","UnalakleetF","2","1","3",2,2,"B",1,1,1,"Unalakleet","F",0,1,0
"p sB gUnalakleetF c2 a2 o3 t4",155,1,0,"Fixed","","UnalakleetF","2","2","4",3,2,"B",1,2,2,"Unalakleet","F",0,1,0
"p sB gUnalakleetF c3 a1 o3 t4",156,1,0,"Fixed","","UnalakleetF","3","1","4",3,3,"B",2,1,2,"Unalakleet","F",0,1,0
"p sX gUnalakleetF c1 a1 o1 t2",157,1,0,"Fixed","","UnalakleetF","1","1","2",1,1,"X",0,1,0,"Unalakleet","F",0,0,1
"p sX gUnalakleetF c1 a2 o2 t3",158,1,0,"Fixed","","UnalakleetF","1","2","3",2,1,"X",0,2,1,"Unalakleet","F",0,0,1
"p sX gUnalakleetF c1 a3 o3 t4",159,1,0,"Fixed","","UnalakleetF","1","3","4",3,1,"X",0,3,2,"Unalakleet","F",0,0,1
"p sX gUnalakleetF c2 a1 o2 t3",160,1,0,"Fixed","","UnalakleetF","2","1","3",2,2,"X",1,1,1,"Unalakleet","F",0,0,1
"p sX gUnalakleetF c2 a2 o3 t4",161,1,0,"Fixed","","UnalakleetF","2","2","4",3,2,"X",1,2,2,"Unalakleet","F",0,0,1
"p sX gUnalakleetF c3 a1 o3 t4",162,1,0,"Fixed","","UnalakleetF","3","1","4",3,3,"X",2,1,2,"Unalakleet","F",0,0,1
"p sA gShaktoolikM c1 a1 o1 t2",163,1,0,"Fixed","","ShaktoolikM","1","1","2",1,1,"A",0,1,0,"Shaktoolik","M",1,0,0
"p sA gShaktoolikM c1 a2 o2 t3",164,1,0,"Fixed","","ShaktoolikM","1","2","3",2,1,"A",0,2,1,"Shaktoolik","M",1,0,0
"p sA gShaktoolikM c1 a3 o3 t4",165,1,0,"Fixed","","ShaktoolikM","1","3","4",3,1,"A",0,3,2,"Shaktoolik","M",1,0,0
"p sA gShaktoolikM c2 a1 o2 t3",166,1,0,"Fixed","","ShaktoolikM","2","1","3",2,2,"A",1,1,1,"Shaktoolik","M",1,0,0
"p sA gShaktoolikM c2 a2 o3 t4",167,1,0,"Fixed","","ShaktoolikM","2","2","4",3,2,"A",1,2,2,"Shaktoolik","M",1,0,0
"p sA gShaktoolikM c3 a1 o3 t4",168,1,0,"Fixed","","ShaktoolikM","3","1","4",3,3,"A",2,1,2,"Shaktoolik","M",1,0,0
"p sB gShaktoolikM c1 a1 o1 t2",169,1,0,"Fixed","","ShaktoolikM","1","1","2",1,1,"B",0,1,0,"Shaktoolik","M",0,1,0
"p sB gShaktoolikM c1 a2 o2 t3",170,1,0,"Fixed","","ShaktoolikM","1","2","3",2,1,"B",0,2,1,"Shaktoolik","M",0,1,0
"p sB gShaktoolikM c1 a3 o3 t4",171,1,0,"Fixed","","ShaktoolikM","1","3","4",3,1,"B",0,3,2,"Shaktoolik","M",0,1,0
"p sB gShaktoolikM c2 a1 o2 t3",172,1,0,"Fixed","","ShaktoolikM","2","1","3",2,2,"B",1,1,1,"Shaktoolik","M",0,1,0
"p sB gShaktoolikM c2 a2 o3 t4",173,1,0,"Fixed","","ShaktoolikM","2","2","4",3,2,"B",1,2,2,"Shaktoolik","M",0,1,0
"p sB gShaktoolikM c3 a1 o3 t4",174,1,0,"Fixed","","ShaktoolikM","3","1","4",3,3,"B",2,1,2,"Shaktoolik","M",0,1,0
"p sX gShaktoolikM c1 a1 o1 t2",175,1,0,"Fixed","","ShaktoolikM","1","1","2",1,1,"X",0,1,0,"Shaktoolik","M",0,0,1
"p sX gShaktoolikM c1 a2 o2 t3",176,1,0,"Fixed","","ShaktoolikM","1","2","3",2,1,"X",0,2,1,"Shaktoolik","M",0,0,1
"p sX gShaktoolikM c1 a3 o3 t4",177,1,0,"Fixed","","ShaktoolikM","1","3","4",3,1,"X",0,3,2,"Shaktoolik","M",0,0,1
"p sX gShaktoolikM c2 a1 o2 t3",178,1,0,"Fixed","","ShaktoolikM","2","1","3",2,2,"X",1,1,1,"Shaktoolik","M",0,0,1
"p sX gShaktoolikM c2 a2 o3 t4",179,1,0,"Fixed","","ShaktoolikM","2","2","4",3,2,"X",1,2,2,"Shaktoolik","M",0,0,1
"p sX gShaktoolikM c3 a1 o3 t4",180,1,0,"Fixed","","ShaktoolikM","3","1","4",3,3,"X",2,1,2,"Shaktoolik","M",0,0,1
"p sA gTransitoryM c1 a1 o1 t2",181,1,0,"Fixed","","TransitoryM","1","1","2",1,1,"A",0,1,0,"Transitory","M",1,0,0
"p sA gTransitoryM c1 a2 o2 t3",182,1,0,"Fixed","","TransitoryM","1","2","3",2,1,"A",0,2,1,"Transitory","M",1,0,0
"p sA gTransitoryM c1 a3 o3 t4",183,1,0,"Fixed","","TransitoryM","1","3","4",3,1,"A",0,3,2,"Transitory","M",1,0,0
"p sA gTransitoryM c2 a1 o2 t3",184,1,0,"Fixed","","TransitoryM","2","1","3",2,2,"A",1,1,1,"Transitory","M",1,0,0
"p sA gTransitoryM c2 a2 o3 t4",185,1,0,"Fixed","","TransitoryM","2","2","4",3,2,"A",1,2,2,"Transitory","M",1,0,0
"p sA gTransitoryM c3 a1 o3 t4",186,1,0,"Fixed","","TransitoryM","3","1","4",3,3,"A",2,1,2,"Transitory","M",1,0,0
"p sB gTransitoryM c1 a1 o1 t2",187,1,0,"Fixed","","TransitoryM","1","1","2",1,1,"B",0,1,0,"Transitory","M",0,1,0
"p sB gTransitoryM c1 a2 o2 t3",188,1,0,"Fixed","","TransitoryM","1","2","3",2,1,"B",0,2,1,"Transitory","M",0,1,0
"p sB gTransitoryM c1 a3 o3 t4",189,1,0,"Fixed","","TransitoryM","1","3","4",3,1,"B",0,3,2,"Transitory","M",0,1,0
"p sB gTransitoryM c2 a1 o2 t3",190,1,0,"Fixed","","TransitoryM","2","1","3",2,2,"B",1,1,1,"Transitory","M",0,1,0
"p sB gTransitoryM c2 a2 o3 t4",191,1,0,"Fixed","","TransitoryM","2","2","4",3,2,"B",1,2,2,"Transitory","M",0,1,0
"p sB gTransitoryM c3 a1 o3 t4",192,1,0,"Fixed","","TransitoryM","3","1","4",3,3,"B",2,1,2,"Transitory","M",0,1,0
"p sX gTransitoryM c1 a1 o1 t2",193,1,0,"Fixed","","TransitoryM","1","1","2",1,1,"X",0,1,0,"Transitory","M",0,0,1
"p sX gTransitoryM c1 a2 o2 t3",194,1,0,"Fixed","","TransitoryM","1","2","3",2,1,"X",0,2,1,"Transitory","M",0,0,1
"p sX gTransitoryM c1 a3 o3 t4",195,1,0,"Fixed","","TransitoryM","1","3","4",3,1,"X",0,3,2,"Transitory","M",0,0,1
"p sX gTransitoryM c2 a1 o2 t3",196,1,0,"Fixed","","TransitoryM","2","1","3",2,2,"X",1,1,1,"Transitory","M",0,0,1
"p sX gTransitoryM c2 a2 o3 t4",197,1,0,"Fixed","","TransitoryM","2","2","4",3,2,"X",1,2,2,"Transitory","M",0,0,1
"p sX gTransitoryM c3 a1 o3 t4",198,1,0,"Fixed","","TransitoryM","3","1","4",3,3,"X",2,1,2,"Transitory","M",0,0,1
"p sA gUnalakleetM c1 a1 o1 t2",199,1,0,"Fixed","","UnalakleetM","1","1","2",1,1,"A",0,1,0,"Unalakleet","M",1,0,0
"p sA gUnalakleetM c1 a2 o2 t3",200,1,0,"Fixed","","UnalakleetM","1","2","3",2,1,"A",0,2,1,"Unalakleet","M",1,0,0
"p sA gUnalakleetM c1 a3 o3 t4",201,1,0,"Fixed","","UnalakleetM","1","3","4",3,1,"A",0,3,2,"Unalakleet","M",1,0,0
"p sA gUnalakleetM c2 a1 o2 t3",202,1,0,"Fixed","","UnalakleetM","2","1","3",2,2,"A",1,1,1,"Unalakleet","M",1,0,0
"p sA gUnalakleetM c2 a2 o3 t4",203,1,0,"Fixed","","UnalakleetM","2","2","4",3,2,"A",1,2,2,"Unalakleet","M",1,0,0
"p sA gUnalakleetM c3 a1 o3 t4",204,1,0,"Fixed","","UnalakleetM","3","1","4",3,3,"A",2,1,2,"Unalakleet","M",1,0,0
"p sB gUnalakleetM c1 a1 o1 t2",205,1,0,"Fixed","","UnalakleetM","1","1","2",1,1,"B",0,1,0,"Unalakleet","M",0,1,0
"p sB gUnalakleetM c1 a2 o2 t3",206,1,0,"Fixed","","UnalakleetM","1","2","3",2,1,"B",0,2,1,"Unalakleet","M",0,1,0
