"","par.index","estimate","se","fixed","note","group","cohort","age","time","occ","occ.cohort","stratum","tostratum","Cohort","Age","Time","stock","sex","A","B","X","toA","toB","toX"
"Psi sX toA gShaktoolikF c3 a0 o3 t3",246,0.138529106341342,0.0343392969839934,"     ","","ShaktoolikF","3","0","3",3,3,"X","A",2,0,2,"Shaktoolik","F",0,0,1,1,0,0
"Psi sX toB gShaktoolikF c1 a0 o1 t1",247,0.861470893632399,0.146909923240173,"     ","","ShaktoolikF","1","0","1",1,1,"X","B",0,0,0,"Shaktoolik","F",0,0,1,0,1,0
"Psi sX toB gShaktoolikF c1 a1 o2 t2",248,0.861470893613461,0.323827837727112,"     ","","ShaktoolikF","1","1","2",2,1,"X","B",0,1,1,"Shaktoolik","F",0,0,1,0,1,0
"Psi sX toB gShaktoolikF c1 a2 o3 t3",249,0.861470893548335,0.0391981056151539,"     ","","ShaktoolikF","1","2","3",3,1,"X","B",0,2,2,"Shaktoolik","F",0,0,1,0,1,0
"Psi sX toB gShaktoolikF c2 a0 o2 t2",250,0.861470893613461,0.323827837727112,"     ","","ShaktoolikF","2","0","2",2,2,"X","B",1,0,1,"Shaktoolik","F",0,0,1,0,1,0
"Psi sX toB gShaktoolikF c2 a1 o3 t3",251,0.861470893548335,0.0391981056151539,"     ","","ShaktoolikF","2","1","3",3,2,"X","B",1,1,2,"Shaktoolik","F",0,0,1,0,1,0
"Psi sX toB gShaktoolikF c3 a0 o3 t3",252,0.861470893548335,0.0391981056151539,"     ","","ShaktoolikF","3","0","3",3,3,"X","B",2,0,2,"Shaktoolik","F",0,0,1,0,1,0
"Psi sA toB gTransitoryF c1 a0 o1 t1",253,0.872676058439879,0.0232675519809914,"     ","","TransitoryF","1","0","1",1,1,"A","B",0,0,0,"Transitory","F",1,0,0,0,1,0
"Psi sA toB gTransitoryF c1 a1 o2 t2",254,0.872070190730959,0.0230185290975028,"     ","","TransitoryF","1","1","2",2,1,"A","B",0,1,1,"Transitory","F",1,0,0,0,1,0
"Psi sA toB gTransitoryF c1 a2 o3 t3",255,0.869975635676526,0.0225859553833621,"     ","","TransitoryF","1","2","3",3,1,"A","B",0,2,2,"Transitory","F",1,0,0,0,1,0
"Psi sA toB gTransitoryF c2 a0 o2 t2",256,0.872070190730959,0.0230185290975028,"     ","","TransitoryF","2","0","2",2,2,"A","B",1,0,1,"Transitory","F",1,0,0,0,1,0
"Psi sA toB gTransitoryF c2 a1 o3 t3",257,0.869975635676526,0.0225859553833621,"     ","","TransitoryF","2","1","3",3,2,"A","B",1,1,2,"Transitory","F",1,0,0,0,1,0
"Psi sA toB gTransitoryF c3 a0 o3 t3",258,0.869975635676526,0.0225859553833621,"     ","","TransitoryF","3","0","3",3,3,"A","B",2,0,2,"Transitory","F",1,0,0,0,1,0
"Psi sA toX gTransitoryF c1 a0 o1 t1",259,0.126922429696229,0.0234482435970804,"     ","","TransitoryF","1","0","1",1,1,"A","X",0,0,0,"Transitory","F",1,0,0,0,0,1
"Psi sA toX gTransitoryF c1 a1 o2 t2",260,0.126834312061288,0.0234660435250475,"     ","","TransitoryF","1","1","2",2,1,"A","X",0,1,1,"Transitory","F",1,0,0,0,0,1
