tag.ID,power,array,rec,ymd.hms,unix
875,1553,4,1,8/7/2020 18:23,1596853439
875,1542,5,6,8/8/2020 19:45,1596944703
890,877,6,3,8/18/2021 16:19,1629332379
890,867,U,1,8/19/2021 23:14,1629443647
895,1269,5,6,8/7/2020 19:33,1596857600
895,87,5,5,8/8/2020 17:37,1596937047
895,1258,5,1,8/9/2020 8:00,1596988813
895,563,4,6,8/12/2020 16:23,1597278182
895,1544,S,1,8/15/2020 5:43,1597499017
915,131,4,1,8/8/2020 7:07,1596899254
930,927,U,1,8/22/2021 9:18,1629652721
930,135,4,4,8/28/2021 15:43,1630194209
930,75,2,5,8/30/2021 3:24,1630322678
935,1552,5,1,8/7/2020 20:43,1596861837
935,1540,U,2,8/8/2020 13:31,1596922288
955,1604,E,2,8/13/2020 13:10,1597353017
995,463,5,6,8/7/2020 17:06,1596848785
995,1554,U,2,8/7/2020 23:38,1596872330
1010,108,5,1,8/17/2021 13:46,1629236779
1010,115,7,1,8/18/2021 13:09,1629320995
1010,68,5,4,8/21/2021 7:26,1629559597
1010,56,6,5,8/21/2021 17:59,1629597541
1010,402,7,1,8/21/2021 23:24,1629617087
1015,1264,5,2,8/7/2020 23:44,1596872671
1015,1216,U,2,8/8/2020 18:35,1596940552
1035,1525,E,2,8/12/2020 17:18,1597281537
1035,394,E,1,8/16/2020 18:28,1597631290
1035,97,5,6,8/17/2020 10:42,1597689772
1035,1555,U,2,8/17/2020 17:10,1597713012
1050,186,5,1,8/18/2021 2:27,1629282421
1055,1563,4,3,8/8/2020 0:50,1596876624
1055,1559,4,2,8/8/2020 15:01,1596927715
1055,1511,U,2,8/9/2020 9:18,1596993529
1070,15,U,1,8/22/2021 6:28,1629642519
1075,48,5,1,8/7/2020 21:31,1596864709
1090,1117,U,1,8/24/2021 1:16,1629796573
1095,247,5,6,8/7/2020 17:57,1596851831
1095,1546,U,1,8/8/2020 9:24,1596907473
1110,1297,U,1,8/23/2021 21:51,1629784308
1115,1511,4,3,8/8/2020 5:11,1596892273
1115,78,4,4,8/9/2020 9:11,1596993113
1130,266,6,1,8/23/2021 17:01,1629766863
1130,112,7,1,8/24/2021 11:05,1629831924
1135,1572,5,5,8/8/2020 13:50,1596923408
1135,1558,U,2,8/8/2020 22:07,1596953230
1155,1298,4,1,8/8/2020 16:50,1596934202
1155,1532,5,6,8/9/2020 17:36,1597023381
1155,1533,U,1,8/9/2020 23:26,1597044402
1170,381,5,1,8/23/2021 9:02,1629738120
1175,1550,E,1,8/9/2020 20:53,1597035203
1175,1523,E,1,8/11/2020 6:35,1597156500
1175,288,4,2,8/12/2020 23:19,1597303156
1175,1536,S,1,8/15/2020 18:25,1597544739
1195,1412,4,1,8/12/2020 13:31,1597267899
1195,199,5,6,8/14/2020 10:34,1597430065
1195,1522,U,1,8/14/2020 16:17,1597450632
1210,70,5,6,8/24/2021 4:14,1629807243
1215,1541,E,2,8/8/2020 19:49,1596944960
1230,327,5,1,8/23/2021 19:06,1629774412
1230,61,5,3,8/24/2021 8:57,1629824243
1235,149,5,6,8/8/2020 11:33,1596915229
1235,1547,U,2,8/8/2020 20:33,1596947594
1250,87,4,3,8/24/2021 8:36,1629823015
1255,1101,4,3,8/8/2020 4:57,1596891438
1255,88,4,4,8/10/2020 18:07,1597111656
1255,1560,U,2,8/11/2020 21:07,1597208853
1270,1016,5,4,8/23/2021 18:02,1629770528
1275,1572,5,5,8/8/2020 17:16,1596935817
1275,320,6,1,8/9/2020 18:39,1597027143
1275,1541,7,1,8/10/2020 8:14,1597076093
1275,1414,U,1,8/15/2020 10:51,1597517489
1290,69,4,4,8/24/2021 13:15,1629839753
1290,15,4,2,8/26/2021 16:42,1630024975
1295,1414,4,1,8/12/2020 9:59,1597255197
1310,1551,5,4,8/23/2021 18:13,1629771234
1310,870,U,1,8/24/2021 10:42,1629830566
1315,185,5,1,8/7/2020 22:44,1596869057
1315,1568,4,1,8/8/2020 16:07,1596931627
1315,1544,4,3,8/9/2020 19:55,1597031727
1315,1319,5,4,8/10/2020 14:39,1597099180
1315,1546,U,2,8/10/2020 22:49,1597128589
1335,1532,S,2,8/16/2020 6:51,1597589461
1350,1505,5,1,8/23/2021 23:06,1629788792
1350,1118,U,1,8/24/2021 21:28,1629869291
1370,1397,5,1,8/23/2021 17:23,1629768211
1370,1471,U,1,8/24/2021 12:16,1629836178
1375,1406,4,2,8/8/2020 1:48,1596880094
1375,66,3,3,8/8/2020 16:35,1596933351
1375,254,2,1,8/9/2020 1:31,1596965477
1375,856,2,2,8/10/2020 10:11,1597083107
1375,65,3,3,8/10/2020 17:42,1597110155
1375,442,3,1,8/15/2020 9:27,1597512472
1375,1455,K,2,8/20/2020 11:41,1597952490
1390,83,5,1,8/23/2021 21:35,1629783328
1390,1471,U,1,8/24/2021 12:08,1629835721
1395,1563,4,1,8/8/2020 18:28,1596940093
1410,15,4,2,8/24/2021 11:35,1629833707
1410,84,4,3,8/25/2021 16:29,1629937747
1410,1546,5,3,8/25/2021 23:18,1629962292
1430,1264,5,1,8/23/2021 17:41,1629769306
1430,64,5,3,8/24/2021 13:30,1629840613
1430,89,4,3,8/24/2021 21:38,1629869884
1430,1402,3,5,8/25/2021 19:42,1629949366
1435,455,5,6,8/7/2020 19:48,1596858482
1435,1542,6,4,8/8/2020 15:08,1596928103
1435,78,7,1,8/9/2020 11:23,1597000992
1450,539,5,1,8/23/2021 23:55,1629791724
1450,1504,U,1,8/24/2021 21:03,1629867828
1455,92,5,2,8/13/2020 0:11,1597306286
1455,1538,U,1,8/13/2020 13:11,1597353070
1470,66,5,3,8/24/2021 16:33,1629851581
1470,302,U,1,8/25/2021 11:02,1629918147
1475,1569,5,5,8/12/2020 8:42,1597250526
1495,879,5,6,8/10/2020 21:32,1597123927
1495,1603,U,2,8/12/2020 22:47,1597301244
1510,811,5,1,8/23/2021 23:58,1629791930
1510,38,U,1,8/24/2021 12:55,1629838515
1515,1428,5,4,8/11/2020 1:21,1597137707
1515,1552,U,2,8/11/2020 11:06,1597172780
1530,308,5,1,8/23/2021 23:23,1629789839
1535,74,5,2,8/11/2020 7:01,1597158100
