,par.index,estimate,se
Psi sX toA gTransitoryM c1 a2 o3 t3,387,0.138529106,0.121874247
Psi sX toA gTransitoryM c2 a0 o2 t2,388,0.138529106,0.408432092
Psi sX toA gTransitoryM c2 a1 o3 t3,389,0.138529106,0.121874247
Psi sX toA gTransitoryM c3 a0 o3 t3,390,0.138529106,0.121874247
Psi sX toB gTransitoryM c1 a0 o1 t1,391,0.861470894,0.376611431
Psi sX toB gTransitoryM c1 a1 o2 t2,392,0.861470894,0.409320712
Psi sX toB gTransitoryM c1 a2 o3 t3,393,0.861470894,0.117962415
Psi sX toB gTransitoryM c2 a0 o2 t2,394,0.861470894,0.409320712
Psi sX toB gTransitoryM c2 a1 o3 t3,395,0.861470894,0.117962415
Psi sX toB gTransitoryM c3 a0 o3 t3,396,0.861470894,0.117962415
Psi sA toB gUnalakleetM c1 a0 o1 t1,397,0.795055937,0.027499253
Psi sA toB gUnalakleetM c1 a1 o2 t2,398,0.688670656,0.065875544
Psi sA toB gUnalakleetM c1 a2 o3 t3,399,0.470512185,0.248225009
Psi sA toB gUnalakleetM c2 a0 o2 t2,400,0.688670656,0.065875544
Psi sA toB gUnalakleetM c2 a1 o3 t3,401,0.470512185,0.248225009
Psi sA toB gUnalakleetM c3 a0 o3 t3,402,0.470512185,0.248225009
Psi sA toX gUnalakleetM c1 a0 o1 t1,403,0.115633318,0.02230795
Psi sA toX gUnalakleetM c1 a1 o2 t2,404,0.100160588,0.021298138
Psi sA toX gUnalakleetM c1 a2 o3 t3,405,0.068431515,0.037493525
Psi sA toX gUnalakleetM c2 a0 o2 t2,406,0.100160588,0.021298138
Psi sA toX gUnalakleetM c2 a1 o3 t3,407,0.068431515,0.037493525
Psi sA toX gUnalakleetM c3 a0 o3 t3,408,0.068431515,0.037493525
Psi sB toA gUnalakleetM c1 a0 o1 t1,409,0.074760055,0.015909878
Psi sB toA gUnalakleetM c1 a1 o2 t2,410,0.030100538,0.010250489
Psi sB toA gUnalakleetM c1 a2 o3 t3,411,0.009802496,0.010259554
Psi sB toA gUnalakleetM c2 a0 o2 t2,412,0.030100538,0.010250489
Psi sB toA gUnalakleetM c2 a1 o3 t3,413,0.009802496,0.010259554
Psi sB toA gUnalakleetM c3 a0 o3 t3,414,0.009802496,0.010259554
Psi sB toX gUnalakleetM c1 a0 o1 t1,415,0.067616773,0.015643548
Psi sB toX gUnalakleetM c1 a1 o2 t2,416,0.027224448,0.010306871
Psi sB toX gUnalakleetM c1 a2 o3 t3,417,0.008865874,0.009580735
Psi sB toX gUnalakleetM c2 a0 o2 t2,418,0.027224448,0.010306871
Psi sB toX gUnalakleetM c2 a1 o3 t3,419,0.008865874,0.009580735
Psi sB toX gUnalakleetM c3 a0 o3 t3,420,0.008865874,0.009580735
Psi sX toA gUnalakleetM c1 a0 o1 t1,421,0.138529106,0.832825151
Psi sX toA gUnalakleetM c1 a1 o2 t2,422,0.138529106,0.099465036
Psi sX toA gUnalakleetM c1 a2 o3 t3,423,0.138529106,0.191478104
Psi sX toA gUnalakleetM c2 a0 o2 t2,424,0.138529106,0.099465036
Psi sX toA gUnalakleetM c2 a1 o3 t3,425,0.138529106,0.191478104
Psi sX toA gUnalakleetM c3 a0 o3 t3,426,0.138529106,0.191478104
Psi sX toB gUnalakleetM c1 a0 o1 t1,427,0.861470894,0.833074832
Psi sX toB gUnalakleetM c1 a1 o2 t2,428,0.861470894,0.088497689
Psi sX toB gUnalakleetM c1 a2 o3 t3,429,0.861470894,0.188766513
Psi sX toB gUnalakleetM c2 a0 o2 t2,430,0.861470894,0.088497689
Psi sX toB gUnalakleetM c2 a1 o3 t3,431,0.861470894,0.188766513
Psi sX toB gUnalakleetM c3 a0 o3 t3,432,0.861470894,0.188766513
