,par.index,estimate,se
S sX gTransitoryM c2 a1 o3 t3,89,0.111037115,0.044950809
S sX gTransitoryM c3 a0 o3 t3,90,0.111037115,0.044950809
S sA gUnalakleetM c1 a0 o1 t1,91,1,1.06E-12
S sA gUnalakleetM c1 a1 o2 t2,92,0.706469495,0.109583806
S sA gUnalakleetM c1 a2 o3 t3,93,0.434663075,0.1408752
S sA gUnalakleetM c2 a0 o2 t2,94,0.706469495,0.109583806
S sA gUnalakleetM c2 a1 o3 t3,95,0.434663075,0.1408752
S sA gUnalakleetM c3 a0 o3 t3,96,0.434663075,0.1408752
S sB gUnalakleetM c1 a0 o1 t1,97,1,3.58E-12
S sB gUnalakleetM c1 a1 o2 t2,98,0.41735218,0.031699952
S sB gUnalakleetM c1 a2 o3 t3,99,0.186213884,0.034661887
S sB gUnalakleetM c2 a0 o2 t2,100,0.41735218,0.031699952
S sB gUnalakleetM c2 a1 o3 t3,101,0.186213884,0.034661887
S sB gUnalakleetM c3 a0 o3 t3,102,0.186213884,0.034661887
S sX gUnalakleetM c1 a0 o1 t1,103,1,4.80E-11
S sX gUnalakleetM c1 a1 o2 t2,104,0.050663237,0.031934016
S sX gUnalakleetM c1 a2 o3 t3,105,0.016762405,0.011270433
S sX gUnalakleetM c2 a0 o2 t2,106,0.050663237,0.031934016
S sX gUnalakleetM c2 a1 o3 t3,107,0.016762405,0.011270433
S sX gUnalakleetM c3 a0 o3 t3,108,0.016762405,0.011270433
p sA gShaktoolikF c1 a1 o1 t2,109,1,0
p sA gShaktoolikF c1 a2 o2 t3,110,1,0
p sA gShaktoolikF c1 a3 o3 t4,111,1,0
p sA gShaktoolikF c2 a1 o2 t3,112,1,0
p sA gShaktoolikF c2 a2 o3 t4,113,1,0
p sA gShaktoolikF c3 a1 o3 t4,114,1,0
p sB gShaktoolikF c1 a1 o1 t2,115,1,0
p sB gShaktoolikF c1 a2 o2 t3,116,1,0
p sB gShaktoolikF c1 a3 o3 t4,117,1,0
p sB gShaktoolikF c2 a1 o2 t3,118,1,0
p sB gShaktoolikF c2 a2 o3 t4,119,1,0
p sB gShaktoolikF c3 a1 o3 t4,120,1,0
p sX gShaktoolikF c1 a1 o1 t2,121,1,0
p sX gShaktoolikF c1 a2 o2 t3,122,1,0
p sX gShaktoolikF c1 a3 o3 t4,123,1,0
p sX gShaktoolikF c2 a1 o2 t3,124,1,0
p sX gShaktoolikF c2 a2 o3 t4,125,1,0
p sX gShaktoolikF c3 a1 o3 t4,126,1,0
p sA gTransitoryF c1 a1 o1 t2,127,1,0
p sA gTransitoryF c1 a2 o2 t3,128,1,0
p sA gTransitoryF c1 a3 o3 t4,129,1,0
p sA gTransitoryF c2 a1 o2 t3,130,1,0
p sA gTransitoryF c2 a2 o3 t4,131,1,0
p sA gTransitoryF c3 a1 o3 t4,132,1,0
p sB gTransitoryF c1 a1 o1 t2,133,1,0
p sB gTransitoryF c1 a2 o2 t3,134,1,0
p sB gTransitoryF c1 a3 o3 t4,135,1,0
p sB gTransitoryF c2 a1 o2 t3,136,1,0
p sB gTransitoryF c2 a2 o3 t4,137,1,0
p sB gTransitoryF c3 a1 o3 t4,138,1,0
p sX gTransitoryF c1 a1 o1 t2,139,1,0
p sX gTransitoryF c1 a2 o2 t3,140,1,0
p sX gTransitoryF c1 a3 o3 t4,141,1,0
p sX gTransitoryF c2 a1 o2 t3,142,1,0
p sX gTransitoryF c2 a2 o3 t4,143,1,0
p sX gTransitoryF c3 a1 o3 t4,144,1,0
p sA gUnalakleetF c1 a1 o1 t2,145,1,0
p sA gUnalakleetF c1 a2 o2 t3,146,1,0
p sA gUnalakleetF c1 a3 o3 t4,147,1,0
p sA gUnalakleetF c2 a1 o2 t3,148,1,0
p sA gUnalakleetF c2 a2 o3 t4,149,1,0
p sA gUnalakleetF c3 a1 o3 t4,150,1,0
p sB gUnalakleetF c1 a1 o1 t2,151,1,0
p sB gUnalakleetF c1 a2 o2 t3,152,1,0
p sB gUnalakleetF c1 a3 o3 t4,153,1,0
p sB gUnalakleetF c2 a1 o2 t3,154,1,0
p sB gUnalakleetF c2 a2 o3 t4,155,1,0
p sB gUnalakleetF c3 a1 o3 t4,156,1,0
p sX gUnalakleetF c1 a1 o1 t2,157,1,0
p sX gUnalakleetF c1 a2 o2 t3,158,1,0
p sX gUnalakleetF c1 a3 o3 t4,159,1,0
p sX gUnalakleetF c2 a1 o2 t3,160,1,0
p sX gUnalakleetF c2 a2 o3 t4,161,1,0
p sX gUnalakleetF c3 a1 o3 t4,162,1,0
p sA gShaktoolikM c1 a1 o1 t2,163,1,0
p sA gShaktoolikM c1 a2 o2 t3,164,1,0
p sA gShaktoolikM c1 a3 o3 t4,165,1,0
p sA gShaktoolikM c2 a1 o2 t3,166,1,0
p sA gShaktoolikM c2 a2 o3 t4,167,1,0
p sA gShaktoolikM c3 a1 o3 t4,168,1,0
p sB gShaktoolikM c1 a1 o1 t2,169,1,0
p sB gShaktoolikM c1 a2 o2 t3,170,1,0
p sB gShaktoolikM c1 a3 o3 t4,171,1,0
p sB gShaktoolikM c2 a1 o2 t3,172,1,0
p sB gShaktoolikM c2 a2 o3 t4,173,1,0
p sB gShaktoolikM c3 a1 o3 t4,174,1,0
p sX gShaktoolikM c1 a1 o1 t2,175,1,0
p sX gShaktoolikM c1 a2 o2 t3,176,1,0
p sX gShaktoolikM c1 a3 o3 t4,177,1,0
p sX gShaktoolikM c2 a1 o2 t3,178,1,0
p sX gShaktoolikM c2 a2 o3 t4,179,1,0
p sX gShaktoolikM c3 a1 o3 t4,180,1,0
p sA gTransitoryM c1 a1 o1 t2,181,1,0
p sA gTransitoryM c1 a2 o2 t3,182,1,0
p sA gTransitoryM c1 a3 o3 t4,183,1,0
p sA gTransitoryM c2 a1 o2 t3,184,1,0
p sA gTransitoryM c2 a2 o3 t4,185,1,0
p sA gTransitoryM c3 a1 o3 t4,186,1,0
p sB gTransitoryM c1 a1 o1 t2,187,1,0
p sB gTransitoryM c1 a2 o2 t3,188,1,0
p sB gTransitoryM c1 a3 o3 t4,189,1,0
p sB gTransitoryM c2 a1 o2 t3,190,1,0
p sB gTransitoryM c2 a2 o3 t4,191,1,0
p sB gTransitoryM c3 a1 o3 t4,192,1,0
p sX gTransitoryM c1 a1 o1 t2,193,1,0
p sX gTransitoryM c1 a2 o2 t3,194,1,0
p sX gTransitoryM c1 a3 o3 t4,195,1,0
p sX gTransitoryM c2 a1 o2 t3,196,1,0
p sX gTransitoryM c2 a2 o3 t4,197,1,0
p sX gTransitoryM c3 a1 o3 t4,198,1,0
p sA gUnalakleetM c1 a1 o1 t2,199,1,0
p sA gUnalakleetM c1 a2 o2 t3,200,1,0
p sA gUnalakleetM c1 a3 o3 t4,201,1,0
p sA gUnalakleetM c2 a1 o2 t3,202,1,0
p sA gUnalakleetM c2 a2 o3 t4,203,1,0
p sA gUnalakleetM c3 a1 o3 t4,204,1,0
p sB gUnalakleetM c1 a1 o1 t2,205,1,0
