tag.ID,date.time,lat,long,stock
1095,8/8/2020 9:24,63.557764,-161.056892,6
1110,8/23/2021 21:51,63.557764,-161.056892,6
1130,8/23/2021 17:01,63.690645,-160.876555,6
1130,8/24/2021 11:05,63.547179,-161.123543,6
1130,8/24/2021 19:46,63.548007,-161.129208,6
1135,8/8/2020 13:50,63.953142,-160.882113,6
1135,8/8/2020 22:07,63.555623,-161.051248,6
1155,8/8/2020 16:50,64.131287,-160.957982,6
1155,8/9/2020 17:36,63.95299,-160.888171,6
1155,8/9/2020 23:26,63.557764,-161.056892,6
1175,8/9/2020 20:53,64.042944,-160.888673,5
1175,8/11/2020 6:35,64.042944,-160.888673,5
1175,8/12/2020 23:19,64.131239,-160.964123,5
1175,8/15/2020 18:25,64.368624,-161.112718,5
1195,8/12/2020 13:31,64.131287,-160.957982,6
1195,8/14/2020 10:34,63.95299,-160.888171,6
1195,8/14/2020 16:17,63.557764,-161.056892,6
1210,8/24/2021 4:14,63.95299,-160.888171,6
1215,8/8/2020 19:49,64.039991,-160.900489,6
1235,8/8/2020 11:33,63.95299,-160.888171,6
1235,8/8/2020 20:33,63.555623,-161.051248,6
1255,8/8/2020 4:57,64.131144,-160.970255,6
1255,8/10/2020 18:07,64.131052,-160.976405,6
1255,8/11/2020 21:07,63.555623,-161.051248,6
1275,8/8/2020 17:16,63.953142,-160.882113,6
1275,8/9/2020 18:39,63.690645,-160.876555,6
1275,8/10/2020 8:14,63.547179,-161.123543,6
1275,8/15/2020 10:51,63.557764,-161.056892,6
1310,8/23/2021 18:13,63.953337,-160.876021,6
1310,8/24/2021 10:42,63.557764,-161.056892,6
1315,8/7/2020 22:44,63.953841,-160.857668,6
1315,8/8/2020 16:07,64.131287,-160.957982,6
1315,8/9/2020 19:55,64.131144,-160.970255,6
1315,8/10/2020 14:39,63.953337,-160.876021,6
1315,8/10/2020 22:49,63.555623,-161.051248,6
1335,8/16/2020 6:51,64.366297,-161.093039,5
1350,8/23/2021 23:06,63.953841,-160.857668,6
1350,8/24/2021 21:28,63.557764,-161.056892,6
1370,8/23/2021 17:23,63.953841,-160.857668,6
1370,8/24/2021 12:16,63.557764,-161.056892,6
1375,8/8/2020 1:48,64.131239,-160.964123,4
1375,8/8/2020 16:35,64.371604,-161.541044,4
1375,8/9/2020 1:31,64.535826,-161.37641,4
1375,8/10/2020 10:11,64.538388,-161.37827,4
1375,8/10/2020 17:42,64.371604,-161.541044,4
1375,8/15/2020 9:27,64.376093,-161.533817,4
1375,8/20/2020 11:41,64.927713,-160.982101,4
1390,8/23/2021 21:35,63.953841,-160.857668,6
1390,8/24/2021 12:08,63.557764,-161.056892,6
1430,8/23/2021 17:41,63.953841,-160.857668,N
1430,8/24/2021 13:30,63.953475,-160.869926,N
1430,8/24/2021 21:38,64.131144,-160.970255,N
1430,8/25/2021 19:42,64.367045,-161.548138,N
1435,8/7/2020 19:48,63.95299,-160.888171,S
1435,8/8/2020 15:08,63.692845,-160.893966,S
1435,8/9/2020 11:23,63.547179,-161.123543,S
1450,8/23/2021 23:55,63.953841,-160.857668,6
1450,8/24/2021 21:03,63.557764,-161.056892,6
1455,8/13/2020 0:11,63.953644,-160.863799,6
1455,8/13/2020 13:11,63.557764,-161.056892,6
1470,8/24/2021 16:33,63.953475,-160.869926,6
1470,8/25/2021 11:02,63.557764,-161.056892,6
1495,8/10/2020 21:32,63.95299,-160.888171,6
1495,8/12/2020 22:47,63.555623,-161.051248,6
1510,8/23/2021 23:58,63.953841,-160.857668,6
1510,8/24/2021 12:55,63.557764,-161.056892,6
1515,8/11/2020 1:21,63.953337,-160.876021,6
1515,8/11/2020 11:06,63.555623,-161.051248,6
1535,8/11/2020 7:01,63.953644,-160.863799,6
1535,8/11/2020 15:06,63.555623,-161.051248,6
1575,8/16/2020 18:21,64.042944,-160.888673,6
1615,8/11/2020 11:59,63.95299,-160.888171,6
1615,8/11/2020 19:56,63.557764,-161.056892,6
1630,8/24/2021 1:43,63.953841,-160.857668,6
1630,8/24/2021 22:49,63.557764,-161.056892,6
1655,8/13/2020 9:57,64.131052,-160.976405,N
1655,8/14/2020 3:45,64.376093,-161.533817,N
1675,8/12/2020 5:12,64.131239,-160.964123,5
1675,8/15/2020 6:45,64.368624,-161.112718,5
1695,8/12/2020 10:10,64.131287,-160.957982,6
1695,8/15/2020 9:13,64.368624,-161.112718,6
1695,8/18/2020 7:14,64.366297,-161.093039,6
1695,8/18/2020 21:48,64.131287,-160.957982,6
1695,8/19/2020 5:10,63.953142,-160.882113,6
1695,8/19/2020 13:24,63.555623,-161.051248,6
1730,8/24/2021 1:15,63.953841,-160.857668,6
1730,8/24/2021 22:13,63.557764,-161.056892,6
1735,8/12/2020 10:37,63.95299,-160.888171,6
1735,8/13/2020 17:38,63.953644,-160.863799,6
1735,8/14/2020 18:57,63.557764,-161.056892,6
1755,8/12/2020 10:59,63.95299,-160.888171,6
1755,8/15/2020 6:46,63.557764,-161.056892,6
1770,8/24/2021 1:34,63.953841,-160.857668,6
1770,8/24/2021 16:04,63.557764,-161.056892,6
1775,8/12/2020 10:58,63.95299,-160.888171,6
1775,8/18/2020 10:19,63.555623,-161.051248,6
1795,8/12/2020 10:56,63.95299,-160.888171,6
1795,8/13/2020 11:20,63.555623,-161.051248,6
1815,8/12/2020 11:55,63.953644,-160.863799,6
1815,8/16/2020 19:49,64.042944,-160.888673,6
1835,8/12/2020 11:06,63.953142,-160.882113,S
1835,8/13/2020 7:08,63.690645,-160.876555,S
1835,8/14/2020 3:36,63.547179,-161.123543,S
1855,8/12/2020 19:11,63.95299,-160.888171,6
1855,8/13/2020 2:13,63.557764,-161.056892,6
1870,8/24/2021 8:47,63.557764,-161.056892,6
1875,8/12/2020 11:16,63.95299,-160.888171,6
1875,8/13/2020 21:47,63.555623,-161.051248,6
1915,8/12/2020 13:59,63.953644,-160.863799,6
1915,8/14/2020 16:50,63.95299,-160.888171,6
1915,8/18/2020 23:22,64.042944,-160.888673,6
1955,8/12/2020 11:37,63.95299,-160.888171,6
1955,8/13/2020 3:01,63.953337,-160.876021,6
1955,8/19/2020 16:35,64.042944,-160.888673,6
1975,8/12/2020 11:46,63.953142,-160.882113,6
1975,8/14/2020 2:39,63.953337,-160.876021,6
1975,8/15/2020 7:27,63.555623,-161.051248,6
1995,8/12/2020 12:33,63.953337,-160.876021,6
1995,8/13/2020 8:21,63.555623,-161.051248,6
2015,8/12/2020 11:45,63.953142,-160.882113,6
2015,8/13/2020 11:52,63.557764,-161.056892,6
2030,8/24/2021 16:23,63.953475,-160.869926,6
2055,8/12/2020 11:56,63.953142,-160.882113,S
2055,8/13/2020 19:48,63.691418,-160.88228,S
2055,8/14/2020 12:47,63.547179,-161.123543,S
2090,8/24/2021 15:47,63.953337,-160.876021,6
2090,8/25/2021 13:22,63.557764,-161.056892,6
2115,8/12/2020 12:08,63.95299,-160.888171,6
2115,8/13/2020 0:37,63.555623,-161.051248,6
2130,8/24/2021 16:42,63.953475,-160.869926,6
2135,8/12/2020 12:09,63.95299,-160.888171,6
2135,8/13/2020 12:21,63.953142,-160.882113,6
2135,8/14/2020 10:27,63.557764,-161.056892,6
2150,8/24/2021 17:04,63.953475,-160.869926,6
2155,8/12/2020 12:12,63.95299,-160.888171,6
2155,8/13/2020 7:46,63.555623,-161.051248,6
2175,8/12/2020 12:13,63.95299,-160.888171,6
2175,8/13/2020 10:01,63.691418,-160.88228,6
2175,8/14/2020 6:41,63.547179,-161.123543,6
2175,8/14/2020 17:53,63.547179,-161.123543,6
2175,8/15/2020 6:38,63.860209,-160.697523,6
2195,8/12/2020 14:33,63.953644,-160.863799,N
2195,8/14/2020 5:52,64.131287,-160.957982,N
2195,8/17/2020 9:44,64.732402,-161.527414,N
2195,8/24/2020 22:06,64.729833,-161.525338,N
2215,8/12/2020 12:16,63.95299,-160.888171,6
2215,8/17/2020 18:48,64.042944,-160.888673,6
2235,8/12/2020 12:52,63.953475,-160.869926,6
2235,8/13/2020 18:13,63.557764,-161.056892,6
2295,8/12/2020 12:29,63.95299,-160.888171,5
2295,8/13/2020 0:00,63.953644,-160.863799,5
