mdy.hms ,temp
7/19/2020 23:00,16.86777778
7/20/2020 0:00,16.70111111
7/20/2020 1:00,16.58222222
7/20/2020 2:00,16.39222222
7/20/2020 3:00,16.15277778
7/20/2020 4:00,16.12888889
7/20/2020 5:00,16.01
7/20/2020 6:00,15.96277778
7/20/2020 7:00,15.89111111
7/20/2020 8:00,15.81888889
7/20/2020 9:00,15.74777778
7/20/2020 10:00,15.62888889
7/20/2020 11:00,15.67611111
7/20/2020 12:00,15.77222222
7/20/2020 13:00,15.84277778
7/20/2020 14:00,15.915
7/20/2020 15:00,16.03388889
7/20/2020 16:00,16.03388889
7/20/2020 17:00,16.12888889
7/20/2020 18:00,16.10611111
7/20/2020 19:00,16.17722222
7/20/2020 20:00,16.05777778
7/20/2020 21:00,15.93888889
7/20/2020 22:00,15.79611111
7/20/2020 23:00,15.7
7/21/2020 0:00,15.65222222
7/21/2020 1:00,15.605
7/21/2020 2:00,15.58111111
7/21/2020 3:00,15.50888889
7/21/2020 4:00,15.46111111
7/21/2020 5:00,15.34222222
7/21/2020 6:00,15.175
7/21/2020 7:00,14.98388889
7/21/2020 8:00,14.81611111
7/21/2020 9:00,14.48111111
7/21/2020 10:00,15.74777778
7/21/2020 11:00,15.79611111
7/21/2020 12:00,15.65222222
7/21/2020 13:00,15.65222222
7/21/2020 14:00,15.55722222
7/21/2020 15:00,15.485
7/21/2020 16:00,15.34222222
7/21/2020 17:00,15.24722222
7/21/2020 18:00,15.19888889
7/21/2020 19:00,15.055
7/21/2020 20:00,15.055
7/21/2020 21:00,14.98388889
7/21/2020 22:00,14.84
7/21/2020 23:00,14.72111111
7/22/2020 0:00,14.69722222
7/22/2020 1:00,14.60111111
7/22/2020 2:00,14.12222222
7/22/2020 3:00,14.19388889
7/22/2020 4:00,13.95388889
7/22/2020 5:00,13.69
7/22/2020 6:00,14.86388889
7/22/2020 7:00,15.81888889
7/22/2020 8:00,16.05777778
7/22/2020 9:00,15.81888889
7/22/2020 10:00,15.81888889
7/22/2020 11:00,15.72388889
7/22/2020 12:00,15.72388889
7/22/2020 13:00,15.67611111
7/22/2020 14:00,15.58111111
7/22/2020 15:00,15.605
7/22/2020 16:00,15.485
7/22/2020 17:00,15.19888889
7/22/2020 18:00,14.81611111
7/22/2020 19:00,14.60111111
7/22/2020 20:00,14.26611111
7/22/2020 21:00,14.96
7/22/2020 22:00,13.93
7/22/2020 23:00,13.81
7/23/2020 0:00,15.29388889
7/23/2020 1:00,15.055
7/23/2020 2:00,14.69722222
7/23/2020 3:00,14.31388889
7/23/2020 4:00,14.33722222
7/23/2020 5:00,14.385
7/23/2020 6:00,13.57
7/23/2020 7:00,13.16111111
7/23/2020 8:00,14.33722222
7/23/2020 9:00,14.745
7/23/2020 10:00,14.88777778
7/23/2020 11:00,15.15111111
7/23/2020 12:00,15.10277778
7/23/2020 13:00,14.81611111
7/23/2020 14:00,15.055
7/23/2020 15:00,15.175
7/23/2020 16:00,15.055
7/23/2020 17:00,15.055
7/23/2020 18:00,14.93611111
7/23/2020 19:00,14.91222222
7/23/2020 20:00,15.055
7/23/2020 21:00,15.10277778
7/23/2020 22:00,14.91222222
7/23/2020 23:00,14.91222222
7/24/2020 0:00,15.055
7/24/2020 1:00,15.12722222
7/24/2020 2:00,15.10277778
7/24/2020 3:00,15.07888889
7/24/2020 4:00,14.86388889
7/24/2020 5:00,14.76777778
7/24/2020 6:00,13.71388889
7/24/2020 7:00,13.52222222
7/24/2020 8:00,13.57
7/24/2020 9:00,13.425
7/24/2020 10:00,13.185
7/24/2020 11:00,14.12222222
7/24/2020 12:00,14.19388889
7/24/2020 13:00,14.33722222
7/24/2020 14:00,14.29
7/24/2020 15:00,14.36111111
7/24/2020 16:00,14.09777778
7/24/2020 17:00,14.21777778
7/24/2020 18:00,13.57
7/24/2020 19:00,13.73777778
7/24/2020 20:00,14.14611111
7/24/2020 21:00,14.57722222
7/24/2020 22:00,14.57722222
7/24/2020 23:00,14.64888889
7/25/2020 0:00,14.55277778
7/25/2020 1:00,14.60111111
7/25/2020 2:00,14.55277778
7/25/2020 3:00,14.69722222
7/25/2020 4:00,14.745
7/25/2020 5:00,14.625
7/25/2020 6:00,14.625
7/25/2020 7:00,14.64888889
7/25/2020 8:00,14.52888889
7/25/2020 9:00,14.79222222
7/25/2020 10:00,14.76777778
7/25/2020 11:00,14.67277778
7/25/2020 12:00,14.72111111
7/25/2020 13:00,14.52888889
