mcode,capture.date,stat.week,tag.group,card.no,fish.no,swim.dir,time.in,sex,length,time.out,species,notes,age,lat,long,mesh.size,secchi.dis,secchi.re,air.temp,water.temp,wind.sp,wind.dir,cloud.cov
110,8/4/2021,32,1,1,1,N,15:09,M,524,15:15,coho,,,63.95464,-160.85338,5-7/8 in,1.6,0.8,75,,10,E,89
130,8/4/2021,32,1,1,2,N,15:11,M,559,15:19,coho,,,63.95464,-160.85338,5-7/8 in,1.6,0.8,75,,10,E,89
150,8/4/2021,32,1,1,3,N,15:44,M,421,15:44,coho,,,63.95464,-160.85338,5-7/8 in,1.6,0.8,75,,10,E,89
170,8/8/2021,33,1,2,1,,13:00,F,560,13:09,coho,,,64.04228,-160.93012,5-5/8 in,1,1.75,75,56.13,0,,100
190,8/8/2021,33,1,2,2,N,13:17,F,548,13:25,coho,,,64.04228,-160.93012,5-5/8 in,1,1.75,75,56.13,0,,100
210,8/8/2021,33,1,2,3,S,13:57,M,568,14:06,coho,,,64.04228,-160.93012,5-5/8 in,1,1.75,75,56.13,0,,100
230,8/8/2021,33,1,2,4,S,14:16,F,576,14:20,coho,,,64.04228,-160.93012,5-5/8 in,1,1.75,75,56.13,0,,100
250,8/8/2021,33,1,2,5,S,14:45,F,514,14:52,coho,,,64.04228,-160.93012,5-5/8 in,1,1.75,75,56.13,0,,100
270,8/8/2021,33,1,2,6,N,14:58,M,583,15:05,coho,,,64.04228,-160.93012,5-5/8 in,1,1.75,75,56.13,0,,100
290,8/8/2021,33,1,2,7,N,15:07,M,497,15:13,coho,,,64.04228,-160.93012,5-5/8 in,1,1.75,75,56.13,0,,100
310,8/8/2021,33,1,2,8,S,15:16,M,544,15:22,coho,,,64.04228,-160.93012,5-5/8 in,1,1.75,75,56.13,0,,100
330,8/8/2021,33,1,2,9,N,15:30,M,544,15:32,coho,,,64.04228,-160.93012,5-5/8 in,1,1.75,75,56.13,0,,100
350,8/8/2021,33,1,2,10,N,15:46,M,533,15:51,coho,,,64.04228,-160.93012,5-5/8 in,1,1.75,75,56.13,0,,100
370,8/9/2021,33,1,3,1,N,12:16,M,507,12:23,coho,,,64.00259,-160.90355,5-5/8 in,0.75,0.5,,52.06,0,,100
390,8/9/2021,33,1,3,2,N,12:37,F,466,12:43,coho,,,64.00259,-160.90355,5-5/8 in,0.75,0.5,,52.06,0,,100
410,8/9/2021,33,1,3,3,N,13:43,F,517,13:49,coho,,,64.00259,-160.90355,5-5/8 in,0.75,0.5,,52.06,0,,100
430,8/9/2021,33,1,3,4,N,13:58,F,519,14:03,coho,,,64.00259,-160.90355,5-5/8 in,0.75,0.5,,52.06,0,,100
450,8/9/2021,33,1,3,5,N,14:15,F,457,14:23,coho,,,64.00259,-160.90355,5-5/8 in,0.75,0.5,,52.06,0,,100
470,8/9/2021,33,1,3,6,N,15:14,F,566,15:20,coho,,,63.954632,-160.854024,5-5/8 in,0.75,1.65,,,,,100
490,8/9/2021,33,1,3,7,N,15:42,M,528,15:46,coho,,,63.954632,-160.854024,5-5/8 in,0.75,1.65,,,,,100
510,8/9/2021,33,1,3,8,S,15:50,F,555,15:56,coho,,,63.954632,-160.854024,5-5/8 in,0.75,1.65,,,,,100
530,8/9/2021,33,1,3,9,S,15:51,F,516,15:54,coho,,,63.954632,-160.854024,5-5/8 in,0.75,1.65,,,,,100
550,8/9/2021,33,1,3,10,S,16:03,M,572,16:29,coho,,,63.954632,-160.854024,5-5/8 in,0.75,1.65,,,,,100
570,8/9/2021,33,1,3,1,S,16:07,M,572,16:29,coho,,,63.954632,-160.854024,5-5/8 in,0.75,1.65,,,,,100
590,8/10/2021,33,1,5,1,N,10:39,M,516,10:45,coho,card no. should be 4,,63.95564,-160.85443,5-5/8 in,0.5,0.25,,50.02,6,NW,90
610,8/10/2021,33,1,5,2,N,11:07,F,504,11:12,coho,,,63.95564,-160.85443,5-5/8 in,0.5,0.25,,50.02,6,NW,90
630,8/10/2021,33,1,5,3,S,12:00,M,501,12:08,coho,,,63.95564,-160.85443,5-5/8 in,0.5,0.25,,50.02,6,NW,90
650,8/10/2021,33,1,5,4,N,13:00,F,538,13:08,coho,,,63.95564,-160.85443,5-5/8 in,0.5,0.25,,50.02,6,NW,90
670,8/10/2021,33,1,5,5,N,13:14,F,562,13:18,coho,,,63.95564,-160.85443,5-5/8 in,0.5,0.25,,50.02,6,NW,90
690,8/10/2021,33,1,5,6,S,13:58,M,470,14:07,coho,,,63.91186,-160.81835,5-5/8 in,0.75,0.5,,50.02,2.5,NW,25
