"","par.index","estimate","se","fixed","note","group","cohort","age","time","occ","occ.cohort","stratum","Cohort","Age","Time","stock","sex","A","B","X"
"S sX gTransitoryF c2 a1 o3 t3",35,0.111037115138693,0.0449508089088986,"     ","","TransitoryF","2","1","3",3,2,"X",1,1,2,"Transitory","F",0,0,1
"S sX gTransitoryF c3 a0 o3 t3",36,0.111037115138693,0.0449508089088986,"     ","","TransitoryF","3","0","3",3,3,"X",2,0,2,"Transitory","F",0,0,1
"S sA gUnalakleetF c1 a0 o1 t1",37,0.999999999994383,1.06432964479496e-12,"     ","","UnalakleetF","1","0","1",1,1,"A",0,0,0,"Unalakleet","F",1,0,0
"S sA gUnalakleetF c1 a1 o2 t2",38,0.706469495004865,0.109583805761622,"     ","","UnalakleetF","1","1","2",2,1,"A",0,1,1,"Unalakleet","F",1,0,0
"S sA gUnalakleetF c1 a2 o3 t3",39,0.434663075040745,0.140875200281993,"     ","","UnalakleetF","1","2","3",3,1,"A",0,2,2,"Unalakleet","F",1,0,0
"S sA gUnalakleetF c2 a0 o2 t2",40,0.706469495004865,0.109583805761622,"     ","","UnalakleetF","2","0","2",2,2,"A",1,0,1,"Unalakleet","F",1,0,0
"S sA gUnalakleetF c2 a1 o3 t3",41,0.434663075040745,0.140875200281993,"     ","","UnalakleetF","2","1","3",3,2,"A",1,1,2,"Unalakleet","F",1,0,0
"S sA gUnalakleetF c3 a0 o3 t3",42,0.434663075040745,0.140875200281993,"     ","","UnalakleetF","3","0","3",3,3,"A",2,0,2,"Unalakleet","F",1,0,0
"S sB gUnalakleetF c1 a0 o1 t1",43,0.999999999981126,3.57531315302418e-12,"     ","","UnalakleetF","1","0","1",1,1,"B",0,0,0,"Unalakleet","F",0,1,0
"S sB gUnalakleetF c1 a1 o2 t2",44,0.417352179944026,0.0316999517498391,"     ","","UnalakleetF","1","1","2",2,1,"B",0,1,1,"Unalakleet","F",0,1,0
"S sB gUnalakleetF c1 a2 o3 t3",45,0.186213884375207,0.0346618873286272,"     ","","UnalakleetF","1","2","3",3,1,"B",0,2,2,"Unalakleet","F",0,1,0
"S sB gUnalakleetF c2 a0 o2 t2",46,0.417352179944026,0.0316999517498391,"     ","","UnalakleetF","2","0","2",2,2,"B",1,0,1,"Unalakleet","F",0,1,0
"S sB gUnalakleetF c2 a1 o3 t3",47,0.186213884375207,0.0346618873286272,"     ","","UnalakleetF","2","1","3",3,2,"B",1,1,2,"Unalakleet","F",0,1,0
"S sB gUnalakleetF c3 a0 o3 t3",48,0.186213884375207,0.0346618873286272,"     ","","UnalakleetF","3","0","3",3,3,"B",2,0,2,"Unalakleet","F",0,1,0
"S sX gUnalakleetF c1 a0 o1 t1",49,0.999999999746673,4.79875065169984e-11,"     ","","UnalakleetF","1","0","1",1,1,"X",0,0,0,"Unalakleet","F",0,0,1
"S sX gUnalakleetF c1 a1 o2 t2",50,0.0506632370971021,0.0319340163475415,"     ","","UnalakleetF","1","1","2",2,1,"X",0,1,1,"Unalakleet","F",0,0,1
"S sX gUnalakleetF c1 a2 o3 t3",51,0.0167624052151222,0.0112704330908341,"     ","","UnalakleetF","1","2","3",3,1,"X",0,2,2,"Unalakleet","F",0,0,1
"S sX gUnalakleetF c2 a0 o2 t2",52,0.0506632370971021,0.0319340163475415,"     ","","UnalakleetF","2","0","2",2,2,"X",1,0,1,"Unalakleet","F",0,0,1
"S sX gUnalakleetF c2 a1 o3 t3",53,0.0167624052151222,0.0112704330908341,"     ","","UnalakleetF","2","1","3",3,2,"X",1,1,2,"Unalakleet","F",0,0,1
"S sX gUnalakleetF c3 a0 o3 t3",54,0.0167624052151222,0.0112704330908341,"     ","","UnalakleetF","3","0","3",3,3,"X",2,0,2,"Unalakleet","F",0,0,1
"S sA gShaktoolikM c1 a0 o1 t1",55,0.999999999968228,6.0188984782935e-12,"     ","","ShaktoolikM","1","0","1",1,1,"A",0,0,0,"Shaktoolik","M",1,0,0
"S sA gShaktoolikM c1 a1 o2 t2",56,0.298494488512872,0.0619628009650271,"     ","","ShaktoolikM","1","1","2",2,1,"A",0,1,1,"Shaktoolik","M",1,0,0
"S sA gShaktoolikM c1 a2 o3 t3",57,0.119662883844345,0.039243006099275,"     ","","ShaktoolikM","1","2","3",3,1,"A",0,2,2,"Shaktoolik","M",1,0,0
"S sA gShaktoolikM c2 a0 o2 t2",58,0.298494488512872,0.0619628009650271,"     ","","ShaktoolikM","2","0","2",2,2,"A",1,0,1,"Shaktoolik","M",1,0,0
"S sA gShaktoolikM c2 a1 o3 t3",59,0.119662883844345,0.039243006099275,"     ","","ShaktoolikM","2","1","3",3,2,"A",1,1,2,"Shaktoolik","M",1,0,0
"S sA gShaktoolikM c3 a0 o3 t3",60,0.119662883844345,0.039243006099275,"     ","","ShaktoolikM","3","0","3",3,3,"A",2,0,2,"Shaktoolik","M",1,0,0
"S sB gShaktoolikM c1 a0 o1 t1",61,0.999999999893245,2.02189535185504e-11,"     ","","ShaktoolikM","1","0","1",1,1,"B",0,0,0,"Shaktoolik","M",0,1,0
"S sB gShaktoolikM c1 a1 o2 t2",62,0.112402894442727,0.0598357472973135,"     ","","ShaktoolikM","1","1","2",2,1,"B",0,1,1,"Shaktoolik","M",0,1,0
"S sB gShaktoolikM c1 a2 o3 t3",63,0.0388815659310818,0.0235406573001655,"     ","","ShaktoolikM","1","2","3",3,1,"B",0,2,2,"Shaktoolik","M",0,1,0
"S sB gShaktoolikM c2 a0 o2 t2",64,0.112402894442727,0.0598357472973135,"     ","","ShaktoolikM","2","0","2",2,2,"B",1,0,1,"Shaktoolik","M",0,1,0
