Date,Time,Tag ID,Power,Distance
9/8/2020,10:23:21,15536,75,486.6666667
9/8/2020,10:23:31,15536,92,490
9/8/2020,10:23:36,15536,81,493.3333333
9/8/2020,10:23:51,15536,75,496.6666667
9/8/2020,10:24:01,15536,64,500
9/8/2020,10:24:06,15536,64,502.1276596
9/8/2020,10:24:11,15536,63,504.2553191
9/8/2020,10:24:16,15536,66,506.3829787
9/8/2020,10:24:21,15536,64,508.5106383
9/8/2020,10:24:26,15536,58,510.6382979
9/8/2020,10:24:31,15536,67,512.7659574
9/8/2020,10:24:36,15536,64,514.893617
9/8/2020,10:24:41,15536,64,517.0212766
9/8/2020,10:24:46,15536,63,519.1489362
9/8/2020,10:24:51,15536,60,521.2765957
9/8/2020,10:24:56,15536,63,523.4042553
9/8/2020,10:25:01,15536,78,525.5319149
9/8/2020,10:25:06,15536,68,527.6595745
9/8/2020,10:25:11,15536,67,529.787234
9/8/2020,10:25:16,15536,68,531.9148936
9/8/2020,10:25:21,15536,70,534.0425532
9/8/2020,10:25:26,15536,74,536.1702128
9/8/2020,10:25:31,15536,67,538.2978723
9/8/2020,10:25:36,15536,74,540.4255319
9/8/2020,10:25:41,15536,70,542.5531915
9/8/2020,10:25:46,15536,67,544.6808511
9/8/2020,10:25:51,15536,68,546.8085106
9/8/2020,10:25:56,15536,69,548.9361702
9/8/2020,10:26:01,15536,71,551.0638298
9/8/2020,10:26:06,15536,70,553.1914894
9/8/2020,10:26:11,15536,71,555.3191489
9/8/2020,10:26:21,15536,64,557.4468085
9/8/2020,10:26:26,15536,71,559.5744681
9/8/2020,10:26:31,15536,67,561.7021277
9/8/2020,10:26:36,15536,71,563.8297872
9/8/2020,10:26:41,15536,85,565.9574468
9/8/2020,10:26:46,15536,86,568.0851064
9/8/2020,10:26:51,15536,86,570.212766
9/8/2020,10:26:56,15536,86,572.3404255
9/8/2020,10:27:01,15536,91,574.4680851
9/8/2020,10:27:06,15536,86,576.5957447
9/8/2020,10:27:11,15536,86,578.7234043
9/8/2020,10:27:16,15536,87,580.8510638
9/8/2020,10:27:21,15536,85,582.9787234
9/8/2020,10:27:26,15536,86,585.106383
9/8/2020,10:27:36,15536,86,587.2340426
9/8/2020,10:27:41,15536,86,589.3617021
9/8/2020,10:27:46,15536,86,591.4893617
9/8/2020,10:27:51,15536,86,593.6170213
9/8/2020,10:27:56,15536,85,595.7446809
9/8/2020,10:28:01,15536,85,597.8723404
9/8/2020,10:28:06,15536,84,600
9/8/2020,10:28:11,15536,86,603.8461538
9/8/2020,10:28:16,15536,85,607.6923077
9/8/2020,10:28:21,15536,81,611.5384615
9/8/2020,10:28:26,15536,92,615.3846154
9/8/2020,10:28:31,15536,89,619.2307692
9/8/2020,10:28:36,15536,79,623.0769231
9/8/2020,10:28:41,15536,86,626.9230769
9/8/2020,10:28:46,15536,84,630.7692308
9/8/2020,10:28:51,15536,84,634.6153846
9/8/2020,10:28:56,15536,83,638.4615385
9/8/2020,10:29:01,15536,81,642.3076923
9/8/2020,10:29:06,15536,82,646.1538462
9/8/2020,10:29:11,15536,84,650
9/8/2020,10:29:16,15536,85,653.8461538
9/8/2020,10:29:21,15536,84,657.6923077
9/8/2020,10:29:26,15536,85,661.5384615
9/8/2020,10:29:31,15536,88,665.3846154
9/8/2020,10:29:41,15536,83,669.2307692
9/8/2020,10:29:51,15536,83,673.0769231
9/8/2020,10:29:56,15536,81,676.9230769
9/8/2020,10:30:01,15536,83,680.7692308
9/8/2020,10:30:41,15536,84,684.6153846
9/8/2020,10:31:06,15536,85,688.4615385
9/8/2020,10:31:31,15536,82,692.3076923
9/8/2020,10:31:56,15536,82,696.1538462
9/8/2020,10:33:16,15536,81,700
9/8/2020,10:34:06,15536,81,750
9/8/2020,10:36:21,15536,114,800
9/8/2020,10:43:16,15536,82,900
9/8/2020,10:46:26,15536,82,1000
