tag.ID,capture,det,recap,ch,year
255,B,NA,A,BA,2020
1355,B,NA,A,BA,2020
1415,B,NA,A,BA,2020
2295,B,554S,A,BAAA,2020
15,B,NA,B,B,2020
35,B,NA,B,B,2020
455,B,4,B,BAB,2020
635,B,4,B,BAB,2020
655,B,445,B,BAB,2020
875,B,45,B,BAB,2020
1395,B,4,B,BAB,2020
1655,B,43,B,BAX,2020
1935,B,55,B,B,2020
2435,B,55,B,B,2020
3235,B,5,B,B,2020
5115,A,45,B,AB,2020
6235,A,4,B,AB,2020
6295,A,45,B,AB,2020
2475,B,55,E,BB,2020
4695,A,4,E,ABB,2020
55,B,NA,NA,B,2020
75,B,55U,NA,BB,2020
95,B,5445,NA,BAB,2020
115,B,54,NA,BA,2020
135,B,NA,NA,B,2020
155,B,NA,NA,B,2020
175,B,4,NA,BA,2020
195,B,5U,NA,BB,2020
215,B,5U,NA,BB,2020
235,B,4,NA,BA,2020
275,B,5U,NA,BB,2020
295,B,NA,NA,B,2020
315,B,NA,NA,B,2020
335,B,NA,NA,B,2020
355,B,5,NA,B,2020
375,B,5U,NA,BB,2020
395,B,5U,NA,BB,2020
415,B,5U,NA,BB,2020
435,B,4S,NA,BAA,2020
475,B,45U,NA,BABB,2020
495,B,445,NA,BAB,2020
515,B,445U,NA,BABB,2020
535,B,E,NA,BB,2020
555,B,5U,NA,BB,2020
575,B,5U,NA,BB,2020
595,B,NA,NA,B,2020
615,B,445U,NA,BABB,2020
675,B,5U,NA,BB,2020
695,B,44,NA,BAB,2020
775,B,NA,NA,B,2020
815,B,55U,NA,BB,2020
835,B,5U,NA,BB,2020
855,B,NA,NA,B,2020
895,B,5554S,NA,BAA,2020
915,B,4,NA,BA,2020
955,B,E,NA,BB,2020
975,B,NA,NA,B,2020
995,B,5U,NA,BB,2020
1015,B,5U,NA,BB,2020
1035,B,EE5U,NA,BBBB,2020
1055,B,44U,NA,BABB,2020
1095,B,5U,NA,BB,2020
1115,B,44,NA,BAB,2020
1135,B,5U,NA,BB,2020
1155,B,45U,NA,BABB,2020
1175,B,EE4S,NA,BAA,2020
1195,B,45U,NA,BABB,2020
1215,B,E,NA,BB,2020
1235,B,5U,NA,BB,2020
1255,B,44U,NA,BABB,2020
1295,B,4,NA,BA,2020
1315,B,5445U,NA,BABB,2020
1335,B,S,NA,BAA,2020
1375,B,432233KY,NA,BAXX,2020
1455,B,5U,NA,BB,2020
1475,B,5,NA,B,2020
1495,B,5U,NA,BB,2020
1515,B,5U,NA,BB,2020
1535,B,5U,NA,BB,2020
1555,B,4,NA,BA,2020
1575,B,E,NA,BB,2020
1595,B,NA,NA,B,2020
1615,B,5U,NA,BB,2020
1675,B,4S,NA,BAA,2020
1695,B,4SS45U,NA,BABB,2020
1715,B,5,NA,B,2020
1735,B,55U,NA,BB,2020
1755,B,5U,NA,BB,2020
1775,B,5U,NA,BB,2020
1815,B,5E,NA,BB,2020
1835,B,567,NA,BX,2020
1875,B,5U,NA,BB,2020
1895,B,55555,NA,B,2020
1915,B,55E,NA,BB,2020
1955,B,55E,NA,BB,2020
1975,B,55U,NA,BB,2020
1995,B,5U,NA,BB,2020
2055,B,567,NA,BX,2020
2075,B,5,NA,B,2020
2095,B,55,NA,B,2020
2115,B,5U,NA,BB,2020
2135,B,55U,NA,BB,2020
2175,B,5677G,NA,BXBB,2020
2195,B,5411,NA,BAX,2020
2215,B,5E,NA,BB,2020
2235,B,5U,NA,BB,2020
2275,B,5,NA,B,2020
2335,B,55555E,NA,BB,2020
2375,B,5U,NA,BB,2020
2395,B,5U,NA,BB,2020
2415,B,54S,NA,BAA,2020
2455,B,567,NA,BX,2020
2495,B,5U,NA,BB,2020
2515,B,5U,NA,BB,2020
2535,B,567,NA,BX,2020
2555,B,5U,NA,BB,2020
2575,B,5U,NA,BB,2020
2595,B,5,NA,B,2020
2615,B,5U,NA,BB,2020
2635,B,556,NA,B,2020
2655,B,5,NA,B,2020
2675,B,54,NA,BA,2020
2695,B,5U5,NA,BBB,2020
2715,B,5U,NA,BB,2020
2735,B,5U,NA,BB,2020
2755,B,5,NA,B,2020
2775,B,5U,NA,BB,2020
2795,B,5U,NA,BB,2020
2835,B,567,NA,BX,2020
2855,B,5U,NA,BB,2020
2875,B,5,NA,B,2020
2895,B,567,NA,BX,2020
2915,B,554345U,NA,BABB,2020
2935,B,5U,NA,BB,2020
2955,B,55U,NA,BB,2020
2995,B,5E,NA,BB,2020
3015,B,5,NA,B,2020
3035,B,5,NA,B,2020
3055,B,5,NA,B,2020
3075,B,5U,NA,BB,2020
3095,B,5,NA,B,2020
3115,B,55E,NA,BB,2020
3135,B,5555,NA,B,2020
3155,B,55,NA,B,2020
3175,B,5U,NA,BB,2020
3195,B,55555,NA,B,2020
