Date,Time,Wind Spd (mph),Wind Direction (deg),Sea Lev Press (hPa),Precip (in)
6/27/2021,0:56,9,120,1015.8,M
6/27/2021,1:56,7,120,1016.2,M
6/27/2021,2:56,5,120,1016.7,M
6/27/2021,3:56,9,140,1017.4,m
6/27/2021,4:56,8,130,1017.9,m
6/27/2021,5:56,7,120,1018.2,m
6/27/2021,6:56,10,140,1018.5,M
6/27/2021,7:56,8,110,1019.1,m
6/27/2021,8:56,10,150,1019.3,m
6/27/2021,9:56,10,160,1019.5,m
6/27/2021,10:56,10,180,1019.7,m
6/27/2021,11:56,11,180,1019.8,m
6/27/2021,12:56,7,210,1019.9,M
6/27/2021,13:56,6,210,1019.8,M
6/27/2021,14:56,5,220,1019.9,m
6/27/2021,15:56,3,220,1019.9,m
6/27/2021,16:56,5,220,1019.7,M
6/27/2021,17:56,5,190,1019.2,M
6/27/2021,18:56,9,290,1019.3,m
6/27/2021,19:56,6,290,1019.5,m
6/27/2021,20:56,5,140,1019.5,m
6/27/2021,21:56,3,M,1019.7,m
6/27/2021,22:56,5,210,1019.7,m
6/27/2021,23:56,5,100,1019.9,m
6/28/2021,0:56,5,100,1019.9,m
6/28/2021,1:56,9,180,1019.8,m
6/28/2021,2:56,6,90,1020,m
6/28/2021,3:56,0,0,1020,m
6/28/2021,4:56,9,230,1020,m
6/28/2021,5:56,10,200,1019.7,m
6/28/2021,6:56,9,210,1019.8,m
6/28/2021,7:56,11,210,1020,m
6/28/2021,8:56,13,220,1020,m
6/28/2021,9:56,10,230,1020.2,m
6/28/2021,10:56,9,220,1019.9,m
6/28/2021,11:56,7,230,1020,m
6/28/2021,12:56,8,270,1019.8,m
6/28/2021,13:56,9,280,1019.4,m
6/28/2021,14:56,8,290,1019.3,m
6/28/2021,15:56,8,300,1019,m
6/28/2021,16:56,7,300,1018.4,m
6/28/2021,17:56,10,320,1018.1,m
6/28/2021,18:56,8,320,1017.9,m
6/28/2021,19:56,8,310,1017.6,m
6/28/2021,20:56,7,290,1017.8,m
6/28/2021,21:56,0,0,1017.8,m
6/28/2021,22:56,3,220,1017.9,m
6/28/2021,23:56,0,0,1017.9,m
6/29/2021,0:56,5,110,1017.9,m
6/29/2021,1:56,6,90,1017.7,m
6/29/2021,2:56,5,70,1017.8,m
6/29/2021,3:56,17,200,1017.5,m
6/29/2021,4:56,15,210,1017.5,m
6/29/2021,5:56,18,210,1017.6,m
