tag.ID,capture,det,recap,ch,,stock,ch,year
4795,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
4815,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
4835,A,NA,U,ABW,ABW,Unalakleet,ABB,2020
4850,A,45U,NA,ABW,ABW,Unalakleet,ABB,2021
4855,A,456G,NA,ABW,ABW,Unalakleet,ABB,2020
4875,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
4895,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
4935,A,45,U,ABW,ABW,Unalakleet,ABB,2020
4955,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
4995,A,4EE5U,NA,ABW,ABWBW,Unalakleet,ABB,2020
5030,A,45U,NA,ABW,ABW,Unalakleet,ABB,2021
5035,A,45U,U,ABW,ABW,Unalakleet,ABB,2020
5070,A,4,U,ABW,ABW,Unalakleet,ABB,2021
5075,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
5175,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
5190,A,4,U,ABW,ABW,Unalakleet,ABB,2021
5195,A,457G,NA,ABW,ABXBW,Unalakleet,ABB,2020
5215,A,45U,U,ABW,ABW,Unalakleet,ABB,2020
5235,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
5255,A,45,U,ABW,ABW,Unalakleet,ABB,2020
5270,A,4U,NA,ABW,ABW,Unalakleet,ABB,2021
5295,A,4E,NA,ABW,ABW,Unalakleet,ABB,2020
5310,A,45U,NA,ABW,ABW,Unalakleet,ABB,2021
5315,A,45,U,ABW,ABW,Unalakleet,ABB,2020
5335,A,455,U,ABW,ABW,Unalakleet,ABB,2020
5410,A,45,U,ABW,ABW,Unalakleet,ABB,2021
5450,A,4,U,ABW,ABW,Unalakleet,ABB,2021
5470,A,45U,U,ABW,ABW,Unalakleet,ABB,2021
5510,A,45,U,ABW,ABW,Unalakleet,ABB,2021
5515,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
5535,A,4U,NA,ABW,ABW,Unalakleet,ABB,2020
5555,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
5575,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
5595,A,45,U,ABW,ABW,Unalakleet,ABB,2020
5655,A,456G,NA,ABW,ABW,Unalakleet,ABB,2020
5735,A,45,U,ABW,ABW,Unalakleet,ABB,2020
5795,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
5815,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
5915,A,445U,NA,ABW,ABW,Unalakleet,ABB,2020
5955,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
6055,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
6095,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
6115,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
6135,A,4E,NA,ABW,ABW,Unalakleet,ABB,2020
6175,A,45,U,ABW,ABW,Unalakleet,ABB,2020
6575,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
6755,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
6815,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
6955,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
6995,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
7015,A,455U,NA,ABW,ABW,Unalakleet,ABB,2020
7135,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
7215,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
7235,A,4E,NA,ABW,ABW,Unalakleet,ABB,2020
7395,A,45U,U,ABW,ABW,Unalakleet,ABB,2020
7415,A,4E,NA,ABW,ABW,Unalakleet,ABB,2020
7475,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
7835,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
7955,A,45U,NA,ABW,ABW,Unalakleet,ABB,2020
