tag.ID,capture,det,recap,ch,,stock,ch,year
4210,A,NA,NA,A,,NA,A,2021
4215,A,SSS4,NA,AWAB,,NA,AAAB,2020
4230,A,NA,NA,A,,NA,A,2021
4290,A,4,B,AB,,NA,AB,2021
4310,A,NA,NA,A,,NA,A,2021
4370,A,4,B,AB,,NA,AB,2021
4390,A,NA,NA,A,,NA,A,2021
4395,A,45,NA,AB,,NA,AB,2020
4410,A,NA,NA,A,,NA,A,2021
4430,A,NA,NA,A,,NA,A,2021
4450,A,4,B,AB,,NA,AB,2021
4455,A,4,NA,AB,,NA,AB,2020
4490,A,4,B,AB,,NA,AB,2021
4570,A,3455,NA,AXAB,,NA,AXAB,2021
4670,A,34,NA,AXAB,,NA,AXAB,2021
4715,A,445,NA,AB,,NA,AB,2020
4730,A,NA,NA,A,,NA,A,2021
4770,A,4,NA,AB,,NA,AB,2021
4790,A,NA,B,AB,,NA,AB,2021
4830,A,4,B,AB,,NA,AB,2021
4870,A,NA,A,A,,NA,A,2021
4890,A,NA,NA,A,,NA,A,2021
4910,A,455,NA,AB,,NA,AB,2021
4950,A,NA,NA,A,,NA,A,2021
4970,A,4,NA,AB,,NA,AB,2021
4990,A,4,NA,AB,,NA,AB,2021
5010,A,4,NA,AB,,NA,AB,2021
5015,A,4,NA,AB,,NA,AB,2020
5050,A,NA,NA,A,,NA,A,2021
5090,A,NA,NA,A,,NA,A,2021
5110,A,477,NA,ABXB,,NA,ABXB,2021
5115,A,45,B,AB,,NA,AB,2020
5130,A,45,NA,AB,,NA,AB,2021
5135,A,45,NA,AB,,NA,AB,2020
5155,A,NA,NA,A,,NA,A,2020
5170,A,455,NA,AB,,NA,AB,2021
5210,A,4677,NA,ABXB,,NA,ABXB,2021
5230,A,45,NA,AB,,NA,AB,2021
5250,A,NA,NA,A,,NA,A,2021
5290,A,4,NA,AB,,NA,AB,2021
5330,A,4,NA,AB,,NA,AB,2021
5350,A,44,NA,ABA,,NA,ABA,2021
5370,A,4,B,AB,,NA,AB,2021
5390,A,4,NA,AB,,NA,AB,2021
5395,A,4,NA,AB,,NA,AB,2020
5430,A,4,NA,AB,,NA,AB,2021
5435,A,4554,NA,ABA,,NA,ABA,2020
5455,A,NA,NA,A,,NA,A,2020
5490,A,4,NA,AB,,NA,AB,2021
5530,A,4,NA,AB,,NA,AB,2021
5550,A,NA,NA,A,,NA,A,2021
5635,A,NA,NA,A,,NA,A,2020
5695,A,44,NA,ABA,,NA,ABA,2020
5775,A,4,NA,AB,,NA,AB,2020
5855,A,45674,NA,ABXB,,NA,ABXB,2020
