tag.ID,ch,stock,sex,stat.week,year
1575,BB00,Unalakleet,M,33,2020
1590,B000,NA,F,35,2021
1595,B000,NA,M,33,2020
1610,B000,NA,F,35,2021
1615,BB00,Unalakleet,M,33,2020
1630,BB00,Unalakleet,M,35,2021
1650,BB00,Unalakleet,F,35,2021
1655,BAX0,Transitory,M,33,2020
1670,B000,NA,F,35,2021
1675,BAA0,Shaktoolik,M,33,2020
1690,B000,NA,M,35,2021
1695,BABB,Unalakleet,M,33,2020
1710,B000,NA,F,35,2021
1715,B000,NA,F,33,2020
1730,BB00,Unalakleet,M,35,2021
1735,BB00,Unalakleet,F,33,2020
1750,B000,NA,F,35,2021
1755,BB00,Unalakleet,F,33,2020
1770,BB00,Unalakleet,M,35,2021
1775,BB00,Unalakleet,M,33,2020
1790,BA00,NA,F,35,2021
1795,BB00,Unalakleet,M,33,2020
1810,B000,NA,F,35,2021
1815,BB00,Unalakleet,F,33,2020
1830,BAB0,NA,F,35,2021
1835,BX00,Transitory,M,33,2020
1850,B000,NA,M,35,2021
1855,BB00,Unalakleet,M,33,2020
1870,BB00,Unalakleet,M,35,2021
1875,BB00,Unalakleet,M,33,2020
1890,B000,NA,F,35,2021
1895,B000,NA,F,33,2020
1910,B000,NA,M,35,2021
1915,BB00,Unalakleet,M,33,2020
1930,BA00,NA,M,35,2021
1935,B000,NA,M,33,2020
1950,B000,NA,F,35,2021
1955,BB00,Unalakleet,F,33,2020
1970,BB00,Unalakleet,F,35,2021
1975,BB00,Unalakleet,M,33,2020
1990,BAB0,NA,F,35,2021
1995,BB00,Unalakleet,M,33,2020
2010,BB00,Unalakleet,M,35,2021
2015,BB00,Unalakleet,M,33,2020
2030,BB00,Unalakleet,F,35,2021
2050,B000,NA,M,35,2021
2055,BX00,Transitory,M,33,2020
2070,B000,NA,F,35,2021
2075,B000,NA,F,33,2020
2090,BB00,Unalakleet,F,35,2021
2095,B000,NA,M,33,2020
2110,B000,NA,F,35,2021
2115,BB00,Unalakleet,M,33,2020
2130,BB00,Unalakleet,M,35,2021
2135,BB00,Unalakleet,F,33,2020
2150,BB00,Unalakleet,M,35,2021
2155,BB00,Unalakleet,M,33,2020
2170,BB00,Unalakleet,M,35,2021
2175,BXBB,Unalakleet,M,33,2020
2190,B000,NA,F,35,2021
2195,BAX0,Transitory,F,33,2020
2210,B000,NA,F,35,2021
2215,BB00,Unalakleet,M,33,2020
2230,B000,NA,F,35,2021
2235,BB00,Unalakleet,F,33,2020
2250,B000,NA,M,35,2021
2270,B000,NA,F,35,2021
2275,B000,NA,F,33,2020
2290,BB00,Unalakleet,M,35,2021
2295,BABA,NA,M,33,2020
2310,B000,NA,F,35,2021
2315,BB00,Unalakleet,F,33,2020
2330,BB00,Unalakleet,M,35,2021
2335,BB00,Unalakleet,F,33,2020
2350,BB00,Unalakleet,M,35,2021
2355,BABB,Unalakleet,F,33,2020
2370,B000,NA,M,35,2021
2375,BB00,Unalakleet,F,33,2020
2390,BXB0,NA,M,35,2021
2395,BB00,Unalakleet,M,33,2020
2410,B000,NA,F,35,2021
2415,BAA0,Shaktoolik,M,34,2020
2430,B000,NA,M,35,2021
2435,B000,NA,M,34,2020
2450,B000,NA,F,35,2021
2455,BX00,Transitory,M,34,2020
2470,B000,NA,F,35,2021
2475,BB00,Unalakleet,M,34,2020
2490,B000,NA,M,35,2021
2495,BB00,Unalakleet,F,34,2020
2515,BB00,Unalakleet,F,34,2020
2535,BX00,Transitory,M,34,2020
2555,BB00,Unalakleet,F,34,2020
2575,BB00,Unalakleet,F,34,2020
2595,B000,NA,M,34,2020
2615,BB00,Unalakleet,F,34,2020
2635,B000,NA,F,34,2020
2655,B000,NA,F,34,2020
2675,BA00,NA,F,34,2020
2695,BBBA,NA,M,34,2020
2715,BB00,Unalakleet,M,34,2020
2735,BB00,Unalakleet,M,34,2020
2755,B000,NA,F,34,2020
2775,BB00,Unalakleet,M,34,2020
2795,BB00,Unalakleet,F,34,2020
2815,BB00,Unalakleet,F,34,2020
2835,BX00,Transitory,M,34,2020
2855,BB00,Unalakleet,F,34,2020
2875,B000,NA,F,34,2020
2895,BX00,Transitory,M,34,2020
2915,BABB,Unalakleet,M,34,2020
2935,BB00,Unalakleet,M,34,2020
2955,BB00,Unalakleet,F,34,2020
2975,BB00,Unalakleet,M,34,2020
2995,BB00,Unalakleet,F,34,2020
3015,B000,NA,F,34,2020
3035,B000,NA,F,34,2020
3055,B000,NA,M,34,2020
3075,BB00,Unalakleet,F,34,2020
3095,B000,NA,M,34,2020
3115,BB00,Unalakleet,M,34,2020
3135,B000,NA,M,34,2020
3155,B000,NA,M,34,2020
3175,BB00,Unalakleet,M,34,2020
3195,B000,NA,F,34,2020
3215,BB00,Unalakleet,M,35,2020
3235,B000,NA,M,35,2020
3255,B000,NA,F,35,2020
3275,B000,NA,M,35,2020
3295,B000,NA,M,35,2020
3315,B000,NA,F,35,2020
3335,BB00,Unalakleet,M,35,2020
