tag.ID,ch,stock,sex
15,B000,NA,M
35,B000,NA,M
55,B000,NA,M
75,BB00,Unalakleet,F
95,BAB0,NA,M
110,BB00,Unalakleet,M
115,BA00,NA,F
130,BXB0,NA,M
135,B000,NA,M
150,BBBA,NA,M
155,B000,NA,F
170,B000,NA,F
175,BA00,NA,M
190,B000,NA,F
195,BB00,Unalakleet,M
210,BB00,Unalakleet,M
215,BB00,Unalakleet,M
230,B000,NA,F
235,BA00,NA,M
250,B000,NA,F
255,BA00,NA,F
270,BABB,Unalakleet,M
275,BB00,Unalakleet,M
290,B000,NA,M
295,B000,NA,M
310,BABB,Unalakleet,M
315,B000,NA,M
330,B000,NA,M
335,B000,NA,M
350,B000,NA,M
355,B000,NA,M
370,BA00,NA,M
375,BB00,Unalakleet,M
390,BB00,Unalakleet,F
395,BB00,Unalakleet,M
410,BA00,NA,F
415,BB00,Unalakleet,M
430,BB00,Unalakleet,F
435,BAA0,Shaktoolik,M
450,BB00,Unalakleet,F
455,BAB0,NA,F
470,BB00,Unalakleet,F
475,BABB,Unalakleet,F
490,BB00,Unalakleet,M
495,BAB0,NA,M
510,BB00,Unalakleet,F
515,BABB,Unalakleet,F
530,B000,NA,F
535,BB00,Unalakleet,M
550,B000,NA,M
555,BB00,Unalakleet,F
570,BB00,Unalakleet,M
575,BB00,Unalakleet,M
590,BB00,Unalakleet,M
595,B000,NA,M
610,BB00,Unalakleet,F
615,BABB,Unalakleet,M
630,BB00,Unalakleet,M
635,BAB0,NA,M
650,BB00,Unalakleet,F
655,BAB0,NA,F
670,BB00,Unalakleet,F
675,BB00,Unalakleet,M
690,BB00,Unalakleet,M
695,BAB0,NA,F
710,BB00,Unalakleet,M
715,BB00,Unalakleet,M
730,B000,NA,F
735,BB00,Unalakleet,M
750,BBB0,NA,M
770,BB00,Unalakleet,M
775,B000,NA,M
790,B000,NA,M
810,B000,NA,F
815,BB00,Unalakleet,F
830,B000,NA,M
835,BB00,Unalakleet,M
850,B000,NA,M
855,B000,NA,F
870,BB00,Unalakleet,F
875,BAB0,NA,M
890,BB00,Unalakleet,M
895,BAA0,Shaktoolik,F
910,B000,NA,M
915,BA00,NA,F
930,BAX0,Transitory,M
935,BB00,Unalakleet,M
950,B000,NA,M
955,BB00,Unalakleet,F
