tag.ID,ch,stock,sex,stat.week,year
1795,BW00,Unalakleet,M,33,2020
1810,B000,NA,F,35,2021
1815,BW00,Unalakleet,F,33,2020
1830,BAB0,NA,F,35,2021
1835,BX00,Transitory,M,33,2020
1850,B000,NA,M,35,2021
1855,BW00,Unalakleet,M,33,2020
1870,BW00,Unalakleet,M,35,2021
1875,BW00,Unalakleet,M,33,2020
1890,B000,NA,F,35,2021
1895,B000,NA,F,33,2020
1910,B000,NA,M,35,2021
1915,BW00,Unalakleet,M,33,2020
1930,BA00,NA,M,35,2021
1935,B000,NA,M,33,2020
1950,B000,NA,F,35,2021
1955,BW00,Unalakleet,F,33,2020
1970,BW00,Unalakleet,F,35,2021
1975,BW00,Unalakleet,M,33,2020
1990,BAB0,NA,F,35,2021
1995,BW00,Unalakleet,M,33,2020
2010,BW00,Unalakleet,M,35,2021
2015,BW00,Unalakleet,M,33,2020
2030,BW00,Unalakleet,F,35,2021
2050,B000,NA,M,35,2021
2055,BX00,Transitory,M,33,2020
2070,B000,NA,F,35,2021
2075,B000,NA,F,33,2020
2090,BW00,Unalakleet,F,35,2021
2095,B000,NA,M,33,2020
2110,B000,NA,F,35,2021
2115,BW00,Unalakleet,M,33,2020
2130,BW00,Unalakleet,M,35,2021
2135,BW00,Unalakleet,F,33,2020
2150,BW00,Unalakleet,M,35,2021
2155,BW00,Unalakleet,M,33,2020
2170,BW00,Unalakleet,M,35,2021
2175,BXBW,Unalakleet,M,33,2020
2190,B000,NA,F,35,2021
2195,BAX0,Transitory,F,33,2020
2210,B000,NA,F,35,2021
2215,BW00,Unalakleet,M,33,2020
2230,B000,NA,F,35,2021
2235,BW00,Unalakleet,F,33,2020
2250,B000,NA,M,35,2021
2270,B000,NA,F,35,2021
2275,B000,NA,F,33,2020
2290,BW00,Unalakleet,M,35,2021
2295,BAWA,NA,M,33,2020
2310,B000,NA,F,35,2021
2315,BW00,Unalakleet,F,33,2020
2330,BW00,Unalakleet,M,35,2021
2335,BW00,Unalakleet,F,33,2020
2350,BW00,Unalakleet,M,35,2021
2355,BABW,Unalakleet,F,33,2020
2370,B000,NA,M,35,2021
2375,BW00,Unalakleet,F,33,2020
2390,BXB0,NA,M,35,2021
2395,BW00,Unalakleet,M,33,2020
2410,B000,NA,F,35,2021
2415,BAV0,Shaktoolik,M,34,2020
2430,B000,NA,M,35,2021
2435,B000,NA,M,34,2020
2450,B000,NA,F,35,2021
2455,BX00,Transitory,M,34,2020
2470,B000,NA,F,35,2021
2475,BW00,Unalakleet,M,34,2020
2490,B000,NA,M,35,2021
2495,BW00,Unalakleet,F,34,2020
2515,BW00,Unalakleet,F,34,2020
2535,BX00,Transitory,M,34,2020
2555,BW00,Unalakleet,F,34,2020
2575,BW00,Unalakleet,F,34,2020
2595,B000,NA,M,34,2020
2615,BW00,Unalakleet,F,34,2020
2635,B000,NA,F,34,2020
2655,B000,NA,F,34,2020
2675,BA00,NA,F,34,2020
2695,BWBA,NA,M,34,2020
2715,BW00,Unalakleet,M,34,2020
2735,BW00,Unalakleet,M,34,2020
2755,B000,NA,F,34,2020
2775,BW00,Unalakleet,M,34,2020
2795,BW00,Unalakleet,F,34,2020
2815,BW00,Unalakleet,F,34,2020
2835,BX00,Transitory,M,34,2020
2855,BW00,Unalakleet,F,34,2020
2875,B000,NA,F,34,2020
2895,BX00,Transitory,M,34,2020
2915,BABW,Unalakleet,M,34,2020
2935,BW00,Unalakleet,M,34,2020
2955,BW00,Unalakleet,F,34,2020
2975,BW00,Unalakleet,M,34,2020
2995,BW00,Unalakleet,F,34,2020
3015,B000,NA,F,34,2020
3035,B000,NA,F,34,2020
3055,B000,NA,M,34,2020
3075,BW00,Unalakleet,F,34,2020
3095,B000,NA,M,34,2020
3115,BW00,Unalakleet,M,34,2020
3135,B000,NA,M,34,2020
3155,B000,NA,M,34,2020
3175,BW00,Unalakleet,M,34,2020
3195,B000,NA,F,34,2020
3215,BW00,Unalakleet,M,35,2020
3235,B000,NA,M,35,2020
3255,B000,NA,F,35,2020
3275,B000,NA,M,35,2020
3295,B000,NA,M,35,2020
3315,B000,NA,F,35,2020
3335,BW00,Unalakleet,M,35,2020
3355,B000,NA,M,35,2020
3375,BABX,Transitory,M,35,2020
3395,BW00,Unalakleet,F,35,2020
3415,B000,NA,F,35,2020
3435,B000,NA,M,35,2020
3455,B000,NA,M,35,2020
3475,BW00,Unalakleet,M,35,2020
3495,BW00,Unalakleet,M,35,2020
3515,BW00,Unalakleet,M,35,2020
3535,BW00,Unalakleet,F,35,2020
3555,B000,NA,M,35,2020
3575,BA00,NA,M,35,2020
3595,BW00,Unalakleet,M,35,2020
3615,BW00,Unalakleet,M,35,2020
3655,BW00,Unalakleet,M,35,2020
3675,B000,NA,F,35,2020
3695,BW00,Unalakleet,F,35,2020
3715,BW00,Unalakleet,M,35,2020
3735,BW00,Unalakleet,F,35,2020
3755,B000,NA,M,35,2020
3775,BAB0,NA,F,35,2020
3795,BW00,Unalakleet,F,35,2020
3815,B000,NA,M,35,2020
3835,B000,NA,M,35,2020
3855,BW00,Unalakleet,M,35,2020
3875,B000,NA,M,35,2020
3895,BW00,Unalakleet,M,35,2020
3915,BW00,Unalakleet,F,35,2020
3935,BW00,Unalakleet,M,35,2020
3955,B000,NA,F,35,2020
3975,BW00,Unalakleet,M,35,2020
3995,BX00,Transitory,M,35,2020
4015,ABW0,Unalakleet,M,31,2020
4035,ABW0,Unalakleet,M,31,2020
4055,AV00,Shaktoolik,M,31,2020
4075,AV00,Shaktoolik,M,31,2020
4110,AB00,NA,M,32,2021
4130,AB00,NA,M,32,2021
4135,ABW0,Unalakleet,F,31,2020
4150,AB00,NA,M,32,2021
4155,ABW0,Unalakleet,F,32,2020
4170,A000,NA,M,32,2021
4175,ABX0,Transitory,M,32,2020
4190,ABAV,Shaktoolik,F,32,2021
4195,AB00,NA,F,32,2020
4210,A000,NA,F,32,2021
4215,AWAB,NA,M,32,2020
4230,A000,NA,F,32,2021
4235,ABX0,Transitory,M,32,2020
4250,ABW0,Unalakleet,F,32,2021
4255,ABW0,Unalakleet,M,32,2020
4270,ABW0,Unalakleet,F,32,2021
4275,ABW0,Unalakleet,F,32,2020
4290,AB00,NA,F,32,2021
4295,ABW0,Unalakleet,M,32,2020
4310,A000,NA,M,32,2021
4315,ABW0,Unalakleet,F,32,2020
4330,ABAV,Shaktoolik,F,32,2021
4335,ABW0,Unalakleet,F,32,2020
4350,AWAX,Transitory,M,32,2021
4355,ABX0,Transitory,M,32,2020
4370,AB00,NA,M,32,2021
4375,ABW0,Unalakleet,M,32,2020
4390,A000,NA,M,32,2021
4395,AB00,NA,M,32,2020
4410,A000,NA,M,32,2021
4415,ABW0,Unalakleet,M,32,2020
