"tag.ID","ch","stock","year","sex","stat.week"
5255,"000ABW","Unalakleet",2020,"M",33
5270,"000ABW","Unalakleet",2021,"F",35
5295,"000ABW","Unalakleet",2020,"F",33
5310,"000ABW","Unalakleet",2021,"M",35
5315,"000ABW","Unalakleet",2020,"M",33
5335,"000ABW","Unalakleet",2020,"M",33
5410,"000ABW","Unalakleet",2021,"M",35
5450,"000ABW","Unalakleet",2021,"M",35
5470,"000ABW","Unalakleet",2021,"M",35
5510,"000ABW","Unalakleet",2021,"F",35
5515,"000ABW","Unalakleet",2020,"F",33
5535,"000ABW","Unalakleet",2020,"M",33
5555,"000ABW","Unalakleet",2020,"M",33
5575,"000ABW","Unalakleet",2020,"M",33
5595,"000ABW","Unalakleet",2020,"F",33
5655,"000ABW","Unalakleet",2020,"F",33
5735,"000ABW","Unalakleet",2020,"M",33
5795,"000ABW","Unalakleet",2020,"F",33
5815,"000ABW","Unalakleet",2020,"M",33
5915,"000ABW","Unalakleet",2020,"F",33
5955,"000ABW","Unalakleet",2020,"M",33
6055,"000ABW","Unalakleet",2020,"M",33
6095,"000ABW","Unalakleet",2020,"F",33
6115,"000ABW","Unalakleet",2020,"F",33
6135,"000ABW","Unalakleet",2020,"F",33
6175,"000ABW","Unalakleet",2020,"M",33
6575,"000ABW","Unalakleet",2020,"F",34
6755,"000ABW","Unalakleet",2020,"F",34
6815,"000ABW","Unalakleet",2020,"M",34
6955,"000ABW","Unalakleet",2020,"M",34
6995,"000ABW","Unalakleet",2020,"M",34
7015,"000ABW","Unalakleet",2020,"M",34
7135,"000ABW","Unalakleet",2020,"M",34
7215,"000ABW","Unalakleet",2020,"M",35
7235,"000ABW","Unalakleet",2020,"M",35
7395,"000ABW","Unalakleet",2020,"F",35
7415,"000ABW","Unalakleet",2020,"M",35
7475,"000ABW","Unalakleet",2020,"F",35
7835,"000ABW","Unalakleet",2020,"M",35
7955,"000ABW","Unalakleet",2020,"F",35
