"","tag.ID","ch","stock","sex","stat.week","year"
"139",1455,"00BW","Unalakleet","F",33,2020
"140",1470,"00BW","Unalakleet","F",35,2021
"141",1475,"000B",NA,"M",33,2020
"142",1490,"000B",NA,"F",35,2021
"143",1495,"00BW","Unalakleet","F",33,2020
"144",1510,"00BW","Unalakleet","F",35,2021
"145",1515,"00BW","Unalakleet","F",33,2020
"146",1530,"000B",NA,"F",35,2021
"147",1535,"00BW","Unalakleet","F",33,2020
"148",1550,"000B",NA,"M",35,2021
"149",1555,"00BA",NA,"M",33,2020
"150",1570,"000B",NA,"F",35,2021
"151",1575,"00BW","Unalakleet","M",33,2020
"152",1590,"000B",NA,"F",35,2021
"153",1595,"000B",NA,"M",33,2020
"154",1610,"000B",NA,"F",35,2021
"155",1615,"00BW","Unalakleet","M",33,2020
"156",1630,"00BW","Unalakleet","M",35,2021
"157",1650,"00BW","Unalakleet","F",35,2021
"158",1655,"0BAX","Transitory","M",33,2020
"159",1670,"000B",NA,"F",35,2021
"160",1675,"0BAV","Shaktoolik","M",33,2020
"161",1690,"000B",NA,"M",35,2021
"162",1695,"BABW","Unalakleet","M",33,2020
"163",1710,"000B",NA,"F",35,2021
"164",1715,"000B",NA,"F",33,2020
"165",1730,"00BW","Unalakleet","M",35,2021
"166",1735,"00BW","Unalakleet","F",33,2020
"167",1750,"000B",NA,"F",35,2021
"168",1755,"00BW","Unalakleet","F",33,2020
"169",1770,"00BW","Unalakleet","M",35,2021
"170",1775,"00BW","Unalakleet","M",33,2020
"171",1790,"00BA",NA,"F",35,2021
"172",1795,"00BW","Unalakleet","M",33,2020
"173",1810,"000B",NA,"F",35,2021
"174",1815,"00BW","Unalakleet","F",33,2020
"175",1830,"0BAB",NA,"F",35,2021
"176",1835,"00BX","Transitory","M",33,2020
"177",1850,"000B",NA,"M",35,2021
"178",1855,"00BW","Unalakleet","M",33,2020
"179",1870,"00BW","Unalakleet","M",35,2021
"180",1875,"00BW","Unalakleet","M",33,2020
"181",1890,"000B",NA,"F",35,2021
"182",1895,"000B",NA,"F",33,2020
"183",1910,"000B",NA,"M",35,2021
"184",1915,"00BW","Unalakleet","M",33,2020
"185",1930,"00BA",NA,"M",35,2021
"186",1935,"000B",NA,"M",33,2020
"187",1950,"000B",NA,"F",35,2021
