tag.ID,ch,stock,sex,stat.week
4950,A000,NA,M,35
4955,ABW0,Unalakleet,M,33
4970,AB00,NA,M,35
4990,AB00,NA,M,35
4995,ABW0,Unalakleet,M,33
5010,AB00,NA,F,35
5015,AB00,NA,F,33
5030,ABW0,Unalakleet,M,35
5035,ABW0,Unalakleet,M,33
5050,A000,NA,M,35
5055,AX00,Transitory,M,33
5070,ABW0,Unalakleet,M,35
5075,ABW0,Unalakleet,F,33
5090,A000,NA,F,35
5095,ABX0,Transitory,F,33
5110,ABXB,NA,F,35
5115,AB00,NA,M,33
5130,AB00,NA,F,35
5135,AB00,NA,F,33
5150,AX00,Transitory,M,35
5155,A000,NA,F,33
5170,AB00,NA,F,35
5175,ABW0,Unalakleet,M,33
5190,ABW0,Unalakleet,F,35
5195,ABW0,Unalakleet,M,33
5210,ABXB,NA,F,35
5215,ABW0,Unalakleet,M,33
5230,AB00,NA,M,35
5235,ABW0,Unalakleet,F,33
5250,A000,NA,M,35
5255,ABW0,Unalakleet,M,33
5270,ABW0,Unalakleet,F,35
5275,AV00,Shaktoolik,F,33
5290,AB00,NA,M,35
5295,ABW0,Unalakleet,F,33
5310,ABW0,Unalakleet,M,35
5315,ABW0,Unalakleet,M,33
5330,AB00,NA,F,35
5335,ABW0,Unalakleet,M,33
5350,ABA0,NA,F,35
5355,ABAX,Transitory,F,33
5370,AB00,NA,M,35
5375,AV00,Shaktoolik,F,33
5390,AB00,NA,F,35
5395,AB00,NA,F,33
5410,ABW0,Unalakleet,M,35
5415,ABX0,Transitory,F,33
5430,AB00,NA,M,35
5435,ABA0,NA,M,33
5450,ABW0,Unalakleet,M,35
5455,A000,NA,F,33
5470,ABW0,Unalakleet,M,35
5475,ABX0,Transitory,F,33
5490,AB00,NA,F,35
5495,ABX0,Transitory,M,33
5510,ABW0,Unalakleet,F,35
5515,ABW0,Unalakleet,F,33
5530,AB00,NA,F,35
5535,ABW0,Unalakleet,M,33
5550,A000,NA,F,35
5555,ABW0,Unalakleet,M,33
5575,ABW0,Unalakleet,M,33
5595,ABW0,Unalakleet,F,33
5615,AV00,Shaktoolik,F,33
5635,A000,NA,F,33
5655,ABW0,Unalakleet,F,33
5675,ABX0,Transitory,F,33
5695,ABA0,NA,M,33
5715,ABX0,Transitory,F,33
5735,ABW0,Unalakleet,M,33
5755,AV00,Shaktoolik,F,33
5775,AB00,NA,M,33
5795,ABW0,Unalakleet,F,33
5815,ABW0,Unalakleet,M,33
5835,AX00,Transitory,F,33
5855,ABXB,NA,F,33
5875,ABX0,Transitory,F,33
5895,AB00,NA,M,33
5915,ABW0,Unalakleet,F,33
5935,AB00,NA,M,33
5955,ABW0,Unalakleet,M,33
5975,AB00,NA,F,33
5995,ABX0,Transitory,F,33
6015,AV00,Shaktoolik,M,33
6035,A000,NA,M,33
6055,ABW0,Unalakleet,M,33
6075,AV00,Shaktoolik,F,33
6095,ABW0,Unalakleet,F,33
6115,ABW0,Unalakleet,F,33
6135,ABW0,Unalakleet,F,33
6155,AB00,NA,M,33
6175,ABW0,Unalakleet,M,33
6195,A000,NA,M,33
6215,AV00,Shaktoolik,F,33
6235,AB00,NA,F,33
6255,AB00,NA,M,33
6275,AV00,Shaktoolik,M,33
6295,AB00,NA,F,33
6315,AV00,Shaktoolik,F,33
6335,ABX0,Transitory,M,33
6355,AB00,NA,F,33
6375,AX00,Transitory,F,33
6395,AV00,Shaktoolik,F,33
6415,ABX0,Transitory,M,34
6435,A000,NA,M,34
6455,A000,NA,F,34
6475,AV00,Shaktoolik,F,34
6495,A000,NA,F,34
6515,AB00,NA,M,34
6535,AV00,Shaktoolik,M,34
6555,AV00,Shaktoolik,M,34
6575,ABW0,Unalakleet,F,34
6595,AV00,Shaktoolik,F,34
6615,AXAB,NA,M,34
6635,ABX0,Transitory,M,34
6655,AV00,Shaktoolik,M,34
6675,AV00,Shaktoolik,F,34
6695,AV00,Shaktoolik,F,34
6715,AV00,Shaktoolik,F,34
6735,A000,NA,M,34
6755,ABW0,Unalakleet,F,34
6775,AXA0,NA,M,34
6815,ABW0,Unalakleet,M,34
6835,ABAB,NA,F,34
6855,A000,NA,F,34
6875,AV00,Shaktoolik,M,34
6895,AV00,Shaktoolik,M,34
6915,A000,NA,F,34
6935,AV00,Shaktoolik,F,34
6955,ABW0,Unalakleet,M,34
6975,AV00,Shaktoolik,M,34
6995,ABW0,Unalakleet,M,34
7015,ABW0,Unalakleet,M,34
7035,AV00,Shaktoolik,M,34
7055,ABX0,Transitory,M,34
7075,AV00,Shaktoolik,F,34
7115,AV00,Shaktoolik,M,34
7135,ABW0,Unalakleet,M,34
7155,AV00,Shaktoolik,M,34
7175,AV00,Shaktoolik,M,34
7195,AV00,Shaktoolik,F,34
7215,ABW0,Unalakleet,M,35
7235,ABW0,Unalakleet,M,35
7255,AB00,NA,F,35
7275,AB00,NA,F,35
7295,AV00,Shaktoolik,M,35
7315,AB00,NA,F,35
7335,AB00,NA,F,35
7355,AV00,Shaktoolik,F,35
7375,AB00,NA,M,35
7395,ABW0,Unalakleet,F,35
7415,ABW0,Unalakleet,M,35
7435,AB00,NA,F,35
7475,ABW0,Unalakleet,F,35
7495,ABA0,NA,F,35
7515,AB00,NA,F,35
7535,AB00,NA,F,35
7555,AB00,NA,M,35
7575,AB00,NA,F,35
7595,A000,NA,M,35
7615,AXAV,Shaktoolik,F,35
7635,AB00,NA,F,35
7655,ABA0,NA,F,35
7675,AX00,Transitory,M,35
7695,ABX0,Transitory,M,35
7715,AB00,NA,M,35
7735,A000,NA,F,35
7755,A000,NA,F,35
7775,A000,NA,F,35
7815,AV00,Shaktoolik,F,35
7835,ABW0,Unalakleet,M,35
7875,AB00,NA,F,35
7895,ABX0,Transitory,F,35
7915,A000,NA,F,35
7935,AV00,Shaktoolik,F,35
7955,ABW0,Unalakleet,F,35
7975,AV00,Shaktoolik,M,35
7995,AB00,NA,F,35
