tag.ID,ch,stock,sex,stat.week,year
1890,B,NA,F,35,2021
1895,B,NA,F,33,2020
1910,B,NA,M,35,2021
1915,BW,Unalakleet,M,33,2020
1930,BA,NA,M,35,2021
1935,B,NA,M,33,2020
1950,B,NA,F,35,2021
1955,BW,Unalakleet,F,33,2020
1970,BW,Unalakleet,F,35,2021
1975,BW,Unalakleet,M,33,2020
1990,BAB,NA,F,35,2021
1995,BW,Unalakleet,M,33,2020
2010,BW,Unalakleet,M,35,2021
2015,BW,Unalakleet,M,33,2020
2030,BW,Unalakleet,F,35,2021
2050,B,NA,M,35,2021
2055,BX,Transitory,M,33,2020
2070,B,NA,F,35,2021
2075,B,NA,F,33,2020
2090,BW,Unalakleet,F,35,2021
2095,B,NA,M,33,2020
2110,B,NA,F,35,2021
2115,BW,Unalakleet,M,33,2020
2130,BW,Unalakleet,M,35,2021
2135,BW,Unalakleet,F,33,2020
2150,BW,Unalakleet,M,35,2021
2155,BW,Unalakleet,M,33,2020
2170,BW,Unalakleet,M,35,2021
2175,BXBW,Unalakleet,M,33,2020
2190,B,NA,F,35,2021
2195,BAX,Transitory,F,33,2020
2210,B,NA,F,35,2021
2215,BW,Unalakleet,M,33,2020
2230,B,NA,F,35,2021
2235,BW,Unalakleet,F,33,2020
2250,B,NA,M,35,2021
2270,B,NA,F,35,2021
2275,B,NA,F,33,2020
2290,BW,Unalakleet,M,35,2021
2295,BAWA,NA,M,33,2020
2310,B,NA,F,35,2021
2315,BW,Unalakleet,F,33,2020
2330,BW,Unalakleet,M,35,2021
2335,BW,Unalakleet,F,33,2020
2350,BW,Unalakleet,M,35,2021
2355,BABW,Unalakleet,F,33,2020
2370,B,NA,M,35,2021
2375,BW,Unalakleet,F,33,2020
2390,BXB,NA,M,35,2021
2395,BW,Unalakleet,M,33,2020
2410,B,NA,F,35,2021
2415,BAV,Shaktoolik,M,34,2020
2430,B,NA,M,35,2021
2435,B,NA,M,34,2020
2450,B,NA,F,35,2021
2455,BX,Transitory,M,34,2020
2470,B,NA,F,35,2021
2475,BW,Unalakleet,M,34,2020
2490,B,NA,M,35,2021
2495,BW,Unalakleet,F,34,2020
2515,BW,Unalakleet,F,34,2020
2535,BX,Transitory,M,34,2020
2555,BW,Unalakleet,F,34,2020
2575,BW,Unalakleet,F,34,2020
2595,B,NA,M,34,2020
2615,BW,Unalakleet,F,34,2020
2635,B,NA,F,34,2020
2655,B,NA,F,34,2020
2675,BA,NA,F,34,2020
2695,BWBA,NA,M,34,2020
2715,BW,Unalakleet,M,34,2020
2735,BW,Unalakleet,M,34,2020
2755,B,NA,F,34,2020
2775,BW,Unalakleet,M,34,2020
2795,BW,Unalakleet,F,34,2020
2815,BW,Unalakleet,F,34,2020
2835,BX,Transitory,M,34,2020
2855,BW,Unalakleet,F,34,2020
2875,B,NA,F,34,2020
2895,BX,Transitory,M,34,2020
2915,BABW,Unalakleet,M,34,2020
2935,BW,Unalakleet,M,34,2020
2955,BW,Unalakleet,F,34,2020
2975,BW,Unalakleet,M,34,2020
2995,BW,Unalakleet,F,34,2020
3015,B,NA,F,34,2020
3035,B,NA,F,34,2020
3055,B,NA,M,34,2020
3075,BW,Unalakleet,F,34,2020
3095,B,NA,M,34,2020
3115,BW,Unalakleet,M,34,2020
3135,B,NA,M,34,2020
3155,B,NA,M,34,2020
3175,BW,Unalakleet,M,34,2020
3195,B,NA,F,34,2020
3215,BW,Unalakleet,M,35,2020
3235,B,NA,M,35,2020
3255,B,NA,F,35,2020
3275,B,NA,M,35,2020
3295,B,NA,M,35,2020
3315,B,NA,F,35,2020
3335,BW,Unalakleet,M,35,2020
3355,B,NA,M,35,2020
3375,BABX,Transitory,M,35,2020
3395,BW,Unalakleet,F,35,2020
3415,B,NA,F,35,2020
3435,B,NA,M,35,2020
3455,B,NA,M,35,2020
3475,BW,Unalakleet,M,35,2020
3495,BW,Unalakleet,M,35,2020
3515,BW,Unalakleet,M,35,2020
3535,BW,Unalakleet,F,35,2020
3555,B,NA,M,35,2020
3575,BA,NA,M,35,2020
3595,BW,Unalakleet,M,35,2020
3615,BW,Unalakleet,M,35,2020
3655,BW,Unalakleet,M,35,2020
3675,B,NA,F,35,2020
3695,BW,Unalakleet,F,35,2020
3715,BW,Unalakleet,M,35,2020
3735,BW,Unalakleet,F,35,2020
3755,B,NA,M,35,2020
3775,BAB,NA,F,35,2020
3795,BW,Unalakleet,F,35,2020
3815,B,NA,M,35,2020
3835,B,NA,M,35,2020
3855,BW,Unalakleet,M,35,2020
3875,B,NA,M,35,2020
3895,BW,Unalakleet,M,35,2020
3915,BW,Unalakleet,F,35,2020
3935,BW,Unalakleet,M,35,2020
3955,B,NA,F,35,2020
3975,BW,Unalakleet,M,35,2020
3995,BX,Transitory,M,35,2020
4015,ABW,Unalakleet,M,31,2020
4035,ABW,Unalakleet,M,31,2020
4055,AV,Shaktoolik,M,31,2020
4075,AV,Shaktoolik,M,31,2020
4110,AB,NA,M,32,2021
4130,AB,NA,M,32,2021
4135,ABW,Unalakleet,F,31,2020
4150,AB,NA,M,32,2021
4155,ABW,Unalakleet,F,32,2020
4170,A,NA,M,32,2021
4175,ABX,Transitory,M,32,2020
4190,ABAV,Shaktoolik,F,32,2021
4195,AB,NA,F,32,2020
4210,A,NA,F,32,2021
4215,AWAB,NA,M,32,2020
4230,A,NA,F,32,2021
4235,ABX,Transitory,M,32,2020
4250,ABW,Unalakleet,F,32,2021
4255,ABW,Unalakleet,M,32,2020
4270,ABW,Unalakleet,F,32,2021
4275,ABW,Unalakleet,F,32,2020
4290,AB,NA,F,32,2021
4295,ABW,Unalakleet,M,32,2020
4310,A,NA,M,32,2021
4315,ABW,Unalakleet,F,32,2020
4330,ABAV,Shaktoolik,F,32,2021
4335,ABW,Unalakleet,F,32,2020
4350,AWAX,Transitory,M,32,2021
4355,ABX,Transitory,M,32,2020
4370,AB,NA,M,32,2021
4375,ABW,Unalakleet,M,32,2020
4390,A,NA,M,32,2021
4395,AB,NA,M,32,2020
4410,A,NA,M,32,2021
4415,ABW,Unalakleet,M,32,2020
4430,A,NA,M,32,2021
4435,ABW,Unalakleet,M,32,2020
4450,AB,NA,M,32,2021
4455,AB,NA,F,32,2020
4470,ABW,Unalakleet,M,33,2021
4475,ABW,Unalakleet,M,32,2020
4490,AB,NA,M,33,2021
4495,ABW,Unalakleet,M,32,2020
4510,AV,Shaktoolik,M,33,2021
4515,ABW,Unalakleet,M,32,2020
4530,AV,Shaktoolik,F,33,2021
4535,ABW,Unalakleet,F,33,2020
4550,ABW,Unalakleet,M,33,2021
4555,ABW,Unalakleet,M,33,2020
4570,AXAB,NA,M,33,2021
4575,ABW,Unalakleet,M,33,2020
4590,AV,Shaktoolik,M,33,2021
4595,ABW,Unalakleet,M,33,2020
4610,AV,Shaktoolik,M,33,2021
4615,ABW,Unalakleet,F,33,2020
4630,AX,Transitory,M,33,2021
4635,ABAV,Shaktoolik,M,33,2020
4650,AV,Shaktoolik,M,33,2021
4655,ABW,Unalakleet,M,33,2020
4670,AXAB,NA,F,33,2021
4675,ABW,Unalakleet,M,33,2020
4690,AXAX,Transitory,F,33,2021
4695,ABW,Unalakleet,M,33,2020
4710,ABW,Unalakleet,M,33,2021
4715,AB,NA,F,33,2020
4730,A,NA,F,33,2021
4735,ABW,Unalakleet,M,33,2020
4750,AXAV,Shaktoolik,M,33,2021
4755,ABW,Unalakleet,M,33,2020
4770,AB,NA,M,34,2021
4775,ABW,Unalakleet,M,33,2020
4790,AB,NA,M,34,2021
4795,ABW,Unalakleet,M,33,2020
4810,AV,Shaktoolik,M,34,2021
4815,ABW,Unalakleet,M,33,2020
4830,AB,NA,M,34,2021
4835,ABW,Unalakleet,M,33,2020
4850,ABW,Unalakleet,F,34,2021
4855,ABW,Unalakleet,M,33,2020
4870,A,NA,M,34,2021
4875,ABW,Unalakleet,M,33,2020
4890,A,NA,M,34,2021
4895,ABW,Unalakleet,M,33,2020
4910,AB,NA,F,35,2021
4930,AV,Shaktoolik,M,35,2021
4935,ABW,Unalakleet,M,33,2020
4950,A,NA,M,35,2021
4955,ABW,Unalakleet,M,33,2020
4970,AB,NA,M,35,2021
4990,AB,NA,M,35,2021
4995,ABW,Unalakleet,M,33,2020
5010,AB,NA,F,35,2021
5015,AB,NA,F,33,2020
5030,ABW,Unalakleet,M,35,2021
5035,ABW,Unalakleet,M,33,2020
5050,A,NA,M,35,2021
5055,AX,Transitory,M,33,2020
5070,ABW,Unalakleet,M,35,2021
5075,ABW,Unalakleet,F,33,2020
5090,A,NA,F,35,2021
5095,ABX,Transitory,F,33,2020
5110,ABXB,NA,F,35,2021
5115,AB,NA,M,33,2020
