tag.ID,date.time,lat,long,sex
755,8/6/2020 15:04,64.02528,-160.91644,M
755,8/7/2020 2:35,63.953475,-160.869926,M
755,8/7/2020 13:45,63.555623,-161.051248,M
770,8/12/2021 10:16,63.91186,-160.81835,M
770,8/12/2021 10:30,63.953644,-160.863799,M
770,8/12/2021 22:12,63.95299,-160.888171,M
770,8/13/2021 9:44,63.953841,-160.857668,M
770,8/14/2021 19:41,63.557764,-161.056892,M
770,8/21/2021 12:00,63.555623,-161.051248,M
790,8/12/2021 10:22,63.91186,-160.81835,M
790,8/14/2021 2:45,63.953337,-160.876021,M
815,8/3/2020 14:30,63.95282,-160.85172,F
815,8/3/2020 15:35,63.953142,-160.882113,F
815,8/4/2020 11:43,63.953337,-160.876021,F
815,8/7/2020 2:00,63.555623,-161.051248,F
835,8/3/2020 14:51,63.95282,-160.85172,M
835,8/3/2020 15:02,63.953142,-160.882113,M
835,8/6/2020 15:54,63.557764,-161.056892,M
870,8/17/2021 10:24,63.94366,-160.84396,F
870,8/21/2021 10:05,63.557764,-161.056892,F
875,8/6/2020 15:38,64.01718,-160.91241,M
875,8/7/2020 18:23,64.131287,-160.957982,M
875,8/8/2020 19:45,63.95299,-160.888171,M
890,8/17/2021 10:05,63.94366,-160.84396,M
890,8/18/2021 16:19,63.692109,-160.888144,M
890,8/19/2021 23:14,63.557764,-161.056892,M
895,8/7/2020 10:26,64.0169,-160.91451,F
895,8/7/2020 19:33,63.95299,-160.888171,F
895,8/8/2020 17:37,63.953142,-160.882113,F
895,8/9/2020 8:00,63.953841,-160.857668,F
895,8/12/2020 16:23,64.130854,-160.98861,F
895,8/15/2020 5:43,64.368624,-161.112718,F
915,8/7/2020 10:26,64.0169,-160.91451,F
915,8/8/2020 7:07,64.131287,-160.957982,F
930,8/17/2021 11:43,63.94366,-160.84396,M
930,8/22/2021 9:18,63.557764,-161.056892,M
930,8/28/2021 15:43,64.131052,-160.976405,M
930,8/30/2021 3:24,64.545967,-161.384115,M
935,8/7/2020 10:28,64.0169,-160.91451,M
935,8/7/2020 20:43,63.953841,-160.857668,M
935,8/8/2020 13:31,63.555623,-161.051248,M
935,8/12/2020 12:00,63.555623,-161.051248,M
955,8/7/2020 10:31,64.0169,-160.91451,F
955,8/13/2020 13:10,64.039991,-160.900489,F
970,8/17/2021 12:03,63.94366,-160.84396,M
970,8/19/2021 14:00,63.555623,-161.051248,M
995,8/7/2020 11:05,64.0169,-160.91451,M
995,8/7/2020 17:06,63.95299,-160.888171,M
995,8/7/2020 23:38,63.555623,-161.051248,M
1010,8/16/2021 21:49,63.548007,-161.129208,M
1010,8/17/2021 12:31,63.94366,-160.84396,M
1010,8/17/2021 13:46,63.953841,-160.857668,M
1010,8/18/2021 13:09,63.547179,-161.123543,M
1010,8/20/2021 7:50,63.548007,-161.129208,M
1010,8/21/2021 7:26,63.953337,-160.876021,M
1010,8/21/2021 17:59,63.693551,-160.8998,M
1010,8/21/2021 23:24,63.547179,-161.123543,M
1015,8/7/2020 11:12,64.0169,-160.91451,M
1015,8/7/2020 23:44,63.953644,-160.863799,M
1015,8/8/2020 18:35,63.555623,-161.051248,M
1030,8/17/2021 12:41,63.94366,-160.84396,M
1030,8/17/2021 22:00,63.555623,-161.051248,M
1035,8/7/2020 11:17,64.0169,-160.91451,M
1035,8/12/2020 17:18,64.039991,-160.900489,M
1035,8/16/2020 18:28,64.042944,-160.888673,M
1035,8/17/2020 10:42,63.95299,-160.888171,M
1035,8/17/2020 17:10,63.555623,-161.051248,M
1050,8/17/2021 13:01,63.94366,-160.84396,M
1050,8/18/2021 2:27,63.953841,-160.857668,M
1055,8/7/2020 11:38,64.0169,-160.91451,F
