"","tag.ID","ymd.hms","array","lat","long","sex","species","stock","unix"
"74",515,2020-08-07 08:54:00,"4",64.131287,-160.957982,"F","coho","Unalakleet",1596790440
"75",515,2020-08-12 21:28:00,"4",64.131287,-160.957982,"F","coho","Unalakleet",1597267680
"73",515,2020-08-13 09:28:00,"5",63.953142,-160.882113,"F","coho","Unalakleet",1597310880
"72",515,2020-08-13 17:11:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1597338660
"12100",535,2020-08-06 13:14:00,"C",64.01718,-160.91241,"M","coho","Unalakleet",1596719640
"77",535,2020-08-09 23:52:00,"E",64.039991,-160.900489,"M","coho","Unalakleet",1597017120
"4861",555,2020-08-06 13:29:00,"C",64.01718,-160.91241,"F","coho","Unalakleet",1596720540
"80",555,2020-08-07 19:57:00,"5",63.95299,-160.888171,"F","coho","Unalakleet",1596830220
"79",555,2020-08-08 09:42:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1596879720
"8051",570,2021-08-09 16:29:00,"C",63.954632,-160.854024,"M","coho","Unalakleet",1628526540
"82",570,2021-08-09 16:36:00,"5",63.953841,-160.857668,"M","coho","Unalakleet",1628526960
"81",570,2021-08-10 19:25:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1628623500
"4081",575,2020-08-06 13:38:00,"C",64.01718,-160.91241,"M","coho","Unalakleet",1596721080
"84",575,2020-08-08 14:12:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1596895920
"83",575,2020-08-09 06:40:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1596955200
"4041",590,2021-08-10 10:45:00,"C",63.95564,-160.85443,"M","coho","Unalakleet",1628592300
"86",590,2021-08-10 11:19:00,"5",63.953475,-160.869926,"M","coho","Unalakleet",1628594340
"85",590,2021-08-13 23:09:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1628896140
"6581",610,2021-08-10 11:12:00,"C",63.95564,-160.85443,"F","coho","Unalakleet",1628593920
"88",610,2021-08-10 11:22:00,"5",63.953841,-160.857668,"F","coho","Unalakleet",1628594520
"87",610,2021-08-11 07:21:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1628666460
"5601",615,2020-08-06 13:44:00,"C",64.01718,-160.91241,"M","coho","Unalakleet",1596721440
"91",615,2020-08-06 18:40:00,"4",64.131052,-160.976405,"M","coho","Unalakleet",1596739200
"92",615,2020-08-08 01:26:00,"4",64.131239,-160.964123,"M","coho","Unalakleet",1596849960
"90",615,2020-08-08 11:12:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1596885120
"89",615,2020-08-08 18:39:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1596911940
"7221",630,2021-08-10 12:08:00,"C",63.95564,-160.85443,"M","coho","Unalakleet",1628597280
"94",630,2021-08-10 12:17:00,"5",63.953475,-160.869926,"M","coho","Unalakleet",1628597820
"95",630,2021-08-11 04:01:00,"5",63.953841,-160.857668,"M","coho","Unalakleet",1628654460
"93",630,2021-08-11 23:12:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1628723520
"8171",650,2021-08-10 13:08:00,"C",63.95564,-160.85443,"F","coho","Unalakleet",1628600880
"98",650,2021-08-10 13:20:00,"5",63.953841,-160.857668,"F","coho","Unalakleet",1628601600
"97",650,2021-08-11 05:53:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1628661180
"6291",670,2021-08-10 13:18:00,"C",63.95564,-160.85443,"F","coho","Unalakleet",1628601480
"103",670,2021-08-10 14:38:00,"5",63.95299,-160.888171,"F","coho","Unalakleet",1628606280
"102",670,2021-08-11 13:20:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1628688000
"6751",675,2020-08-06 13:58:00,"C",64.01718,-160.91241,"M","coho","Unalakleet",1596722280
"105",675,2020-08-06 22:53:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1596754380
"104",675,2020-08-07 09:24:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1596792240
"6181",690,2021-08-10 14:07:00,"C",63.91186,-160.81835,"M","coho","Unalakleet",1628604420
"106",690,2021-08-11 15:41:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1628696460
"3371",710,2021-08-10 14:32:00,"C",63.91186,-160.81835,"M","coho","Unalakleet",1628605920
"109",710,2021-08-14 21:40:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1628977200
"7521",715,2020-08-06 14:30:00,"C",64.01718,-160.91241,"M","coho","Unalakleet",1596724200
"111",715,2020-08-07 14:29:00,"5",63.953142,-160.882113,"M","coho","Unalakleet",1596810540
"110",715,2020-08-07 22:24:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1596839040
"5951",735,2020-08-06 14:45:00,"C",64.01718,-160.91241,"M","coho","Unalakleet",1596725100
"114",735,2020-08-06 19:19:00,"5",63.953142,-160.882113,"M","coho","Unalakleet",1596741540
"113",735,2020-08-07 06:10:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1596780600
"5271",770,2021-08-12 10:16:00,"C",63.91186,-160.81835,"M","coho","Unalakleet",1628763360
"121",770,2021-08-12 10:30:00,"5",63.953644,-160.863799,"M","coho","Unalakleet",1628764200
"122",770,2021-08-12 22:12:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1628806320
"123",770,2021-08-13 09:44:00,"5",63.953841,-160.857668,"M","coho","Unalakleet",1628847840
"120",770,2021-08-14 19:41:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1628970060
"4141",815,2020-08-03 14:30:00,"C",63.95282,-160.85172,"F","coho","Unalakleet",1596465000
"126",815,2020-08-03 15:35:00,"5",63.953142,-160.882113,"F","coho","Unalakleet",1596468900
"127",815,2020-08-04 11:43:00,"5",63.953337,-160.876021,"F","coho","Unalakleet",1596541380
"125",815,2020-08-07 02:00:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1596765600
"3541",835,2020-08-03 14:51:00,"C",63.95282,-160.85172,"M","coho","Unalakleet",1596466260
"129",835,2020-08-03 15:02:00,"5",63.953142,-160.882113,"M","coho","Unalakleet",1596466920
"128",835,2020-08-06 15:54:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1596729240
"3051",870,2021-08-17 10:24:00,"C",63.94366,-160.84396,"F","coho","Unalakleet",1629195840
"130",870,2021-08-21 10:05:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1629540300
"5021",890,2021-08-17 10:05:00,"C",63.94366,-160.84396,"M","coho","Unalakleet",1629194700
"134",890,2021-08-18 16:19:00,"6",63.692109,-160.888144,"M","coho","Unalakleet",1629303540
"133",890,2021-08-19 23:14:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1629414840
"2001",895,2020-08-07 10:26:00,"C",64.0169,-160.91451,"F","coho","Shaktoolik",1596795960
"136",895,2020-08-07 19:33:00,"5",63.95299,-160.888171,"F","coho","Shaktoolik",1596828780
"137",895,2020-08-08 17:37:00,"5",63.953142,-160.882113,"F","coho","Shaktoolik",1596908220
"138",895,2020-08-09 08:00:00,"5",63.953841,-160.857668,"F","coho","Shaktoolik",1596960000
