"","tag.ID","ymd.hms","array","lat","long","sex","species","stock","unix"
"7641",1730,2021-08-23 15:18:00,"C",64.03437,-160.92361,"M","coho","Unalakleet",1629731880
"280",1730,2021-08-24 01:15:00,"5",63.953841,-160.857668,"M","coho","Unalakleet",1629767700
"279",1730,2021-08-24 22:13:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1629843180
"5381",1735,2020-08-12 10:32:00,"C",63.95433,-160.85193,"F","coho","Unalakleet",1597228320
"282",1735,2020-08-12 10:37:00,"5",63.95299,-160.888171,"F","coho","Unalakleet",1597228620
"283",1735,2020-08-13 17:38:00,"5",63.953644,-160.863799,"F","coho","Unalakleet",1597340280
"281",1735,2020-08-14 18:57:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1597431420
"3761",1755,2020-08-12 10:53:00,"C",63.95433,-160.85193,"F","coho","Unalakleet",1597229580
"285",1755,2020-08-12 10:59:00,"5",63.95299,-160.888171,"F","coho","Unalakleet",1597229940
"284",1755,2020-08-15 06:46:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1597473960
"6241",1770,2021-08-23 15:19:00,"C",64.03437,-160.92361,"M","coho","Unalakleet",1629731940
"287",1770,2021-08-24 01:34:00,"5",63.953841,-160.857668,"M","coho","Unalakleet",1629768840
"286",1770,2021-08-24 16:04:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1629821040
"2371",1775,2020-08-12 10:53:00,"C",63.95433,-160.85193,"M","coho","Unalakleet",1597229580
"289",1775,2020-08-12 10:58:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1597229880
"288",1775,2020-08-18 10:19:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1597745940
"6301",1795,2020-08-12 10:53:00,"C",63.95433,-160.85193,"M","coho","Unalakleet",1597229580
"292",1795,2020-08-12 10:56:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1597229760
"291",1795,2020-08-13 11:20:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1597317600
"3710",1815,2020-08-12 10:54:00,"C",63.95433,-160.85193,"F","coho","Unalakleet",1597229640
"294",1815,2020-08-12 11:55:00,"5",63.953644,-160.863799,"F","coho","Unalakleet",1597233300
"293",1815,2020-08-16 19:49:00,"E",64.042944,-160.888673,"F","coho","Unalakleet",1597607340
"5831",1835,2020-08-12 10:57:00,"C",63.95433,-160.85193,"M","coho","Transitory",1597229820
"300",1835,2020-08-12 11:06:00,"5",63.953142,-160.882113,"M","coho","Transitory",1597230360
"299",1835,2020-08-13 07:08:00,"6",63.690645,-160.876555,"M","coho","Transitory",1597302480
"298",1835,2020-08-14 03:36:00,"7",63.547179,-161.123543,"M","coho","Transitory",1597376160
"5961",1855,2020-08-12 10:59:00,"C",63.95433,-160.85193,"M","coho","Unalakleet",1597229940
"302",1855,2020-08-12 19:11:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1597259460
"301",1855,2020-08-13 02:13:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1597284780
"8181",1870,2021-08-23 16:03:00,"C",64.03437,-160.92361,"M","coho","Unalakleet",1629734580
"303",1870,2021-08-24 08:47:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1629794820
"7311",1875,2020-08-12 11:13:00,"C",63.95433,-160.85193,"M","coho","Unalakleet",1597230780
"305",1875,2020-08-12 11:16:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1597230960
"304",1875,2020-08-13 21:47:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1597355220
"4110",1915,2020-08-12 11:13:00,"C",63.95433,-160.85193,"M","coho","Unalakleet",1597230780
"312",1915,2020-08-12 13:59:00,"5",63.953644,-160.863799,"M","coho","Unalakleet",1597240740
"313",1915,2020-08-14 16:50:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1597423800
"311",1915,2020-08-18 23:22:00,"E",64.042944,-160.888673,"M","coho","Unalakleet",1597792920
"4310",1955,2020-08-12 11:30:00,"C",63.95433,-160.85193,"F","coho","Unalakleet",1597231800
"318",1955,2020-08-12 11:37:00,"5",63.95299,-160.888171,"F","coho","Unalakleet",1597232220
"319",1955,2020-08-13 03:01:00,"5",63.953337,-160.876021,"F","coho","Unalakleet",1597287660
"317",1955,2020-08-19 16:35:00,"E",64.042944,-160.888673,"F","coho","Unalakleet",1597854900
"6811",1970,2021-08-24 10:43:00,"C",63.99048,-160.89789,"F","coho","Unalakleet",1629801780
"1761",1970,2021-08-25 13:00:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1629896400
"3751",1975,2020-08-12 11:30:00,"C",63.95433,-160.85193,"M","coho","Unalakleet",1597231800
"321",1975,2020-08-12 11:46:00,"5",63.953142,-160.882113,"M","coho","Unalakleet",1597232760
"322",1975,2020-08-14 02:39:00,"5",63.953337,-160.876021,"M","coho","Unalakleet",1597372740
"320",1975,2020-08-15 07:27:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1597476420
"6621",1995,2020-08-12 11:33:00,"C",63.95433,-160.85193,"M","coho","Unalakleet",1597231980
"326",1995,2020-08-12 12:33:00,"5",63.953337,-160.876021,"M","coho","Unalakleet",1597235580
"325",1995,2020-08-13 08:21:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1597306860
"8731",2010,2021-08-24 11:02:00,"C",63.99048,-160.89789,"M","coho","Unalakleet",1629802920
"1762",2010,2021-09-05 12:00:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1630843200
"6311",2015,2020-08-12 11:36:00,"C",63.95433,-160.85193,"M","coho","Unalakleet",1597232160
"328",2015,2020-08-12 11:45:00,"5",63.953142,-160.882113,"M","coho","Unalakleet",1597232700
"327",2015,2020-08-13 11:52:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1597319520
"8771",2030,2021-08-24 11:15:00,"C",63.99048,-160.89789,"F","coho","Unalakleet",1629803700
"329",2030,2021-08-24 16:23:00,"5",63.953475,-160.869926,"F","coho","Unalakleet",1629822180
"1763",2030,2021-08-24 23:59:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1629849540
"4511",2055,2020-08-12 11:52:00,"C",63.95433,-160.85193,"M","coho","Transitory",1597233120
"337",2055,2020-08-12 11:56:00,"5",63.953142,-160.882113,"M","coho","Transitory",1597233360
"336",2055,2020-08-13 19:48:00,"6",63.691418,-160.88228,"M","coho","Transitory",1597348080
"335",2055,2020-08-14 12:47:00,"7",63.547179,-161.123543,"M","coho","Transitory",1597409220
"8111",2090,2021-08-24 11:22:00,"C",63.99048,-160.89789,"F","coho","Unalakleet",1629804120
"340",2090,2021-08-24 15:47:00,"5",63.953337,-160.876021,"F","coho","Unalakleet",1629820020
"339",2090,2021-08-25 13:22:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1629897720
"6081",2115,2020-08-12 12:02:00,"C",63.95433,-160.85193,"M","coho","Unalakleet",1597233720
"345",2115,2020-08-12 12:08:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1597234080
"344",2115,2020-08-13 00:37:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1597279020
"2981",2130,2021-08-24 11:28:00,"C",63.99048,-160.89789,"M","coho","Unalakleet",1629804480
"346",2130,2021-08-24 16:42:00,"5",63.953475,-160.869926,"M","coho","Unalakleet",1629823320
"1764",2130,2021-08-29 12:00:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1630238400
"4621",2135,2020-08-12 12:02:00,"C",63.95433,-160.85193,"F","coho","Unalakleet",1597233720
"348",2135,2020-08-12 12:09:00,"5",63.95299,-160.888171,"F","coho","Unalakleet",1597234140
"349",2135,2020-08-13 12:21:00,"5",63.953142,-160.882113,"F","coho","Unalakleet",1597321260
"347",2135,2020-08-14 10:27:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1597400820
"2421",2150,2021-08-24 11:45:00,"C",63.99048,-160.89789,"M","coho","Unalakleet",1629805500
"350",2150,2021-08-24 17:04:00,"5",63.953475,-160.869926,"M","coho","Unalakleet",1629824640
"1765",2150,2021-08-30 17:00:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1630342800
"6741",2155,2020-08-12 12:03:00,"C",63.95433,-160.85193,"M","coho","Unalakleet",1597233780
"352",2155,2020-08-12 12:12:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1597234320
"351",2155,2020-08-13 07:46:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1597304760
"2201",2170,2021-08-24 11:48:00,"C",63.99048,-160.89789,"M","coho","Unalakleet",1629805680
"1766",2170,2021-09-01 10:00:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1630490400
"3851",2175,2020-08-12 12:05:00,"C",63.95433,-160.85193,"M","coho","Unalakleet",1597233900
"357",2175,2020-08-12 12:13:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1597234380
"356",2175,2020-08-13 10:01:00,"6",63.691418,-160.88228,"M","coho","Unalakleet",1597312860
"354",2175,2020-08-14 06:41:00,"7",63.547179,-161.123543,"M","coho","Unalakleet",1597387260
"355",2175,2020-08-14 17:53:00,"7",63.547179,-161.123543,"M","coho","Unalakleet",1597427580
"353",2175,2020-08-15 06:38:00,"G",63.860209,-160.697523,"M","coho","Unalakleet",1597473480
"2611",2195,2020-08-12 12:07:00,"C",63.95433,-160.85193,"F","coho","Transitory",1597234020
"359",2195,2020-08-12 14:33:00,"5",63.953644,-160.863799,"F","coho","Transitory",1597242780
"360",2195,2020-08-14 05:52:00,"4",64.131287,-160.957982,"F","coho","Transitory",1597384320
"361",2195,2020-08-15 21:11:00,"3",64.371604,-161.541044,"F","coho","Transitory",1597525860
"362",2195,2020-08-16 12:30:00,"2",64.540824,-161.380421,"F","coho","Transitory",1597581000
"363",2195,2020-08-17 09:44:00,"1",64.732402,-161.527414,"F","coho","Transitory",1597657440
"4710",2215,2020-08-12 12:10:00,"C",63.95433,-160.85193,"M","coho","Unalakleet",1597234200
"365",2215,2020-08-12 12:16:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1597234560
"364",2215,2020-08-17 18:48:00,"E",64.042944,-160.888673,"M","coho","Unalakleet",1597690080
"7751",2235,2020-08-12 12:13:00,"C",63.95433,-160.85193,"F","coho","Unalakleet",1597234380
"367",2235,2020-08-12 12:52:00,"5",63.953475,-160.869926,"F","coho","Unalakleet",1597236720
"366",2235,2020-08-13 18:13:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1597342380
"6731",2290,2021-08-24 13:16:00,"C",63.91177,-160.81755,"M","coho","Unalakleet",1629810960
"1767",2290,2021-08-25 17:00:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1629910800
"375",2295,2020-08-12 12:29:00,"5",63.95299,-160.888171,"M","coho","Shaktoolik",1597235340
"17110",2295,2020-08-12 12:52:00,"C",63.95433,-160.85193,"M","coho","Shaktoolik",1597236720
"376",2295,2020-08-13 00:00:00,"5",63.953644,-160.863799,"M","coho","Shaktoolik",1597276800
"377",2295,2020-08-13 14:32:00,"4",64.131052,-160.976405,"M","coho","Shaktoolik",1597329120
"374",2295,2020-08-22 00:19:00,"S",64.368624,-161.112718,"M","coho","Shaktoolik",1598055540
"6871",2315,2020-08-12 12:28:00,"C",63.95433,-160.85193,"F","coho","Unalakleet",1597235280
"378",2315,2020-08-12 12:31:00,"5",63.95299,-160.888171,"F","coho","Unalakleet",1597235460
"1768",2315,2020-08-14 12:00:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1597406400
"6551",2330,2021-08-24 13:46:00,"C",63.91177,-160.81755,"M","coho","Unalakleet",1629812760
"379",2330,2021-08-25 11:09:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1629889740
"5010",2335,2020-08-12 12:30:00,"C",63.95433,-160.85193,"F","coho","Unalakleet",1597235400
"381",2335,2020-08-12 13:23:00,"5",63.953337,-160.876021,"F","coho","Unalakleet",1597238580
"382",2335,2020-08-14 05:27:00,"5",63.953644,-160.863799,"F","coho","Unalakleet",1597382820
"383",2335,2020-08-15 06:15:00,"5",63.953841,-160.857668,"F","coho","Unalakleet",1597472100
"384",2335,2020-08-16 13:37:00,"5",63.953142,-160.882113,"F","coho","Unalakleet",1597585020
"385",2335,2020-08-17 07:23:00,"5",63.95299,-160.888171,"F","coho","Unalakleet",1597648980
"380",2335,2020-08-21 19:34:00,"E",64.042944,-160.888673,"F","coho","Unalakleet",1598038440
"16510",2350,2021-08-24 12:42:00,"C",63.91177,-160.81755,"M","coho","Unalakleet",1629808920
"1769",2350,2021-09-03 12:00:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1630670400
"2361",2355,2020-08-12 12:42:00,"C",63.95433,-160.85193,"F","coho","Unalakleet",1597236120
"387",2355,2020-08-12 12:50:00,"5",63.953142,-160.882113,"F","coho","Unalakleet",1597236600
"389",2355,2020-08-17 16:10:00,"4",64.131052,-160.976405,"F","coho","Unalakleet",1597680600
"388",2355,2020-08-18 00:02:00,"5",63.95299,-160.888171,"F","coho","Unalakleet",1597708920
"386",2355,2020-08-18 12:17:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1597753020
"8041",2375,2020-08-12 12:48:00,"C",63.95433,-160.85193,"F","coho","Unalakleet",1597236480
"391",2375,2020-08-12 12:52:00,"5",63.95299,-160.888171,"F","coho","Unalakleet",1597236720
"390",2375,2020-08-13 15:44:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1597333440
"6831",2395,2020-08-12 12:50:00,"C",63.95433,-160.85193,"M","coho","Unalakleet",1597236600
"399",2395,2020-08-12 13:17:00,"5",63.953142,-160.882113,"M","coho","Unalakleet",1597238220
"398",2395,2020-08-14 03:55:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1597377300
"8631",2415,2020-08-17 13:43:00,"C",63.95427,-160.8533,"M","coho","Shaktoolik",1597671780
"401",2415,2020-08-17 13:48:00,"5",63.953142,-160.882113,"M","coho","Shaktoolik",1597672080
"402",2415,2020-08-24 17:03:00,"4",64.131239,-160.964123,"M","coho","Shaktoolik",1598288580
"400",2415,2020-08-30 06:58:00,"S",64.366297,-161.093039,"M","coho","Shaktoolik",1598770680
"7081",2455,2020-08-17 14:06:00,"C",63.95427,-160.8533,"M","coho","Transitory",1597673160
"407",2455,2020-08-17 14:07:00,"5",63.95299,-160.888171,"M","coho","Transitory",1597673220
"406",2455,2020-08-18 18:52:00,"6",63.691418,-160.88228,"M","coho","Transitory",1597776720
"405",2455,2020-08-19 02:33:00,"7",63.548007,-161.129208,"M","coho","Transitory",1597804380
"6061",2475,2020-08-17 14:06:00,"C",63.95427,-160.8533,"M","coho","Unalakleet",1597673160
"408",2475,2020-08-17 15:31:00,"5",63.953475,-160.869926,"M","coho","Unalakleet",1597678260
"409",2475,2020-08-18 05:08:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1597727280
"1752",2475,2020-08-18 12:00:00,"E",64.039991,-160.900489,"M","coho","Unalakleet",1597752000
"5801",2495,2020-08-17 14:09:00,"C",63.95427,-160.8533,"F","coho","Unalakleet",1597673340
"411",2495,2020-08-17 14:10:00,"5",63.95299,-160.888171,"F","coho","Unalakleet",1597673400
"410",2495,2020-08-19 07:05:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1597820700
"7661",2515,2020-08-17 14:11:00,"C",63.95427,-160.8533,"F","coho","Unalakleet",1597673460
"413",2515,2020-08-17 14:24:00,"5",63.95299,-160.888171,"F","coho","Unalakleet",1597674240
"412",2515,2020-08-18 20:50:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1597783800
"5091",2535,2020-08-17 14:13:00,"C",63.95427,-160.8533,"M","coho","Transitory",1597673580
"416",2535,2020-08-17 14:20:00,"5",63.953142,-160.882113,"M","coho","Transitory",1597674000
"415",2535,2020-08-18 14:27:00,"6",63.691418,-160.88228,"M","coho","Transitory",1597760820
"414",2535,2020-08-19 08:03:00,"7",63.547179,-161.123543,"M","coho","Transitory",1597824180
"5781",2555,2020-08-17 14:15:00,"C",63.95427,-160.8533,"F","coho","Unalakleet",1597673700
"418",2555,2020-08-17 14:17:00,"5",63.95299,-160.888171,"F","coho","Unalakleet",1597673820
"417",2555,2020-08-19 16:33:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1597854780
"6791",2575,2020-08-17 14:25:00,"C",63.95427,-160.8533,"F","coho","Unalakleet",1597674300
"420",2575,2020-08-17 14:30:00,"5",63.95299,-160.888171,"F","coho","Unalakleet",1597674600
"419",2575,2020-08-18 09:14:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1597742040
"4891",2615,2020-08-17 14:28:00,"C",63.95427,-160.8533,"F","coho","Unalakleet",1597674480
"423",2615,2020-08-17 15:25:00,"5",63.953142,-160.882113,"F","coho","Unalakleet",1597677900
"422",2615,2020-08-19 10:01:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1597831260
"6491",2715,2020-08-17 15:03:00,"C",63.95427,-160.8533,"M","coho","Unalakleet",1597676580
"434",2715,2020-08-17 15:05:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1597676700
"433",2715,2020-08-18 13:04:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1597755840
"6801",2735,2020-08-17 15:04:00,"C",63.95427,-160.8533,"M","coho","Unalakleet",1597676640
"436",2735,2020-08-17 15:05:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1597676700
"435",2735,2020-08-18 09:41:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1597743660
"8941",2775,2020-08-17 15:19:00,"C",63.95427,-160.8533,"M","coho","Unalakleet",1597677540
"439",2775,2020-08-17 15:24:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1597677840
"438",2775,2020-08-27 21:31:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1598563860
"8151",2795,2020-08-17 15:32:00,"C",63.95427,-160.8533,"F","coho","Unalakleet",1597678320
"441",2795,2020-08-17 15:54:00,"5",63.953337,-160.876021,"F","coho","Unalakleet",1597679640
"440",2795,2020-08-18 08:24:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1597739040
"5971",2815,2020-08-17 15:34:00,"C",63.95427,-160.8533,"F","coho","Unalakleet",1597678440
"443",2815,2020-08-17 15:35:00,"5",63.95299,-160.888171,"F","coho","Unalakleet",1597678500
"442",2815,2020-08-18 06:44:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1597733040
"7021",2835,2020-08-18 11:15:00,"C",63.95477,-160.85222,"M","coho","Transitory",1597749300
"446",2835,2020-08-18 11:19:00,"5",63.95299,-160.888171,"M","coho","Transitory",1597749540
"445",2835,2020-08-19 16:36:00,"6",63.690645,-160.876555,"M","coho","Transitory",1597854960
"444",2835,2020-08-20 00:51:00,"7",63.547179,-161.123543,"M","coho","Transitory",1597884660
"7851",2855,2020-08-18 11:15:00,"C",63.95477,-160.85222,"F","coho","Unalakleet",1597749300
"448",2855,2020-08-18 14:00:00,"5",63.95299,-160.888171,"F","coho","Unalakleet",1597759200
"447",2855,2020-08-19 15:24:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1597850640
"7331",2895,2020-08-18 11:25:00,"C",63.95477,-160.85222,"M","coho","Transitory",1597749900
"452",2895,2020-08-18 11:28:00,"5",63.95299,-160.888171,"M","coho","Transitory",1597750080
"451",2895,2020-08-19 14:54:00,"6",63.691418,-160.88228,"M","coho","Transitory",1597848840
"450",2895,2020-08-19 21:37:00,"7",63.547179,-161.123543,"M","coho","Transitory",1597873020
"2331",2915,2020-08-18 11:25:00,"C",63.95477,-160.85222,"M","coho","Unalakleet",1597749900
"454",2915,2020-08-18 11:54:00,"5",63.953644,-160.863799,"M","coho","Unalakleet",1597751640
"455",2915,2020-08-20 07:19:00,"5",63.953142,-160.882113,"M","coho","Unalakleet",1597907940
"457",2915,2020-08-20 12:27:00,"4",64.131239,-160.964123,"M","coho","Unalakleet",1597926420
"459",2915,2020-08-21 01:17:00,"3",64.364748,-161.551676,"M","coho","Unalakleet",1597972620
"458",2915,2020-08-23 12:41:00,"4",64.131239,-160.964123,"M","coho","Unalakleet",1598186460
"456",2915,2020-08-23 20:28:00,"5",63.953142,-160.882113,"M","coho","Unalakleet",1598214480
"453",2915,2020-08-24 12:58:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1598273880
"8221",2935,2020-08-18 11:27:00,"C",63.95477,-160.85222,"M","coho","Unalakleet",1597750020
"461",2935,2020-08-18 11:44:00,"5",63.953475,-160.869926,"M","coho","Unalakleet",1597751040
"460",2935,2020-08-18 22:54:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1597791240
"8011",2955,2020-08-18 11:35:00,"C",63.95477,-160.85222,"F","coho","Unalakleet",1597750500
"463",2955,2020-08-18 11:45:00,"5",63.953142,-160.882113,"F","coho","Unalakleet",1597751100
"464",2955,2020-08-18 22:47:00,"5",63.953142,-160.882113,"F","coho","Unalakleet",1597790820
"462",2955,2020-08-19 14:55:00,"U",63.557764,-161.056892,"F","coho","Unalakleet",1597848900
"3331",2975,2020-08-18 11:35:00,"C",63.95477,-160.85222,"M","coho","Unalakleet",1597750500
"466",2975,2020-08-18 13:11:00,"5",63.953475,-160.869926,"M","coho","Unalakleet",1597756260
"467",2975,2020-08-22 14:52:00,"5",63.953142,-160.882113,"M","coho","Unalakleet",1598107920
"465",2975,2020-08-22 20:46:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1598129160
"5710",2995,2020-08-18 11:35:00,"C",63.95477,-160.85222,"F","coho","Unalakleet",1597750500
"469",2995,2020-08-18 11:37:00,"5",63.95299,-160.888171,"F","coho","Unalakleet",1597750620
"468",2995,2020-08-21 20:47:00,"E",64.042944,-160.888673,"F","coho","Unalakleet",1598042820
"7441",3075,2020-08-18 12:01:00,"C",63.95477,-160.85222,"F","coho","Unalakleet",1597752060
"474",3075,2020-08-18 12:31:00,"5",63.953337,-160.876021,"F","coho","Unalakleet",1597753860
"473",3075,2020-08-19 21:00:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1597870800
"5810",3115,2020-08-18 12:02:00,"C",63.95477,-160.85222,"M","coho","Unalakleet",1597752120
"477",3115,2020-08-18 12:06:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1597752360
"478",3115,2020-08-19 06:48:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1597819680
"476",3115,2020-08-22 21:44:00,"E",64.042944,-160.888673,"M","coho","Unalakleet",1598132640
"7631",3175,2020-08-18 12:16:00,"C",63.95477,-160.85222,"M","coho","Unalakleet",1597752960
"486",3175,2020-08-18 12:20:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1597753200
"485",3175,2020-08-19 18:21:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1597861260
"7341",3215,2020-08-24 11:01:00,"C",63.95417,-160.85283,"M","coho","Unalakleet",1598266860
"493",3215,2020-08-24 20:04:00,"5",63.953644,-160.863799,"M","coho","Unalakleet",1598299440
"494",3215,2020-08-25 11:19:00,"5",63.953142,-160.882113,"M","coho","Unalakleet",1598354340
"492",3215,2020-08-25 21:12:00,"U",63.557764,-161.056892,"M","coho","Unalakleet",1598389920
"8281",3335,2020-08-24 12:23:00,"C",63.95417,-160.85283,"M","coho","Unalakleet",1598271780
"504",3335,2020-08-24 12:28:00,"5",63.953142,-160.882113,"M","coho","Unalakleet",1598272080
"503",3335,2020-08-24 22:51:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1598309460
"3081",3375,2020-08-24 13:16:00,"C",63.95417,-160.85283,"M","coho","Transitory",1598274960
"510",3375,2020-08-24 13:24:00,"5",63.95299,-160.888171,"M","coho","Transitory",1598275440
"511",3375,2020-08-25 09:36:00,"5",63.953142,-160.882113,"M","coho","Transitory",1598348160
"508",3375,2020-08-25 21:47:00,"6",63.691418,-160.88228,"M","coho","Transitory",1598392020
"512",3375,2020-08-26 05:33:00,"5",63.953142,-160.882113,"M","coho","Transitory",1598419980
"513",3375,2020-08-27 09:30:00,"4",64.131287,-160.957982,"M","coho","Transitory",1598520600
"509",3375,2020-08-28 08:05:00,"6",63.691418,-160.88228,"M","coho","Transitory",1598601900
"507",3375,2020-08-28 12:37:00,"7",63.551293,-161.151899,"M","coho","Transitory",1598618220
"8371",3395,2020-08-24 13:31:00,"C",63.95417,-160.85283,"F","coho","Unalakleet",1598275860
"515",3395,2020-08-24 13:38:00,"5",63.953142,-160.882113,"F","coho","Unalakleet",1598276280
"514",3395,2020-08-24 22:15:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1598307300
"7871",3475,2020-08-24 14:42:00,"C",63.95417,-160.85283,"M","coho","Unalakleet",1598280120
"526",3475,2020-08-24 14:44:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1598280240
"525",3475,2020-08-25 19:30:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1598383800
"6561",3495,2020-08-24 14:45:00,"C",63.95417,-160.85283,"M","coho","Unalakleet",1598280300
"528",3495,2020-08-24 14:48:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1598280480
"527",3495,2020-08-25 12:05:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1598357100
"7961",3515,2020-08-24 15:11:00,"C",63.95417,-160.85283,"M","coho","Unalakleet",1598281860
"530",3515,2020-08-24 16:29:00,"5",63.953841,-160.857668,"M","coho","Unalakleet",1598286540
"531",3515,2020-08-25 10:39:00,"5",63.953142,-160.882113,"M","coho","Unalakleet",1598351940
"529",3515,2020-08-25 18:56:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1598381760
"6641",3535,2020-08-25 13:58:00,"C",63.95455,-160.85202,"F","coho","Unalakleet",1598363880
"533",3535,2020-08-25 14:02:00,"5",63.95299,-160.888171,"F","coho","Unalakleet",1598364120
"532",3535,2020-08-26 10:30:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1598437800
"8361",3595,2020-08-25 14:10:00,"C",63.95455,-160.85202,"M","coho","Unalakleet",1598364600
"539",3595,2020-08-25 14:13:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1598364780
"538",3595,2020-08-25 22:59:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1598396340
"7531",3615,2020-08-25 14:15:00,"C",63.95455,-160.85202,"M","coho","Unalakleet",1598364900
"541",3615,2020-08-25 14:25:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1598365500
"540",3615,2020-08-26 22:05:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1598479500
"7721",3655,2020-08-25 14:46:00,"C",63.95455,-160.85202,"M","coho","Unalakleet",1598366760
"545",3655,2020-08-25 15:03:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1598367780
"546",3655,2020-08-26 11:18:00,"5",63.953644,-160.863799,"M","coho","Unalakleet",1598440680
"544",3655,2020-08-26 21:05:00,"U",63.555623,-161.051248,"M","coho","Unalakleet",1598475900
"6201",3695,2020-08-25 15:03:00,"C",63.95455,-160.85202,"F","coho","Unalakleet",1598367780
"550",3695,2020-08-25 17:32:00,"5",63.953644,-160.863799,"F","coho","Unalakleet",1598376720
"551",3695,2020-08-26 07:03:00,"5",63.95299,-160.888171,"F","coho","Unalakleet",1598425380
"549",3695,2020-08-26 16:19:00,"U",63.555623,-161.051248,"F","coho","Unalakleet",1598458740
"5910",3715,2020-08-25 15:41:00,"C",63.95455,-160.85202,"M","coho","Unalakleet",1598370060
"553",3715,2020-08-25 15:43:00,"5",63.95299,-160.888171,"M","coho","Unalakleet",1598370180
"552",3715,2020-09-03 22:51:00,"E",64.042944,-160.888673,"M","coho","Unalakleet",1599173460
"5101",3795,2020-08-25 15:58:00,"C",63.95455,-160.85202,"F","coho","Unalakleet",1598371080
"563",3795,2020-08-25 17:23:00,"5",63.953337,-160.876021,"F","coho","Unalakleet",1598376180
