1,B4,BC,BC
2,B47,BCY,BCY
3,B,B,B
4,BS,BB,BB
5,B4U,BCC,BCC
6,BS,BB,BB
7,B4,BC,BC
8,B4,BC,BC
9,B4U,BCC,BCC
10,B44,BCB,BCB
11,B4,BC,BC
12,B4,BC,BC
13,B4,BC,BC
14,B4,BC,BC
15,B,B,B
16,B323S,BY23S,BYAYBB
17,B4,BC,BC
18,B44,BCB,BCB
19,B3,BY,BY
20,B47,BCY,BCY
21,B4,BC,BC
22,B,B,B
23,B,B,B
24,B,B,B
25,BS,BB,BB
26,B4U,BCC,BCC
27,B4U,BCC,BCC
28,B4E,BCC,BCC
29,B4,BC,BC
30,B4,BC,BC
31,BS,BB,BB
32,B4,BC,BC
33,B4,BC,BC
34,BS,BB,BB
35,B4,BC,BC
36,B4U,BCC,BCC
37,B4E,BCC,BCC
38,BS,BB,BB
39,BTS,BBS,BBB
40,B,B,B
41,BS,BB,BB
42,B4U,BCC,BCC
43,BT,BB,BB
44,B4U,BCC,BCC
45,B4U,BCC,BCC
46,BSST,BBST,BB
47,B47,BCY,BCY
48,BS,BB,BB
49,BS,BB,BB
50,B4U,BCC,BCC
51,BS,BB,BB
52,BS,BB,BB
53,BS,BB,BB
54,B4U,BCC,BCC
55,B33,BY3,BYB
56,B4U,BCC,BCC
57,B44,BCB,BCB
58,B,B,B
59,B32347,BY2347,BYAYBCY
60,B,B,B
61,B,B,B
62,BS,BB,BB
63,B,B,B
64,B4,BC,BC
65,BS,BB,BB
66,BS,BB,BB
67,B4U,BCC,BCC
68,BS,BB,BB
69,B34,BYB,BYB
70,B7,B7,B0Y
71,BT,BB,BB
72,BS,BB,BB
73,BS,BB,BB
74,BS,BB,BB
75,B,B,B
76,B,B,B
77,B,B,B
78,B4C,BCC,BCC
79,B4,BC,BC
80,BS,BB,BB
81,B4C,BCC,BCC
82,BS,BB,BB
83,B47,BCY,BCY
84,B4,BC,BC
85,B32N,BY2N,BYAA
86,BT,BB,BB
87,B47,BCY,BCY
88,B447,BCB7,BCB0Y
89,B4U,BCC,BCC
90,B4U,BCC,BCC
91,B4U,BCC,BCC
92,B4U,BCC,BCC
93,B4U,BCC,BCC
94,BS,BB,BB
95,B,B,B
96,B4G,BCC,BCC
97,B7,B7,B0Y
98,B44,BCB,BCB
99,B4G7,BCC7,BCCCY
100,B4U,BCC,BCC
101,BS,BB,BB
102,B4,BC,BC
103,B4U,BCC,BCC
104,B4U,BCC,BCC
105,B32N,BY2N,BYAA
106,B474,BCY4,BCYCB
107,B47,BCY,BCY
108,B4,BC,BC
109,B44U,BCBU,BCB0U
110,B4,BC,BC
111,B4U,BCC,BCC
112,B4,BC,BC
113,B47,BCY,BCY
114,BS,BB,BB
115,B,B,B
116,B4U,BCC,BCC
117,BS,BB,BB
118,B4U,BCC,BCC
119,B4U,BCC,BCC
120,B4E,BCC,BCC
121,B4,BC,BC
122,B4U,BCC,BCC
123,B4U,BCC,BCC
124,B4U,BCC,BCC
125,B4U,BCC,BCC
126,B4EEU,BCCEU,BCCCC
127,B4,BC,BC
128,B4U,BCC,BCC
129,B32I,BY2I,BYAA
130,B4U,BCC,BCC
131,B47,BCY,BCY
132,B4C,BCC,BCC
133,B4,BC,BC
134,B,B,B
135,B4U,BCC,BCC
136,B47G,BCYG,BCYCC
137,B4U,BCC,BCC
138,B4U,BCC,BCC
139,B4U,BCC,BCC
140,BSST,BBST,BB
141,B4E,BCC,BCC
142,B4U,BCC,BCC
143,B4U,BCC,BCC
144,B43,BC3,BC0Y
145,BT,BB,BB
146,B4,BC,BC
147,B47,BCY,BCY
148,B44,BCB,BCB
149,B,B,B
150,B4U,BCC,BCC
151,BSS4U,BBS4U,BBBCC
152,B4U,BCC,BCC
153,B4U,BCC,BCC
154,B4U,BCC,BCC
155,B44S,BCBS,BCBB
156,B444U,BCB4U,BCBCC
157,B44E,BCBE,BCB0C
158,B4E,BCC,BCC
159,B44,BCB,BCB
160,B4E,BCC,BCC
161,B4U,BCC,BCC
162,B4E,BCC,BCC
163,B4U,BCC,BCC
164,B4U,BCC,BCC
165,B,B,B
166,B4G,BCC,BCC
167,B4U,BCC,BCC
168,B347,BYB7,BYBCY
169,B4U,BCC,BCC
170,B4,BC,BC
171,B4E,BCC,BCC
172,B4U,BCC,BCC
173,B4,BC,BC
174,B4U,BCC,BCC
175,B4E,BCC,BCC
176,B4U,BCC,BCC
177,B4U,BCC,BCC
178,B4U,BCC,BCC
179,B34U,BYBU,BYBCC
180,B47,BCY,BCY
181,B4,BC,BC
182,BS,BB,BB
183,B32347,BY2347,BYAYBCY
184,B7U,B7C,B0YC
185,BU,BU,B0C
186,B4U,BCC,BCC
187,B44U,BCBU,BCB0U
188,B4U,BCC,BCC
189,BT,BB,BB
190,BS,BB,BB
191,BEEU,BCEU,BCCCC
192,B4C,BCC,BCC
193,B4C,BCC,BCC
194,B4C,BCC,BCC
195,B,B,B
196,B4T,BCT,BCT
197,B,B,B
198,B,B,B
199,B4U,BCC,BCC
200,BU,BU,B0C
201,B4C,BCC,BCC
202,B,B,B
203,B44S,BCBS,BCBB
204,B4SS33,BCSS33,BCBBBY
205,B4C,BCC,BCC
206,B,B,B
207,B,B,B
