"","","c.hist1","c.hist"
"248","45U","A4U","ABB"
"249","4","A4","AB"
"250","4EE5U","A4EEU","ABBBB"
"251","4","A4","AB"
"252","45U","A4UB","ABBB"
"253","32I","A32I","AY2Y"
"254","45U","A4U","ABB"
"255","4567","A47","AB7"
"256","45","A4A","ABB"
"257","45","A4","AB"
"258",NA,"A","A"
"259","45U","A4U","ABB"
"260","457G","A47G","AB7B"
"261","45U","A4UB","ABBB"
"262","45U","A4U","ABB"
"263","45","A4B","ABB"
"264","SST","ASST","AAAA"
"265","4E","A4E","ABB"
"266","45","A4B","ABB"
"267","455","A4B","ABB"
"268","43","A43","AB3"
"269","T","AT","AA"
"270","4","A4","AB"
"271","4567","A47","AB7"
"272","4554","A44","AB4"
"273",NA,"A","A"
"274","5U","BU","BB"
"275","5","B","B"
"276","5U","BU","BB"
"277","5U","BU","BB"
"278","5U","BU","BB"
"279","4","B4","BA"
"280","E","BE","BB"
"281",NA,"B","B"
"282","5U","BU","BB"
"283",NA,"B","B"
"284","43","B43A","BA3B"
"285","455U","A4U","ABB"
"286","SS45U","ASS4U","AAA4B"
"287","455U","A4UB","ABBB"
"288","4U","A4U","ABB"
"289","45U","A4U","ABB"
"290","44S","A44S","AB4A"
"291","4445U","A444U","AB44B"
"292","44E","A44E","AB4B"
"293","4","A4B","ABB"
"294","445","A44","AB4"
"295","4E","A4E","ABB"
"296","45U","A4U","ABB"
"297","4E","A4E","ABB"
"298","45U","A4U","ABB"
"299","45U","A4U","ABB"
"300",NA,"A","A"
"301","456G","A4G","ABB"
"302","45U","A4U","ABB"
"303","5554S","B4S","BAA"
"304","4","B4","BA"
"305","5U","BUB","BBB"
"306","E","BE","BB"
"307",NA,"B","B"
"308","5U","BU","BB"
"309","5U","BU","BB"
"310","EE5U","BEEU","BBBB"
"311","44U","B44U","BA4B"
"312","5","BB","BB"
"313","5U","BU","BB"
"314","44","B44","BA4"
"315","5U","BU","BB"
"316","45U","B4U","BAB"
"317","EE4S","BEE4S","BBB4A"
"318","45U","B4U","BAB"
"319","E","BE","BB"
"320","5U","BU","BB"
"321","44U","B44U","BA4B"
"322","567U","B7UB","BYBB"
"323","4","B4","BA"
"324","5445U","B44U","BA4B"
"325","S","BS","BA"
"326",NA,"B","B"
"327","432233K","B432233K","BA32233K"
"328","4","B4A","BAB"
"329",NA,"B","B"
"330","567","B7Y","BYY"
"331","3467","A347","AY47"
"332","45U","A4U","ABB"
"333","45","A4","AB"
"334","4E","A4E","ABB"
"335","45U","A4U","ABB"
"336","4","A4","AB"
"337","45U","A4U","ABB"
"338","4E","A4E","ABB"
"339","45U","A4U","ABB"
"340","45U","B4U","BAB"
"341","445","B44","BA4"
"342","445U","B44U","BA4B"
"343","E","BE","BB"
"344","5U","BU","BB"
"345","5U","BU","BB"
"346",NA,"B","B"
"347","445U","B44U","BA4B"
"348","4","B4A","BAB"
"349","445","B44A","BA4B"
"350","5U","BU","BB"
"351","44","B44","BA4"
"352","5U","BUB","BBB"
"353","5U","BUB","BBB"
"354","5U","BU","BB"
"355",NA,"B","B"
"356",NA,"B","B"
"357",NA,"B","B"
"358","45","B4A","BAB"
"359","45U","A4U","ABB"
"360","4U","A4U","ABB"
"361","345U","A34U","AY4B"
"362",NA,"B","B"
"363",NA,"B","B"
"364","4","B4","BA"
"365","5U","BU","BB"
"366","5U","BU","BB"
"367","4","B4","BA"
"368",NA,"B","B"
"369","5U","BU","BB"
"370",NA,"B","B"
"371",NA,"B","B"
"372",NA,"B","B"
"373","5","B","B"
"374","5U","BU","BB"
"375","5U","BU","BB"
"376","5U","BU","BB"
"377","4S","B4S","BAA"
"378","4","B4A","BAB"
"379","4567","A47","AB7"
"380","45","A4","AB"
"381","S","AS","AA"
"382","3234567","A32347","AY2347"
"383","67U","A7UB","A7BB"
"384","5U","AU","AB"
"385","55U","BU","BB"
"386","5445","B44","BA4"
"387","54","B4","BA"
"388","55U","BU","BB"
"389","5U","BU","BB"
"390","45U","A4U","ABB"
"391",NA,"B","B"
"392","445U","A44U","AB4B"
"393","45U","A4U","ABB"
"394","T","AT","AA"
"395","S","AS","AA"
"396",NA,"A","A"
"397","45","A4A","ABB"
"398","EE5U","AEEU","ABBB"
"399",NA,"B","B"
"400",NA,"B","B"
"401","5U","BU","BB"
"402","5576","B7","BY"
"403","5UU54","BUU4","BBB4"
"404","55","B","B"
"405",NA,"B","B"
"406","5U","BUB","BBB"
"407",NA,"B","B"
"408","5","BA","BB"
"409","4U","B4UB","BABB"
"410",NA,"B","B"
"411","4U","B4UB","BABB"
"412",NA,"B","B"
"413",NA,"B","B"
"414","4","B4","BA"
"415","5U","BUB","BBB"
"416","54","B4","BA"
"417","5U","BU","BB"
"418","5U","BU","BB"
"419","55U","BU","BB"
"420","5U","BU","BB"
"421","55U","BU","BB"
"422","5","B","B"
"423","5","B","B"
"424","5U","BU","BB"
"425","5U","BU","BB"
"426","5U","BU","BB"
"427","55U","BU","BB"
"428","5U","BU","BB"
"429","5U","BU","BB"
"430","U","BUB","BBB"
"431","U","BU","BB"
"432","5","B","B"
"433","5U5","BU","BB"
"434","555U","BUB","BBB"
"435","5","B","B"
"436",NA,"B","B"
"437",NA,"B","B"
"438",NA,"B","B"
"439","U","BU","BB"
"440","6U","BU","BB"
"441",NA,"B","B"
"442","U42","BU42","BB42"
"443",NA,"B","B"
"444",NA,"B","B"
"445",NA,"B","B"
"446","57567","B77","BY7"
"447",NA,"B","B"
"448","5","BA","BB"
"449","U","BU","BB"
"450","U","BU","BB"
"451","U","BUB","BBB"
"452","67","B7B","BYB"
"453",NA,"B","B"
"454","5","BA","BB"
"455",NA,"B","B"
"456","5","BB","BB"
"457","55","BA","BB"
"458","4","B4","BA"
"459","5","B","B"
"460","44","B44","BA4"
"461","5U","BU","BB"
"462",NA,"B","B"
"463","5U","BU","BB"
"464","5U","BU","BB"
"465","5U","BU","BB"
"466","445","B44","BA4"
"467","5543","B43","BA3"
"468","5U","BUB","BBB"
"469","5U","BU","BB"
"470",NA,"B","B"
"471","5U","BU","BB"
"472","5","B","B"
"473",NA,"B","B"
"474","566","B","B"
"475",NA,"B","B"
"476","5","B","B"
"477","5U","BU","BB"
"478",NA,"B","B"
"479",NA,"B","B"
"480",NA,"B","B"
"481","5","B","B"
"482","5U","BU","BB"
"483",NA,"B","B"
"484","5U","BU","BB"
"485","4","B4","BA"
"486",NA,"B","B"
"487","445","B44","BA4"
"488",NA,"B","B"
"489","U","BU","BB"
"490",NA,"B","B"
"491",NA,"B","B"
"492","4","B4","BA"
"493",NA,"B","B"
"494",NA,"B","B"
"495","44","B44","BA4"
"496",NA,"B","B"
"497","5","BB","BB"
"498",NA,"B","B"
"499",NA,"B","B"
"500","5U","BU","BB"
"501","5","B","B"
"502","5","BB","BB"
"503","5","BB","BB"
"504",NA,"B","B"
"505","5","B","B"
"506",NA,"B","B"
"507",NA,"B","B"
"508","5","B","B"
"509","5","B","B"
"510",NA,"B","B"
"511",NA,"B","B"
"512","U","BU","BB"
"513",NA,"B","B"
"514",NA,"B","B"
"515","67766","B77","BY7"
"516",NA,"B","B"
"517",NA,"B","B"
"518",NA,"B","B"
"519",NA,"B","B"
"520",NA,"B","B"
"521","45","A4A","ABB"
"522","45","A4A","ABB"
"523","4","A4A","ABB"
"524",NA,"A","A"
"525","4T","A4T","ABA"
"526",NA,"A","A"
"527",NA,"A","A"
"528","45U","A4U","ABB"
"529","5U","AU","AB"
"530","4","A4A","ABB"
"531",NA,"A","A"
"532","44S","A44S","AB4A"
"533","4SS33","A4SS33","ABAA33"
"534","4","A4A","ABB"
"535",NA,"A","A"
"536",NA,"A","A"
"537",NA,"A","A"
"538","4","A4A","ABB"
"539","45U","A4U","ABB"
"540","4","A4A","ABB"
"541","S","AS","AA"
"542","T","AT","AA"
"543","45U","A4U","ABB"
"544","3455","A34","AY4"
"545","S","AS","AA"
"546","S","AS","AA"
"547","1","A1","A1"
"548","S","AS","AA"
"549","34","A34","AY4"
"550","332","A332","AY32"
"551","4U","A4UB","ABBB"
"552",NA,"A","A"
"553","33S","A33S","AY3A"
"554","4","A4","AB"
"555",NA,"A","A"
"556","S","AS","AA"
"557","4","A4A","ABB"
"558","45U","A4U","ABB"
"559",NA,"A","A"
"560",NA,"A","A"
"561","455","A4","AB"
"562",NA,"A","A"
"563",NA,"A","A"
"564","4","A4","AB"
"565","4","A4","AB"
"566","4","A4","AB"
"567","45U","A4U","ABB"
"568",NA,"A","A"
"569","4","A4B","ABB"
"570",NA,"A","A"
"571","47","A47","AB7"
"572","45","A4","AB"
"573","1","A1","A1"
"574","455","A4","AB"
"575","4","A4B","ABB"
"576","467","A47","AB7"
"577","45","A4","AB"
"578",NA,"A","A"
"579","4U","A4U","ABB"
"580","4","A4","AB"
"581","45U","A4U","ABB"
"582","4","A4","AB"
"583","44","A44","AB4"
"584","4","A4A","ABB"
"585","4","A4","AB"
"586","45","A4B","ABB"
"587","4","A4","AB"
"588","4","A4B","ABB"
"589","45U","A4UB","ABBB"
"590","4","A4","AB"
"591","45","A4B","ABB"
"592","4","A4","AB"
"593",NA,"A","A"
"594",NA,"B","B"
"595","U","BU","BB"
"596","5U","BU","BB"
"597","5U","BU","BB"
"598","5U","BU","BB"
"599","5433","B433","BA33"
"600","7654S","B74S","BY4A"
"601","5","BA","BB"
"602","U","BU","BB"
"603","555U","BU","BB"
"604","5445U","B44U","BA4B"
