idx,ch
625,B
626,B0AA
627,BBB
628,BAA
629,BB
630,BA
631,BB
632,BAA
633,BB
634,B
635,BAB
636,BABY
637,BABB
638,BAA
639,BABY
640,BA
641,BABB
642,BABB
643,BABB
644,BB
645,BB
646,BB
647,BB
648,BB
649,B0AA
650,BB
651,BB
652,BBBA
653,BABB
654,BAA
655,BB
656,BB
657,BABB
658,BB
659,BB
660,BB
661,B
662,B
663,BB
664,BB
665,BB
666,BB
667,BB
668,BAA
669,B
670,BAB
671,BAB
672,BAA
673,B
674,BB
675,B
676,B
677,BB
678,BB
679,BB
680,BB
681,BAYY
682,B
683,B
684,B
685,B
686,B
687,B
688,B
689,B
690,BB
691,B
692,BB
693,BB
694,B0AA
695,B
696,B
697,BB
698,BB
699,B
700,B
701,BB
702,BBBY
703,BYB
704,BY
705,B
706,BB
707,B
708,BABA
709,BY
710,B
711,B
712,B
713,B
714,B
715,BY
716,B
717,BYBA
718,B
719,BYB
720,A0Y
721,AYAA
722,A0BB
723,A
724,ABB
725,AY
726,AB
727,AA
728,AYA
729,AA
730,A
731,ABAA
732,AY
733,AYY
734,ABB
735,AYY
736,A
737,ABB
738,AA
739,ABB
740,AA
741,ABB
742,A
743,ABB
744,ABB
745,AB
746,A
747,AYY
748,AA
749,A0BB
750,AYY
751,ABB
752,AY
753,AYAA
754,AYY
755,ABB
756,AB
757,A
758,ABB
759,A
760,ABB
761,ABB
762,ABB
763,ABAA
764,AA
765,ABB
766,AA
767,ABB
768,ABY
769,AA
770,AA
771,AA
772,AA
773,AA
774,A
775,AA
776,AA
777,AA
778,AB
779,AB
780,ABB
781,ABBB
782,AA
783,ABB
784,AA
785,AA
786,ABB
787,ABB
788,ABB
789,ABB
790,A
791,AB
792,AA
793,AYAY
794,AB
795,ABB
796,AA
797,AB
798,AA
799,ABB
800,A0B
801,AA
802,ABY
803,AA
804,ABY
805,AA
806,AA
807,ABB
808,ABB
809,AAAB
810,A
811,ABB
812,AYY
813,AYAA
814,AA
815,ABAA
816,ABB
817,AA
818,AYY
819,AA
820,ABB
821,AB
822,ABB
823,ABB
824,A
825,AA
826,A
827,AY
828,AA
829,ABB
830,A
831,ABAY
832,AYAY
833,ABB
834,A
835,AY
836,A
837,AA
838,ABAA
839,AA
840,ABB
841,A
842,ABAA
843,AA
844,AA
845,AYAA
846,AB
847,AB
848,ABB
849,ABB
850,AA
851,AB
852,AY
853,ABAA
854,ABB
855,AA
856,ABB
857,ABB
858,AAAY
859,A
860,ABAA
861,AA
862,A
863,AB
864,A
865,ABB
866,A
867,AA
868,AA
869,AA
870,ABB
871,AA
872,AB
873,ABB
874,ABB
875,A
876,A
877,A
878,AB
879,AB
880,ABB
881,A
882,A
883,BB
884,BB
885,BB
886,A
887,BB
888,BAB
889,B
890,B
891,BY
892,B
893,BB
894,BB
895,BB
896,AA
897,B
