633,5U,B5U,BB,NA,BB
644,5U,B5U,BB,NA,BB
645,5U,B5U,BB,NA,BB
646,U,BU,BB,NA,BB
647,5U,B5U,BB,NA,BB
648,5U,B5U,BB,NA,BB
650,5U,B5U,BB,NA,BB
651,5U,B5U,BB,NA,BB
655,5U,B5U,BB,NA,BB
656,U,BU,BB,NA,BB
658,5U,B5U,BB,NA,BB
659,5U,B5U,BB,NA,BB
660,55U,B55U,BB,NA,BB
663,5U,B5U,BB,NA,BB
664,55U,B55U,BB,NA,BB
665,55U,B55U,BB,NA,BB
666,5U,B5U,BB,NA,BB
667,5U,B5U,BB,NA,BB
674,55U,B55U,BB,NA,BB
677,U,BU,BB,NA,BB
678,U,BU,BB,NA,BB
679,U,BU,BB,NA,BB
680,U,BU,BB,NA,BB
690,5U,B5U,BB,NA,BB
692,U,BU,BB,NA,BB
693,U,BU,BB,NA,BB
697,U,BU,BB,NA,BB
698,U,BU,BB,NA,BB
701,U55,BU55,BB,NA,BB
706,U5,BU5,BB,NA,BB
883,U,BU,BB,NA,BB
884,U,BU,BB,NA,BB
885,55U,B55U,BB,NA,BB
887,5U,B5U,BB,NA,BB
893,5U,B5U,BB,NA,BB
894,55U,B55U,BB,NA,BB
895,5U,B5U,BB,NA,BB
327,432233K,B432233K,BA32233K,NA,BAYY
681,543Y,B543Y,BA3Y,NA,BAYY
284,43,B43B,BA3B,6b,BAYA
599,5433,B5433,BA33,NA,BAYA
196,541,B541,BA1,NA,BAY
442,U42,BU42,BB42,NA,BAY
467,5543,B5543,BA3,NA,BAY
624,32,B32,B32,NA,B0AY
636,432,B432,BA32,NA,BABY
639,42,B42,BA2,NA,BABY
709,12,B12,B12,NA,BY
62,5565467,B5565467,BA7,NA,BABY
102,554345U,B554345U,BA34B,NA,BABB
204,545U,B545UB,BABB,U,BABB
311,44U,B44U,BA4B,NA,BABB
316,45U,B45U,BAB,NA,BABB
318,45U,B45U,BAB,NA,BABB
321,44U,B44U,BA4B,NA,BABB
324,5445U,B5445U,BA4B,NA,BABB
340,45U,B45U,BAB,NA,BABB
342,445U,B445U,BA4B,NA,BABB
347,445U,B445U,BA4B,NA,BABB
409,4U,B4UB,BABB,U,BABB
411,4U,B4UB,BABB,U,BABB
604,5445U,B5445U,BA4B,NA,BABB
606,5445U,B5445U,BA4B,NA,BABB
612,5445U,B5445U,BA4B,NA,BABB
637,45U,B45U,BAB,NA,BABB
641,455U,B455U,BAB,NA,BABB
642,445U,B445U,BA4B,NA,BABB
643,45U,B45U,BAB,NA,BABB
653,44U,B44U,BA4B,NA,BABB
657,5445U,B5445U,BA4B,NA,BABB
244,4SS45U,B4SS45U,BAAA4B,NA,BABB
708,45654,B45654,BA4,NA,BABA
20,5455,B5455,BA,NA,BAB
314,44,B44,BA4,NA,BAB
328,4,B4B,BAB,6a,BAB
341,445,B445,BA4,NA,BAB
348,4,B4B,BAB,6a,BAB
349,445,B445B,BA4B,6a,BAB
351,44,B44,BA4,NA,BAB
358,45,B45B,BAB,6b,BAB
378,4,B4B,BAB,6a,BAB
386,5445,B5445,BA4,NA,BAB
460,44,B44,BA4,NA,BAB
466,445,B445,BA4,NA,BAB
487,445,B445,BA4,NA,BAB
495,44,B44,BA4,NA,BAB
622,5445,B5445B,BA4B,6b,BAB
635,45,B45B,BAB,6b,BAB
670,44,B44,BA4,NA,BAB
671,44,B44,BA4,NA,BAB
888,445,B445,BA4,NA,BAB
