"id","receiver line","sex","arrive","depart"
48,"SBI","M",2011-05-27 00:04:19,2011-08-10 01:28:56
48,"SBO","M",2011-08-10 01:44:22,2011-08-10 01:44:22
48,"SBI","M",2011-08-10 01:55:33,2011-08-10 01:55:33
48,"SBO","M",2011-08-10 02:10:50,2011-08-10 02:10:50
48,"SBI","M",2011-08-10 02:32:54,2011-08-10 02:32:54
48,"SBO","M",2011-08-10 02:38:22,2011-08-10 02:39:55
48,"SBI","M",2011-08-10 07:02:31,2011-08-15 22:31:22
48,"SBO","M",2011-08-16 00:35:40,2011-08-17 13:42:43
48,"SBI","M",2011-08-17 22:25:24,2011-08-18 11:03:08
48,"SBO","M",2011-08-19 18:25:49,2011-08-23 00:14:45
48,"SBI","M",2011-08-24 11:46:35,2011-08-26 11:11:34
48,"SBO","M",2011-08-27 07:54:31,2011-08-28 00:47:52
48,"SBI","M",2011-08-28 21:53:05,2011-08-29 07:56:35
48,"SBO","M",2011-09-02 01:23:43,2011-09-02 22:08:53
48,"SBI","M",2011-09-02 22:20:28,2011-09-02 22:20:28
48,"SBO","M",2011-09-02 22:24:49,2011-09-02 22:26:51
48,"SBI","M",2011-09-02 23:53:31,2011-09-04 12:59:35
48,"SBO","M",2011-09-04 13:09:43,2011-09-04 13:09:43
48,"SBI","M",2011-09-04 13:36:57,2011-09-11 19:07:56
48,"SBO","M",2011-09-11 19:12:38,2011-09-11 19:12:38
48,"SBI","M",2011-09-11 19:19:47,2011-09-12 09:18:24
48,"SBO","M",2011-09-12 09:20:17,2011-09-12 09:20:17
48,"SBI","M",2011-09-12 09:24:20,2011-09-12 09:24:20
48,"SBO","M",2011-09-12 09:38:35,2011-09-12 09:38:35
48,"SBI","M",2011-09-12 09:44:48,2011-09-12 09:48:41
48,"SBO","M",2011-09-12 10:20:10,2011-09-12 10:27:06
48,"SBI","M",2011-09-12 10:34:13,2011-09-12 10:34:13
48,"SBO","M",2011-09-12 10:38:13,2011-09-12 10:38:15
48,"SBI","M",2011-09-12 10:43:28,2011-09-12 10:43:28
48,"SBO","M",2011-09-12 10:45:57,2011-09-12 10:48:14
48,"SBI","M",2011-09-12 10:56:11,2011-09-12 13:33:31
48,"SBO","M",2011-09-12 14:46:26,2011-09-13 00:43:32
48,"SBI","M",2011-09-13 10:24:08,2011-09-14 09:19:11
48,"SBO","M",2011-09-15 03:32:13,2011-09-15 08:33:00
48,"SBI","M",2011-09-16 12:25:28,2011-09-17 15:59:24
48,"SBO","M",2011-09-17 15:59:45,2011-09-17 15:59:45
48,"SBI","M",2011-09-17 15:59:51,2011-09-17 17:12:08
48,"SBO","M",2011-09-17 17:17:15,2011-09-17 17:17:15
48,"SBI","M",2011-09-17 17:20:18,2011-09-17 17:20:18
48,"SBO","M",2011-09-17 17:22:37,2011-09-17 17:24:39
48,"SBI","M",2011-09-17 17:33:25,2011-09-18 17:21:00
48,"SBO","M",2011-09-19 15:18:48,2011-09-21 19:51:46
48,"SBI","M",2011-09-22 14:30:37,2011-09-25 18:17:19
48,"SBO","M",2011-09-26 23:16:11,2011-09-26 23:16:13
48,"SBI","M",2011-09-26 23:30:21,2011-09-26 23:31:28
48,"SBO","M",2011-09-26 23:33:00,2011-09-26 23:33:00
48,"SBI","M",2011-09-26 23:33:51,2011-09-27 06:51:08
48,"SBO","M",2011-09-27 08:37:45,2011-09-28 04:31:37
48,"SBI","M",2011-09-28 08:22:55,2011-10-04 16:36:02
48,"SGR","M",2012-02-24 09:47:21,2012-02-25 00:01:47
48,"TTB","M",2012-04-14 04:17:35,2012-04-14 05:05:50
48,"SGR","M",2012-04-15 04:41:07,2012-04-15 13:03:59
48,"SBI","M",2012-05-10 06:26:14,2012-05-16 18:00:15
50,"TTB","F",2011-04-26 15:28:36,2011-04-26 16:27:46
50,"SGR","F",2011-04-27 08:45:18,2011-04-27 10:31:04
50,"SBI","F",2011-05-25 05:35:27,2011-05-26 00:18:20
50,"SBO","F",2011-05-28 02:02:34,2011-05-28 11:07:02
50,"OSC","F",2011-05-30 16:46:31,2011-05-30 20:01:45
50,"STG","F",2011-06-01 21:04:14,2011-06-01 22:33:30
