ID	FirstFound	LastPresent	LastChecked	Fate	Freq	Year	HenAge	Date	Dlek	Sage	NonSage	RoadD500	All1000	NMG_Ht	AvgGrsHt100
160.871-1-2005	8	18	27	1	1	2005	Adult	-0.107472414	0.310277721	1.606689434	-0.62869043	-0.853394109	-1.338229654	2.25653879	2.261815038
160.882-1-2005	21	40	40	0	1	2005	Adult	-0.605733797	0.658511966	-0.624925511	1.092244078	1.111734661	0.342508459	0.262416767	-0.160855071
160.451-1-2005	19	36	36	0	1	2005	Juvenile	1.138181044	-0.606618821	-0.757684474	-0.5402484	1.633436381	0.508821358	4.995281219	2.038976311
160.532-1-2005	18	39	39	0	1	2005	Juvenile	-0.771820925	-0.786492659	0.40395645	-0.62869043	1.911679572	0.579257878	0.588344127	1.313354925
160.154-1-2005	19	22	26	1	1	2005	Juvenile	0.556876097	0.955059455	0.348640216	-0.068557571	-0.853394109	0.526430488	1.275354546	2.197532166
160.231-1-2005	16	24	33	1	1	2005	Juvenile	1.304268171	0.51938055	0.569905154	-0.267552139	0.346540309	0.455987297	3.800713217	4.065460141
160.492-1-2005	12	15	19	1	1	2005	Juvenile	1.138181044	1.002590109	0.655250201	-0.62869043	-0.853394109	0.189889328	2.838157714	3.249533606
160.773-1-2005	16	16	20	1	1	2005	Juvenile	0.639919661	-0.263451565	-0.387855935	-0.62869043	0.050904787	-0.119257629	-1.26334061	0.977955718
160.851-1-2005	7	10	14	1	1	2005	Juvenile	-0.522690233	-0.705942793	0.413439234	-0.62869043	-0.853394109	0.575342515	0.127464241	0.690541218
160.851-2-2005	16	20	24	1	1	2005	Juvenile	0.639919661	-0.583781301	-0.618603655	0.045680052	-0.522973926	0.050970633	2.064231441	2.363408948
160.901-2-2005	16	34	35	1	1	2005	Juvenile	1.304268171	-0.929810232	0.775365453	-0.62869043	0.711745154	0.08814324	1.535855665	1.970641825
160.773-2-2005	13	16	23	1	1	2005	Juvenile	3.131226576	-0.491567177	0.955538331	0.635293588	1.337800859	0.592951645	3.028149701	3.720673968
159.097-1-2006	20	38	38	0	1	2006	Adult	-0.02442885	-0.571670111	1.644620567	0.443669188	1.911679572	0.712306863	-0.367890911	0.907443636
159.179-1-2006	11	36	36	0	1	2006	Adult	0.806006788	0.968596926	0.117892495	0.764271549	1.668221043	0.086188894	0.022677574	1.470641227
159.321-1-2006	12	36	36	0	1	2006	Adult	-0.273559542	0.11303146	-0.767167257	-0.62869043	-0.853394109	0.101843677	1.359501415	1.462369865
159.499-1-2006	20	35	35	0	1	2006	Adult	1.470355299	-0.964394157	0.045191158	0.288895635	0.6247835	0.76709527	1.921538992	0.520959027
159.652-1-2006	16	35	35	0	1	2006	Adult	0.639919661	1.662033817	1.929104058	-0.62869043	0.311755647	-0.262091687	0.669655858	2.094926813
160.113-1-2006	18	40	40	0	1	2006	Adult	0.058614714	1.274852396	-0.030671106	2.636294526	-0.853394109	-0.964515887	0.051255756	0.319842957
160.353-1-2006	14	37	37	0	1	2006	Adult	-0.439646669	-0.902281398	-0.748201691	2.234620304	0.868242029	0.77296498	-0.2731463	-0.334480091
160.572-1-2006	14	35	35	0	1	2006	Adult	0.556876097	-0.859496753	2.052380238	-0.62869043	0.537855948	0.567518458	-0.320993382	-0.784626143
160.754-1-2006	16	40	40	0	1	2006	Adult	-0.522690233	0.189195331	-0.296189032	-0.62869043	-0.853394109	0.76709527	0.392461928	-0.316143353
160.843-1-2006	13	37	37	0	1	2006	Adult	-0.356603106	-0.285702159	0.446628974	-0.462861623	-0.853394109	-0.174046036	0.06022146	0.071931627
160.871-1-2006	27	40	40	0	1	2006	Adult	-0.190515978	0.288687128	0.073639507	2.238305389	-0.853394109	-1.361715164	-1.26334061	-0.505045648
160.892-1-2006	21	34	34	0	1	2006	Adult	0.639919661	3.348642517	-0.539580463	0.561591896	1.87689491	0.71426121	3.013384307	1.641154008
159.121-1-2006	12	12	16	1	1	2006	Adult	0.473832533	-0.929852314	0.538295877	0.329431566	0.242186323	0.718176573	-0.122330237	1.057522629
159.793-1-2006	20	36	38	1	1	2006	Adult	-1.353125872	0.082795101	0.993469464	-0.263867055	0.38132497	-0.129042702	-0.127698097	-0.429538559
159.910-1-2006	14	14	21	1	1	2006	Adult	-0.439646669	-0.637393519	-2.183262859	5.41116323	-0.853394109	-1.291271973	-1.26334061	-0.446402341
160.072-1-2006	10	29	32	1	1	2006	Adult	0.722963224	-0.828462267	-1.396191866	2.835289094	-0.522973926	-0.209264296	1.242013334	0.674121647
160.130-1-2006	9	31	34	1	1	2006	Adult	-1.270082308	1.184034619	0.08312229	-0.62869043	0.868242029	0.733831357	-0.758343225	-1.026094059
160.231-1-2006	20	20	27	1	1	2006	Adult	-0.937908052	-1.063597396	0.345479288	-0.62869043	0.589998838	0.446208894	-0.2683965	-0.519436958
160.251-1-2006	14	23	27	1	1	2006	Adult	-0.605733797	-0.734993837	-0.928374569	1.604470838	-0.853394109	0.342508459	-1.26334061	0.627639185
160.409-1-2006	15	15	22	1	1	2006	Adult	-0.522690233	0.662504567	0.62996278	-0.62869043	0.850883801	0.780789037	0.328244288	-0.629790382
160.492-1-2006	7	11	15	1	1	2006	Adult	2.217747374	-1.042532285	-2.183262859	-0.62869043	-0.853394109	-1.602379946	1.899871873	0.320508181
160.532-1-2006	15	19	23	1	1	2006	Adult	1.553398863	-1.102403962	-2.183262859	-0.62869043	-0.853394109	-1.903696176	0.273938348	0.770939312
160.652-1-2006	31	36	38	1	1	2006	Adult	-1.270082308	-0.920896895	0.250651458	-0.62869043	-0.853394109	0.463818024	-0.432985659	-0.513586729
160.710-1-2006	14	30	32	1	1	2006	Adult	-0.439646669	-0.742873709	0.563583299	0.182028182	-0.853394109	0.242716718	0.941942424	0.972747363
160.820-1-2006	14	14	18	1	1	2006	Adult	-0.605733797	-0.03425308	0.923929055	-0.289662647	-0.853394109	0.763179907	0.401338484	0.379916588
160.830-1-2006	14	15	21	1	1	2006	Adult	0.556876097	-0.264970012	-0.628086439	-0.62869043	-0.853394109	0.387505123	0.176958339	0.179294413
160.882-1-2006	11	29	34	1	1	2006	Adult	-0.107472414	0.664388545	-0.144464503	0.946683236	1.129126991	0.362071936	0.448174949	-0.018990714
159.340-1-2006	7	37	37	0	1	2006	Juvenile	1.470355299	1.055518084	1.676229844	3.874482952	-0.853394109	-2.518074725	2.594713942	3.272295551
159.357-1-2006	8	31	31	0	1	2006	Juvenile	1.553398863	1.561707229	-1.611134948	5.013174093	0.398717301	-0.878424583	-0.155936062	1.126546006
159.379-1-2006	15	35	35	0	1	2006	Juvenile	0.972093916	2.246376625	2.845773087	0.716365449	-0.001272206	0.547948311	-1.26334061	2.124503881
159.418-1-2006	8	35	35	0	1	2006	Juvenile	0.639919661	0.811931672	1.884851071	-0.009596217	0.329147978	0.469687734	0.10841212	0.640976361
159.632-1-2006	9	36	36	0	1	2006	Juvenile	-0.190515978	-0.613414047	1.217895329	-0.62869043	-0.853394109	0.632085269	-0.372653941	-0.186491936
159.769-1-2006	11	33	33	0	1	2006	Juvenile	-0.190515978	-1.106229952	0.37076671	-0.35599417	0.016120125	0.553818021	-0.46260494	-0.62751517
159.058-1-2006	19	23	28	1	1	2006	Juvenile	-0.107472414	-0.780551971	1.31272316	-0.62869043	0.450894294	0.653609762	-0.307757653	0.225200716
