Site,Trap No,Time,Mo,Day,Year,Julian,Sex,Age,Total,Bag,Mass,Frequency,Band ID,Wing,Tail,Tars,Culmen,Molt,Color,Recap,Feather,Blood,Par
SM,SM14-59,955,9,25,2014,268,M,A,670,40,630,NR,38,,,,,,,N,,,
SM,SM14-30,1744,9,24,2014,267,F,J,510,40,470,150.392,39,18.1,11.9,5.02,1.96,8,,N,Y,,Y
SM,SM14-17,1719,9,24,2014,267,F,A,540,40,500,150.101,40,17.7,11.6,5.22,1.95,9 lost 10,Split,N,Y,N,N
SM,SM14-10,1748,9,23,2014,266,F,J,480,40,440,150.122,41,18.4,11.4,4.87,1.86,8,Split,N,Y,N,N
SM,SM14-55,1611,9,22,2014,265,F,J,510,40,470,150.332,42,17.7,11.5,4.98,1.89,8,Split,N,Y,N,N
SM,SM14-1,1700,9,21,2014,264,M,A,660,40,620,150.422,43,19.4,14.7,5.37,2.18,9&10,,N,Y,N,Y
SM,SM14-21,1629,9,20,2014,263,M,A,615,40,575,150.252,44,18.4,13.7,5.41,1.78,8,Brown,N,Y,N,N
SM,SM14-4,1755,9,19,2014,262,F,J,560,40,520,150.432,45,18,11.8,4.98,1.97,8,Red,N,Y,N,N
SM,SM14-22,1624,9,18,2014,261,F,J,500,40,460,150.001,46,17.4,11.1,4.89,2.1,8,Int/Brown,N,Y,N,N
SM,SM14-2,1816,9,17,2014,260,M,A,490,40,450,,47,,,,,,,N,,,
SM,SM14-17,1052,9,16,2014,259,M,A,620,40,580,,48,17.9,16.2,5.11,1.96,"9,10",Brown,N,N,N,N
SM,SM14-24,1915,9,15,2014,258,F,J,470,40,430,150.282,49,17.7,10,4.83,2.25,8,Gray,N,Y,N,N
SM,SM14-23,1845,9,24,2014,267,F,J,480,40,440,,49,,,,,,,Y,,,
SM,SM14-46,1758,9,15,2014,258,M,A,620,40,580,,50,20,14.8,5.4,2.03,9,Brown,N,Y,N,N
SM,SM14-55,1133,9,14,2014,257,F,J,420,40,380,150.252,51,17.4,,5.26,2.27,"7,8",Intermediate,N,Y,N,N
SM,SM14-12,1838,9,12,2014,255,F,U,415,40,375,,53,,,,,8,,N,,N,N
SM,SM14-52,751,9,11,2014,254,F,J,540,40,500,150.022,54,17.5,,5.02,1.87,"8,7",,N,Y,Y,Y
SM,SM14-58,608,9,11,2014,254,F,J,520,40,480,150.051,55,17.5,8.4,5.03,1.96,"7,8",,N,Y,,Y
SM,SM14-58,608,9,11,2014,254,F,J,530,40,490,150.111,56,18.6,11.4,5.25,2.11,8,,N,Y,,Y
SM,SM14-58,608,9,11,2014,254,F,J,540,40,500,150.042,57,17.9,,5.03,1.78,8,,N,Y,,Y
SM,SM14-58,608,9,11,2014,254,M,J,590,40,550,150.212,58,18.8,,5.21,2.19,"7,8",,N,Y,,Y
SM,SM14-29,1700,9,11,2014,254,M,J,560,40,520,150.152,59,18.9,10.8,5.27,2.13,"7,8",,N,Y,Y,Y
SM,SM14-51,1138,9,10,2014,253,M,A,680,40,640,150.011,60,18.9,14.1,5.4,1.87,"9,10",,N,Y,N,Y
SM,SM14-51,1947,9,8,2014,251,M,J,500,40,460,150.122,61,17.3,,5.16,2.13,"8,7",,N,Y,N,N
SM,SM14-52,1947,9,8,2014,251,F,J,450,40,410,150.381,62,16.1,molt,4.84,1.9,"6,7",,N,Y,N,N
SM,SM14-52,1947,9,8,2014,251,F,J,490,40,450,150.441,63,16.8,,5.01,1.64,8,,N,Y,N,N
SM,SM14-60,1840,9,8,2014,251,M,A,630,40,590,150.582,64,17.6,13.1,4.96,1.78,"8,9,10",Brown,N,Y,N,N
SM,SM14-41,1815,9,8,2014,251,F,J,540,40,500,150.471,65,14.8,,5.06,1.73,,,N,Y,N,N
SM,SM14-1,1732,9,8,2014,251,F,J,520,40,480,150.321,66,17.8,8.6,5.2,1.82,"7, 8",,N,Y,N,N
SM,SM14-1,1732,9,8,2014,251,F,J,520,40,480,150.08,67,17.6,9.1,4.99,1.91,8,,N,Y,N,N
SM,SM14-17,1645,9,7,2014,250,M,A,680,40,640,150.422,68,19.3,19.9,5.71,1.97,"8, 9",,N,Y,N,N
SM,SM14-40,1803,9,6,2014,249,F,J,540,40,500,150.471,69,18.3,,5.01,1.78,"7, 8",,N,N,N,N
FM,FM14-23,1811,9,7,2014,250,M,A,475,40,435,149.683,71,18.2,7.6,5.12,2.24,8,,N,Y,N,N
FM,FM14-25,1710,9,3,2014,246,F,A,480,40,440,149.821,72,19.2,NA,5.21,2.13,7 and 8,,N,Y,N,N
FM,FM14-44,1753,9,2,2014,245,F,J,425,40,385,149.912,73,18.1,NA,4.82,2.18,NA,,N,Y,N,N
FM,FM14-44,1753,9,2,2014,245,F,J,485,40,445,149.771,74,18.5,NA,5.5,2.23,NA,,N,Y,N,N
FM,FM14-44,1753,9,2,2014,245,F,A,540,40,500,149.733,75,18,13.4,5.22,2.16,7,Intermediate,N,Y,N,N
FM,FM14-33,1700,9,5,2014,248,F,A,540,40,500,149.733,75,,,,,"6,7",,Y,,,
FM,FM14-35,1710,9,2,2014,245,M,A,530,40,490,149.782,76,18.5,molt,5.4,2.15,8,,N,Y,N,N
FM,FM14-12,1645,9,1,2014,244,M,J,495,40,455,149.002,77,18.4,molt,5.35,2.3,8,,N,Y,N,N
FM,FM14-13,1802,8,31,2014,243,M,J,500,40,460,149.163,78,18.1,11,5.26,2.54,8,Intermediate,N,Y,N,N
FM,FM14-9,1905,8,27,2014,239,F,A,505,40,465,149.033,79,18.3,13,5.4,2.23,6,Intermediate,N,Y,N,N
FM,FM14-2,1827,8,27,2014,239,M,A,585,40,545,149.304,80,,11.9,5.36,2.25,"9,8,7,6",Gray,N,Y,N,N
FM,FM14-12,1911,8,26,2014,238,M,J,470,40,430,149.134,81,17.9,7,5.02,2.28,7 and 8,,N,Y,N,N
FM,FM14-13,1901,8,26,2014,238,M,J,402,40,362,149.194,82,16.9,,5.07,1.94,7,,N,Y,N,N
FM,FM14-44,1706,8,26,2014,238,M,A,660,40,620,149.294,83,18.6,molt,5.49,2.53,7 and 8,,N,Y,N,N
FM,FM14-16,1730,8,25,2014,237,M,A,615,40,575,149.183,84,19.2,molt,5.27,2.34,7 and 8,,N,Y,Y,N
FM,FM14-13,1818,8,24,2014,236,M,A,560,40,520,149.324,85,18.7,12.6,5.21,2.52,6,Intermediate,N,Y,N,N
FM,FM14-10,1819,8,22,2014,234,M,A,600,40,560,149.644,86,18.6,8.6,5.47,2.25,9 and 10,Intermediate,N,Y,N,N
FM,FM14-22,1921,8,21,2014,233,F,A,505,40,465,149.213,87,17.7,17.2,5.5,2.35,7 and 8,Intermediate,N,Y,N,N
FM,FM14-9,1857,8,20,2014,232,M,J,460,40,420,149.892,88,17.1,9.8,5.51,2.44,No,,N,Y,N,N
FM,FM14-45,1730,8,20,2014,232,F,J,435,40,395,149.123,89,18,Juvi 9.5,5.21,2.38,7 and 6,,N,Y,N,N
FM,FM14-39,1809,9,11,2014,254,F,J,440,40,400,149.123,89,,,,,8,,Y,N,N,N
FM,FM14-37,1727,9,18,2014,261,F,J,350,40,310,,89,,,,,,,Y,,,
FM,FM14-45,1730,8,20,2014,232,M,J,445,40,405,149.901,90,17.9,Juvi 10.0,5.33,2.31,8 and 7,,N,Y,N,N
FM,FM14-39,1750,9,23,2014,266,M,J,585,40,545,149.9014,90,,,,,8,Brown,Y,N,N,N
FM,FM14-28,1950,8,18,2014,230,M,A,595,40,555,149.693,91,19,molt,5.11,2.54,9,,N,Y,N,N
FM,FM14-27,1801,8,24,2014,236,M,A,555,40,515,149.693,91,,,,,,,Y,N,N,N
FM,FM14-27,1850,8,25,2014,237,M,A,,,,,91,,,,,,,Y,N,N,N
FM,FM14-27,1745,8,26,2014,238,M,A,,,,149.193,91,,,,,,,Y,N,N,N
FM,FM14-39,1900,8,18,2014,230,M,A,550,40,510,149.632,92,18.3,7.5,5.03,2.1,10,,N,Y,N,N
FM,FM14-39,1750,9,23,2014,266,M,A,655,40,615,149.632,92,,,,,"9,10",Intermediate,Y,N,N,N
FM,FM14-16,1805,8,18,2014,230,M,A,620,40,580,149.941,93,70.1,3.9,5.26,2.27,8,,N,Y,N,N
FM,FM14-33,1711,8,17,2014,229,M,A,595,40,555,149.672,94,17.9,17.8,5.26,2.33,8 and 8,Intermedate,N,Y,N,N
FM,FM14-33,1654,8,17,2014,229,M,A,577,40,537,149.793,95,18.7,15.5,4.99,2.27,No,,N,Y,N,N
FM,FM14-37,1850,8,16,2014,228,F,A,545,40,505,149.872,96,18.3,13.2,5.01,2.21,No,Brown,N,Y,N,N
FM,FM14-5,1816,8,16,2014,228,M,A,585,40,545,NA,97,18.6,18.1,5.19,2.51,8,Intermediate,N,Y,N,N
FM,FM14-5,2015,9,10,2014,253,M,A,532,40,492,149.245,97,18.8,Bleeding NA,5.13,2.26,"10,9,8",,N,Y,N,N
FM,FM14-12,1720,8,16,2014,228,M,A,620,40,580,NA,98,18.5,molt,5.28,2.07,10,Intermediate,N,Y,N,N
FM,FM14-48,1602,8,14,2014,226,F,A,530,40,490,149.842,99,18.7,13.8,5.27,2.19,6,Brown,N,Y,N,N
FM,FM14-22,1820,8,13,2014,225,M,A,600,40,560,NA,100,18.9,6,5.43,2.27,7 and 8,Brown,N,Y,N,N
FM,FM14-8,1704,9,15,2014,258,M,A,605,40,565,NA,100,19.2,16.5,5.4,2.33,"9,10",,Y,N,N,N
FM,FM14-32,2029,8,12,2014,224,M,A,600,40,560,NA,101,19.4,16.5,5.2,2.31,7 and 8,Brown/Gray,N,Y,N,N
FM,FM14-32,1927,8,16,2014,228,M,A,,,,NA,101,,,,,,,Y,,,
FM,FM14-28,1912,9,17,2014,260,M,A,555,40,515,149.092,101,18.7,14.6,5.12,2.34,"9,10",,N,Y,N,N
FM,FM14-32,1740,9,26,2014,269,M,A,575,40,535,149.092,101,,,,,"9,10",,Y,N,N,N
FM,FM14-38,1929,8,12,2014,224,U,J,355,40,315,NA,102,16.4,8.4,4.99,2.25,No,,N,Y,N,N
FM,FM14-38,1915,8,12,2014,224,F,A,545,40,505,149.702,103,19.2,13,5.29,2.15,7,Brown,N,Y,N,N
FM,FM14-38,1900,8,12,2014,224,F,A,575,40,535,149.664,104,18.6,13,5.21,2.24,7,Brown,N,Y,N,N
FM,FM14-45,1730,8,20,2014,232,F,A,505,40,465,149.664,104,,,,,7,,Y,N,N,N
FM,FM14-39,1715,9,19,2014,262,F,A,510,40,470,149.664,104,,,,,9,,Y,,,
FM,FM14-38,1830,9,26,2014,269,F,A,485,40,445,149.664,104,,,,,"8,9,10",,Y,N,N,N
FM,FM14-22,1821,8,11,2014,223,M,A,610,40,570,NA,105,17.9,15.8,5.4,2.55,7 and 8,Brown,N,Y,N,N
FM,FM14-22,1850,8,15,2014,227,M,A,580,40,540,NA,105,,,,,7 and 8,Red,Y,N,N,N
FM,FM14-15,1720,8,11,2014,223,M,J,400,40,360,NA,106,17.2,9 juvi,5.24,2.51,7 and 8,Brown,N,Y,N,N
FM,FM14-15,1920,8,10,2014,222,M,J,260,40,220,NA,107,17.6,NA,5.21,2.09,No,Brown,N,Y,N,N
FM,FM14-15,1920,8,10,2014,222,F,A,460,40,420,149.653,108,18.3,13,5.15,2.21,No,Brown,N,Y,N,N
FM,FM14-30,1930,8,9,2014,221,M,A,560,40,520,,109,18.2,15.4,5.11,2.35,7 and 8,,N,Y,N,Y
FM,FM14-27,1912,9,17,2014,260,M,A,540,40,500,149.233,109,18.9,14.8,4.89,2.47,"9,10",,Y,Y,N,N
FM,FM14-8,1830,8,9,2014,221,M,A,515,40,475,,110,17.5,15.4,5.25,2.35,8,Gray,N,y,N,N
