lat,lon
63.56332912,-161.0693636
63.56309677,-161.0691096
63.56301622,-161.0687683
63.56293534,-161.0684267
63.56289301,-161.0680853
63.56277457,-161.0677448
63.56273116,-161.0673178
63.56269092,-161.0671475
63.56264516,-161.0665474
63.56256268,-161.0660359
63.56255958,-161.0657797
63.56255447,-161.0653529
63.56251214,-161.0650125
63.56250694,-161.064663
63.56250049,-161.064227
63.5624574,-161.0638805
63.56237694,-161.0635401
63.56233377,-161.0631972
63.56229278,-161.0629393
63.56216932,-161.0621747
63.56205281,-161.0619257
63.56197234,-161.0615858
63.56185315,-161.0611627
63.56177537,-161.0609968
63.56165626,-161.0605749
63.56157722,-161.0603214
63.56145903,-161.0599833
63.56130573,-161.059824
63.56118838,-161.0595699
63.56103307,-161.0593127
63.56091538,-161.0590537
63.56076133,-161.0588853
63.56060735,-161.0587171
63.56049126,-161.0585468
63.56033745,-161.0583787
63.56018633,-161.058387
63.56003369,-161.0583055
63.55984191,-161.0581346
63.55969062,-161.0581373
63.55953681,-161.0579654
63.55934554,-161.0577949
63.55915661,-161.0577975
63.55900339,-161.0576266
63.55873743,-161.0574643
63.55862134,-161.0572101
63.55843283,-161.0572133
63.55828003,-161.0570466
63.5581662,-161.0569652
63.55801248,-161.0567205
63.55789874,-161.0566434
63.55774828,-161.0566516
63.55755927,-161.0565822
63.55737001,-161.0565149
63.55714311,-161.0564493
63.55699148,-161.0563756
63.55680155,-161.0562148
63.55661186,-161.0560506
63.55649594,-161.0558
63.55637994,-161.0555482
63.55630182,-161.0552967
63.55625832,-161.0547909
63.55621548,-161.0543678
63.55617282,-161.0539453
63.5561325,-161.0536886
63.55608883,-161.0530865
63.55596998,-161.0524894
63.55585448,-161.0521445
63.55577711,-161.0518893
63.55562489,-161.0516358
63.55547201,-161.0512971
63.55524628,-161.0511324
63.55505912,-161.0510518
63.55487312,-161.051057
63.55461077,-161.0509825
63.55442461,-161.0509886
63.5541641,-161.0509972
63.55412688,-161.0509985
